ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.6454753344473632,0.8192934782608695,0.1340335950255394,0.962457337883959,2944,586,398
1,Hospital_2,NA,NA,0.09274332504719496,0.9642857142857143,NA,588,397
1,Hospital_3,NA,NA,0.13044122867286206,0.969335604770017,NA,587,398
1,Hospital_4,0.05936678083768735,0.9816762809636919,0.14493304062634707,0.9507640067911715,2947,589,396
1,Hospital_5,0.061850454493348174,0.9806451612903225,0.09088141806423664,0.9659284497444633,2945,587,398
1,Hospital_6,0.053508506156504154,0.9830220713073005,0.157885629683733,0.9522998296422487,2945,587,398
1,Hospital_7,0.06615273856922337,0.9786005434782609,0.1317269628867507,0.9692832764505119,2944,586,399
1,Hospital_8,0.04712462776418155,0.9843856076035302,0.16319577870890498,0.9591836734693877,2946,588,397
1,Hospital_9,NA,NA,0.11991385594010354,0.9676320272572402,NA,587,398
1,Hospital_10,0.06325839110650122,0.9816700610997964,0.13612536620348692,0.9540816326530612,2946,588,397
1,Hospital_11,NA,NA,0.19053018763661383,0.9420783645655877,NA,587,398
1,Hospital_12,NA,NA,0.13269714694470167,0.9490662139219015,NA,589,396
1,Hospital_13,0.08681559546486191,0.9806385869565217,0.10613230364397168,0.9658703071672355,2944,586,399
1,Hospital_14,0.21190885609636703,0.9409368635437881,0.1099222743883729,0.967687074829932,2946,588,397
1,Hospital_15,NA,NA,0.1357377940788865,0.9608177172061328,NA,587,398
2,Hospital_1,0.01899895754278354,0.9955842391304348,0.7284029517701128,0.8737201365187713,2944,586,398
2,Hospital_2,NA,NA,0.5918381826973927,0.891156462585034,NA,588,397
2,Hospital_3,0.0185895059730683,0.9966044142614601,0.4776685274817282,0.9045996592844975,2945,587,398
2,Hospital_4,0.09838860062882304,0.9735324058364438,0.5817823254059477,0.8845500848896435,2947,589,396
2,Hospital_5,0.020946449289719265,0.9938879456706282,0.5849776701063092,0.8909710391822828,2945,587,398
2,Hospital_6,NA,NA,0.560751102260474,0.8841567291311755,NA,587,398
2,Hospital_7,NA,NA,0.5766648704760883,0.8907849829351536,NA,586,399
2,Hospital_8,NA,NA,0.570047063157108,0.891156462585034,NA,588,397
2,Hospital_9,NA,NA,0.5154330175020732,0.8943781942078365,NA,587,398
2,Hospital_10,NA,NA,0.5160601545721875,0.891156462585034,NA,588,397
2,Hospital_11,0.02168041329908495,0.9949066213921901,0.6756334832392895,0.8824531516183987,2945,587,398
2,Hospital_12,0.049978558478566505,0.9864268747879199,0.5002399681306997,0.8964346349745331,2947,589,396
2,Hospital_13,0.02813516500527444,0.990828804347826,0.5361529519697796,0.8959044368600683,2944,586,399
2,Hospital_14,0.04113021020020824,0.9877800407331976,0.6189737876455184,0.8860544217687075,2946,588,397
2,Hospital_15,0.022516925609276466,0.9932088285229203,0.6021501144216017,0.889267461669506,2945,587,398
3,Hospital_1,0.03663684205030617,0.9887907608695652,0.05697759101167321,0.9880546075085325,2944,586,398
3,Hospital_2,NA,NA,0.04928049558075145,0.9880952380952381,NA,588,397
3,Hospital_3,0.22077845378468433,0.9235993208828522,0.04517849083058536,0.9948892674616695,2945,587,398
3,Hospital_4,0.02555951506898661,0.9925347811333559,0.06637587130535394,0.9813242784380306,2947,589,396
3,Hospital_5,0.018678130852398073,0.9959252971137521,0.026425008289515974,0.989778534923339,2945,587,398
3,Hospital_6,0.02717890093723933,0.9918505942275042,0.10597093161195517,0.9829642248722317,2945,587,398
3,Hospital_7,NA,NA,0.04103536306065507,0.9931740614334471,NA,586,399
