hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,1,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,2,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,3,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,4,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,5,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,6,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,7,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,8,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,9,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,10,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,11,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,12,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,13,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,14,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,15,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,16,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,17,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,18,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,19,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,20,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,21,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,22,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,23,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,24,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,25,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,26,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,27,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,28,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,29,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,30,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,31,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,32,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,33,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,34,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,35,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,36,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,37,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,38,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,39,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,40,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,41,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,42,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,43,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,44,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,45,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,46,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,47,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,48,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,49,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,50,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,51,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,52,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,53,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,54,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,55,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,56,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,57,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,58,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,59,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,60,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,61,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,62,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,63,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,64,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,65,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,66,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,67,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,68,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,69,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,70,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,71,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,72,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,73,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,74,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,75,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,76,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,77,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,78,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,79,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,80,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,81,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,82,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,83,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,84,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,85,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,86,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,87,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,88,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,89,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,90,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,91,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,92,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,93,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,94,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,95,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,96,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,97,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,98,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,99,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,100,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,101,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,102,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,103,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,104,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,105,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,106,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,107,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,108,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,109,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,110,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,111,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,112,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,113,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,114,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,115,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,116,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,117,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,118,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,119,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,120,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,121,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,122,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,123,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,124,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,125,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,126,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,127,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,128,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,129,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,130,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,131,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,132,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,133,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,134,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,135,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,136,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,137,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,138,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,139,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,140,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,141,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,142,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,143,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,144,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,145,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,146,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,147,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,148,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,149,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,150,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,151,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,152,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,153,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,154,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,155,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,156,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,157,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,158,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,159,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,160,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,161,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,162,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,163,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,164,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,165,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,166,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,167,4,0,nan,nan,nan,nan,nan,nan
Hospital_1,168,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,169,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,170,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,171,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,172,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,173,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,174,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,175,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,176,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,177,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,178,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,179,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,180,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,181,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,182,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,183,0,0,nan,nan,nan,nan,nan,nan
Hospital_1,184,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,185,5,0,nan,nan,nan,nan,nan,nan
Hospital_1,186,3,0,nan,nan,nan,nan,nan,nan
Hospital_1,187,1,0,nan,nan,nan,nan,nan,nan
Hospital_1,188,2,0,nan,nan,nan,nan,nan,nan
Hospital_1,189,5,0,nan,nan,nan,nan,nan,nan
