hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,4,4,0.0,0.0,0.0,2e-06,0.999866,0.000132
Hospital_1,1,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,2,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,3,2,2,0.002733,0.0,0.997264,0.0,1e-06,1e-06
Hospital_1,4,2,2,0.000154,0.0,0.999844,0.0,1e-06,0.0
Hospital_1,5,4,4,3.9e-05,2e-05,3e-06,0.000584,0.945992,0.053361
Hospital_1,6,4,4,1e-06,3e-06,0.0,1.1e-05,0.998705,0.001281
Hospital_1,7,5,5,3e-06,0.0,0.0,0.0,0.000707,0.99929
Hospital_1,8,0,0,0.999991,0.0,8e-06,0.0,0.0,0.0
Hospital_1,9,0,0,0.999986,0.0,1.4e-05,0.0,0.0,0.0
Hospital_1,10,2,2,5.9e-05,0.0,0.99994,0.0,1e-06,0.0
Hospital_1,11,5,5,0.0,0.0,0.0,0.0,8e-06,0.999992
Hospital_1,12,0,0,0.999986,0.0,9e-06,0.0,1e-06,4e-06
Hospital_1,13,1,1,0.0,0.999988,0.0,0.0,0.0,1.2e-05
Hospital_1,14,2,2,0.000339,0.0,0.999657,0.0,3e-06,1e-06
Hospital_1,15,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,16,0,0,0.999996,0.0,3e-06,0.0,0.0,1e-06
Hospital_1,17,0,0,0.999998,0.0,1e-06,0.0,0.0,1e-06
Hospital_1,18,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,19,2,2,1.6e-05,0.0,0.999984,0.0,0.0,0.0
Hospital_1,20,5,5,5.3e-05,0.005628,6e-06,6.8e-05,0.012736,0.981509
Hospital_1,21,1,1,0.0,0.999986,0.0,0.0,0.0,1.3e-05
Hospital_1,22,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,23,0,0,0.999984,0.0,1.3e-05,0.0,0.0,2e-06
Hospital_1,24,2,2,0.000916,0.0,0.999081,0.0,2e-06,0.0
Hospital_1,25,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,26,3,3,0.0,0.0,3e-06,0.999856,0.000142,0.0
Hospital_1,27,5,5,0.0,0.0,0.0,0.0,8.3e-05,0.999917
Hospital_1,28,0,0,0.999975,0.0,2.3e-05,0.0,0.0,1e-06
Hospital_1,29,0,0,0.999998,0.0,1e-06,0.0,0.0,1e-06
Hospital_1,30,1,1,0.0,0.999978,0.0,0.0,2e-06,2.1e-05
Hospital_1,31,3,3,0.0,0.0,7.6e-05,0.999789,0.000135,0.0
Hospital_1,32,4,4,4e-06,0.0,0.0,0.0,0.978801,0.021194
Hospital_1,33,0,0,0.99998,0.0,1.4e-05,0.0,1e-06,5e-06
Hospital_1,34,4,0,0.828355,1.2e-05,0.011259,0.004517,0.149705,0.006151
Hospital_1,35,5,5,8.7e-05,0.020024,2.4e-05,0.000213,0.014435,0.965217
Hospital_1,36,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,37,4,4,0.0,0.0,0.0,0.0,0.999856,0.000144
Hospital_1,38,0,0,0.999848,1e-06,0.000142,0.0,7e-06,3e-06
Hospital_1,39,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,40,5,5,0.0,0.0,0.0,0.0,9.2e-05,0.999908
Hospital_1,41,1,1,0.0,0.999999,0.0,0.0,0.0,1e-06
Hospital_1,42,5,5,0.0,0.0,0.0,0.0,0.000323,0.999677
Hospital_1,43,4,4,0.0,1.3e-05,1e-06,0.000229,0.996491,0.003266
Hospital_1,44,2,2,0.001402,0.0,0.998592,0.0,3e-06,2e-06
Hospital_1,45,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,46,1,1,0.0,0.999091,0.0,0.0,8e-06,0.000902
Hospital_1,47,5,5,0.0,0.0,0.0,0.0,1e-06,0.999999
Hospital_1,48,3,3,0.0,0.0,2e-06,0.999996,2e-06,0.0
Hospital_1,49,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,50,3,3,0.0,0.0,3e-06,0.999986,1.1e-05,0.0
Hospital_1,51,3,3,0.0,0.0,4e-06,0.999735,0.00026,0.0
Hospital_1,52,5,5,0.0,0.0,0.0,0.0,1.4e-05,0.999986
Hospital_1,53,0,0,0.999865,1e-06,0.000127,0.0,2e-06,6e-06
Hospital_1,54,1,1,0.0,0.999986,0.0,0.0,1e-06,1.4e-05
Hospital_1,55,0,0,0.999986,0.0,4e-06,0.0,2e-06,7e-06
Hospital_1,56,3,3,0.0,0.0,2e-06,0.99993,6.8e-05,0.0
Hospital_1,57,2,2,0.002589,1e-06,0.997401,0.0,8e-06,0.0
Hospital_1,58,4,4,0.0,0.0,0.0,0.0,0.999863,0.000137
Hospital_1,59,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,60,4,4,1e-06,6e-06,0.0,0.0,0.998681,0.001312
Hospital_1,61,2,2,7.7e-05,0.0,0.999921,0.0,1e-06,0.0
Hospital_1,62,1,1,0.0,0.999993,0.0,0.0,0.0,7e-06
Hospital_1,63,4,3,0.0,0.0,0.000414,0.529059,0.470524,2e-06
Hospital_1,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,65,0,0,0.999935,3e-06,3.8e-05,0.0,1e-06,2.4e-05
Hospital_1,66,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,67,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,68,2,2,0.000165,0.0,0.999834,0.0,1e-06,0.0
Hospital_1,69,2,2,4e-06,0.0,0.999995,0.0,0.0,0.0
Hospital_1,70,2,2,0.000922,0.0,0.999077,0.0,1e-06,0.0
