metodo;hospital;AbdomenCT;BreastMRI;ChestCT;CXR;Hand;HeadCT
fedavg;Hospital_1;0.9751±0.0352;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8873±0.0843;0.9502±0.0428
fedavg;Hospital_2;0.9900±0.0141;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8358±0.1163;0.9602±0.0307
fedavg;Hospital_3;0.9950±0.0070;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8856±0.0977;0.9706±0.0208
fedavg;Hospital_4;0.9950±0.0070;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8109±0.0947;0.9353±0.0372
fedavg;Hospital_5;0.9902±0.0139;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8557±0.1292;0.9602±0.0372
fedavg;Hospital_6;1.0000±0.0000;0.9945±0.0077;1.0000±0.0000;0.9950±0.0070;0.8507±0.0967;0.9804±0.0183
fedavg;Hospital_7;0.9902±0.0139;1.0000±0.0000;1.0000±0.0000;0.9950±0.0070;0.8382±0.1100;0.9853±0.0208
fedavg;Hospital_8;0.9706±0.0416;1.0000±0.0000;1.0000±0.0000;0.9950±0.0070;0.8507±0.0975;0.9502±0.0428
fedavg;Hospital_9;1.0000±0.0000;0.9891±0.0155;1.0000±0.0000;0.9801±0.0070;0.9118±0.0787;0.9552±0.0366
fedavg;Hospital_10;1.0000±0.0000;0.9945±0.0077;1.0000±0.0000;1.0000±0.0000;0.9005±0.0550;0.9608±0.0455
fedavg;Hospital_11;0.9902±0.0139;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8137±0.1261;0.9552±0.0322
fedavg;Hospital_12;0.9950±0.0070;0.9891±0.0155;1.0000±0.0000;1.0000±0.0000;0.8159±0.0985;0.9701±0.0211
fedavg;Hospital_13;0.9951±0.0069;0.9945±0.0077;1.0000±0.0000;0.9851±0.0000;0.8333±0.0852;0.9657±0.0485
fedavg;Hospital_14;0.9900±0.0141;1.0000±0.0000;1.0000±0.0000;0.9902±0.0139;0.8756±0.0714;0.9701±0.0422
fedavg;Hospital_15;0.9900±0.0141;1.0000±0.0000;1.0000±0.0000;0.9951±0.0069;0.8905±0.0745;0.9851±0.0211
fedprox;Hospital_1;0.9950±0.0070;1.0000±0.0000;0.6765±0.4575;1.0000±0.0000;0.7941±0.2808;0.7463±0.3588
fedprox;Hospital_2;1.0000±0.0000;0.9945±0.0077;0.6866±0.4433;1.0000±0.0000;0.8060±0.2639;0.7662±0.3307
fedprox;Hospital_3;1.0000±0.0000;0.9945±0.0077;0.6765±0.4575;0.9950±0.0070;0.8308±0.2287;0.8235±0.2496
fedprox;Hospital_4;1.0000±0.0000;1.0000±0.0000;0.7065±0.4151;1.0000±0.0000;0.8159±0.1913;0.8060±0.2744
fedprox;Hospital_5;1.0000±0.0000;1.0000±0.0000;0.7015±0.4222;0.9951±0.0069;0.8159±0.2603;0.7512±0.3518
fedprox;Hospital_6;1.0000±0.0000;0.9945±0.0077;0.7010±0.4229;1.0000±0.0000;0.8010±0.2710;0.8186±0.2565
fedprox;Hospital_7;1.0000±0.0000;1.0000±0.0000;0.6915±0.4362;1.0000±0.0000;0.8039±0.2773;0.7647±0.3328
fedprox;Hospital_8;1.0000±0.0000;0.9945±0.0077;0.6766±0.4573;0.9950±0.0070;0.8109±0.2364;0.7761±0.3166
fedprox;Hospital_9;1.0000±0.0000;0.9945±0.0077;0.7010±0.4229;0.9851±0.0122;0.8186±0.2565;0.8109±0.2674
fedprox;Hospital_10;1.0000±0.0000;1.0000±0.0000;0.7015±0.4222;1.0000±0.0000;0.8259±0.2358;0.7941±0.2912
fedprox;Hospital_11;1.0000±0.0000;0.9945±0.0077;0.7015±0.4222;1.0000±0.0000;0.8137±0.2329;0.7861±0.3025
fedprox;Hospital_12;1.0000±0.0000;0.9891±0.0155;0.6915±0.4362;1.0000±0.0000;0.8060±0.2322;0.7761±0.3166
fedprox;Hospital_13;1.0000±0.0000;1.0000±0.0000;0.6965±0.4292;0.9851±0.0000;0.8333±0.2046;0.8186±0.2565
fedprox;Hospital_14;1.0000±0.0000;0.9945±0.0077;0.6816±0.4503;1.0000±0.0000;0.8060±0.2428;0.7612±0.3377
fedprox;Hospital_15;1.0000±0.0000;1.0000±0.0000;0.6863±0.4437;1.0000±0.0000;0.8507±0.1803;0.7811±0.3096
fedewa;Hospital_1;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_2;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_3;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_4;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3333±0.4714
fedewa;Hospital_5;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_6;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_7;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_8;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_9;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_10;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_11;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_12;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3333±0.4714
fedewa;Hospital_13;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3284±0.4645;0.3333±0.4714
fedewa;Hospital_14;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3234±0.4573;0.3333±0.4714
fedewa;Hospital_15;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3333±0.4714
fedag;Hospital_1;1.0000±0.0000;0.5611±0.3996;0.6667±0.4714;0.6667±0.4714;0.6569±0.4646;0.6617±0.4679
fedag;Hospital_2;1.0000±0.0000;0.5574±0.3962;0.6667±0.4714;0.6667±0.4714;0.6517±0.4612;0.6468±0.4580
fedag;Hospital_3;1.0000±0.0000;0.5519±0.3931;0.6667±0.4714;0.6667±0.4714;0.6517±0.4612;0.6618±0.4680
fedag;Hospital_4;1.0000±0.0000;0.5082±0.3697;0.6667±0.4714;0.6667±0.4714;0.6368±0.4510;0.6468±0.4580
fedag;Hospital_5;1.0000±0.0000;0.5464±0.3873;0.6667±0.4714;0.6667±0.4714;0.6567±0.4645;0.6318±0.4478
fedag;Hospital_6;1.0000±0.0000;0.5301±0.3753;0.6667±0.4714;0.6667±0.4714;0.6219±0.4418;0.6373±0.4520
fedag;Hospital_7;1.0000±0.0000;0.6011±0.4259;0.6667±0.4714;0.6667±0.4714;0.6324±0.4491;0.6569±0.4646
fedag;Hospital_8;1.0000±0.0000;0.5628±0.4007;0.6667±0.4714;0.6667±0.4714;0.6368±0.4505;0.6517±0.4612
fedag;Hospital_9;1.0000±0.0000;0.5082±0.3624;0.6667±0.4714;0.6517±0.4609;0.6569±0.4646;0.6567±0.4645
fedag;Hospital_10;1.0000±0.0000;0.5628±0.3980;0.6667±0.4714;0.6667±0.4714;0.6517±0.4609;0.6569±0.4646
fedag;Hospital_11;1.0000±0.0000;0.5464±0.3885;0.6667±0.4714;0.6667±0.4714;0.6127±0.4353;0.6468±0.4580
fedag;Hospital_12;1.0000±0.0000;0.5410±0.3840;0.6667±0.4714;0.6667±0.4714;0.6219±0.4408;0.6468±0.4580
fedag;Hospital_13;1.0000±0.0000;0.5628±0.3994;0.6667±0.4714;0.6567±0.4644;0.6324±0.4472;0.6569±0.4646
fedag;Hospital_14;1.0000±0.0000;0.5519±0.3917;0.6667±0.4714;0.6667±0.4714;0.6368±0.4505;0.6567±0.4645
fedag;Hospital_15;1.0000±0.0000;0.5410±0.3831;0.6667±0.4714;0.6667±0.4714;0.6318±0.4472;0.6617±0.4679
mh_random_search;Hospital_1;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714
mh_random_search;Hospital_2;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714
mh_random_search;Hospital_3;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714
mh_random_search;Hospital_4;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6567±0.4644;0.6667±0.4714
mh_random_search;Hospital_5;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6617±0.4679
mh_random_search;Hospital_6;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6617±0.4679;0.6667±0.4714
mh_random_search;Hospital_7;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714
mh_random_search;Hospital_8;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6567±0.4645;0.6667±0.4714
mh_random_search;Hospital_9;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6517±0.4609;0.6667±0.4714;0.6667±0.4714
mh_random_search;Hospital_10;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6617±0.4679;0.6667±0.4714
mh_random_search;Hospital_11;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714
mh_random_search;Hospital_12;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6567±0.4645;0.6667±0.4714
mh_random_search;Hospital_13;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6567±0.4644;0.6471±0.4577;0.6667±0.4714
mh_random_search;Hospital_14;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6517±0.4609;0.6667±0.4714
mh_random_search;Hospital_15;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6617±0.4679;0.6667±0.4714
mh_de;Hospital_1;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.2985±0.4222
mh_de;Hospital_2;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3184±0.4503
mh_de;Hospital_3;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3235±0.4575
mh_de;Hospital_4;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3234±0.4573;0.3035±0.4292
mh_de;Hospital_5;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.2886±0.4081
mh_de;Hospital_6;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3284±0.4645
mh_de;Hospital_7;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3186±0.4506
mh_de;Hospital_8;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3035±0.4292
mh_de;Hospital_9;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3234±0.4573;0.3333±0.4714;0.3184±0.4503
mh_de;Hospital_10;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3333±0.4714;0.3088±0.4367
mh_de;Hospital_11;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3085±0.4362
mh_de;Hospital_12;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3184±0.4503
mh_de;Hospital_13;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3235±0.4575;0.3137±0.4437
mh_de;Hospital_14;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3284±0.4644;0.3035±0.4292
mh_de;Hospital_15;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3134±0.4433
mh_ga;Hospital_1;0.9751±0.0352;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6618±0.4680;0.6667±0.4714
mh_ga;Hospital_2;0.9801±0.0281;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6567±0.4645;0.6667±0.4714
mh_ga;Hospital_3;1.0000±0.0000;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6617±0.4679;0.6667±0.4714
mh_ga;Hospital_4;0.9950±0.0070;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6318±0.4478;0.6667±0.4714
mh_ga;Hospital_5;0.9706±0.0416;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6617±0.4679;0.6667±0.4714
mh_ga;Hospital_6;0.9900±0.0141;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6517±0.4612;0.6667±0.4714
mh_ga;Hospital_7;0.9951±0.0069;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6520±0.4614;0.6667±0.4714
mh_ga;Hospital_8;0.9755±0.0347;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6468±0.4580;0.6667±0.4714
mh_ga;Hospital_9;0.9950±0.0070;0.6667±0.4714;0.6667±0.4714;0.6567±0.4644;0.6667±0.4714;0.6667±0.4714
mh_ga;Hospital_10;0.9950±0.0070;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6517±0.4612;0.6667±0.4714
mh_ga;Hospital_11;0.9853±0.0208;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6422±0.4551;0.6667±0.4714
mh_ga;Hospital_12;0.9950±0.0070;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6468±0.4580;0.6667±0.4714
mh_ga;Hospital_13;0.9951±0.0069;0.6667±0.4714;0.6667±0.4714;0.6567±0.4644;0.6422±0.4544;0.6667±0.4714
mh_ga;Hospital_14;0.9851±0.0211;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6468±0.4575;0.6667±0.4714
mh_ga;Hospital_15;0.9851±0.0211;0.6667±0.4714;0.6667±0.4714;0.6667±0.4714;0.6468±0.4580;0.6667±0.4714
mh_pso;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9902±0.0139;1.0000±0.0000
mh_pso;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9900±0.0141;1.0000±0.0000
mh_pso;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9900±0.0141;1.0000±0.0000
mh_pso;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0070;0.9701±0.0322;1.0000±0.0000
