metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15
fedavg;16;0.9623;0.9622;0.9724;0.9419;0.9698;0.9724;0.9624;0.9496;0.9673;0.9798;0.9523;0.9621;0.9699;0.9748;0.9774
fedavg;999;0.9799;0.9824;0.9925;0.9773;0.9849;0.9874;0.9925;0.9773;0.9899;0.9773;0.9824;0.9798;0.9674;0.9748;0.9874
fedavg;1935;0.9623;0.9471;0.9598;0.9495;0.9472;0.9497;0.9474;0.9547;0.9598;0.9698;0.9422;0.9419;0.9474;0.9622;0.9648
fedprox;16;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9950;1.0000;1.0000;0.9949;0.9950;0.9975;1.0000
fedprox;999;0.6005;0.6247;0.6583;0.6768;0.6307;0.6533;0.6241;0.6322;0.6558;0.6574;0.6508;0.6364;0.6742;0.6247;0.6608
fedprox;1935;0.9975;0.9975;0.9950;0.9823;0.9975;0.9975;1.0000;0.9899;0.9975;0.9975;0.9925;0.9949;0.9925;0.9950;0.9925
fedewa;16;1.0000;1.0000;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;0.9975;1.0000;1.0000;0.9975;0.9950;0.9950;0.9975
fedewa;999;0.1683;0.1688;0.1683;0.1692;0.1709;0.1683;0.1704;0.1713;0.1683;0.1688;0.1709;0.1692;0.1704;0.1688;0.1683
fedewa;1935;0.1683;0.1688;0.1683;0.1692;0.1709;0.1683;0.1704;0.1713;0.1683;0.1688;0.1709;0.1692;0.1704;0.1688;0.1683
fedag;16;0.9774;0.9647;0.9724;0.9571;0.9573;0.9372;0.9674;0.9673;0.9598;0.9673;0.9472;0.9495;0.9649;0.9647;0.9598
fedag;999;0.1683;0.1688;0.1683;0.1692;0.1709;0.1683;0.1704;0.1713;0.1683;0.1688;0.1709;0.1692;0.1704;0.1688;0.1683
fedag;1935;0.9673;0.9673;0.9648;0.9444;0.9648;0.9623;0.9799;0.9622;0.9497;0.9723;0.9598;0.9596;0.9599;0.9622;0.9623
mh_random_search;16;1.0000;1.0000;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;0.9950;1.0000;1.0000;1.0000;0.9950;0.9975;0.9975
mh_random_search;999;0.1683;0.1688;0.1683;0.1692;0.1709;0.1683;0.1704;0.1713;0.1683;0.1688;0.1709;0.1692;0.1704;0.1688;0.1683
mh_random_search;1935;1.0000;1.0000;1.0000;0.9975;0.9975;0.9975;1.0000;0.9950;0.9975;0.9975;1.0000;0.9949;0.9900;0.9950;1.0000
mh_de;16;0.1683;0.1688;0.1683;0.1692;0.1709;0.1683;0.1704;0.1713;0.1683;0.1688;0.1709;0.1692;0.1704;0.1688;0.1683
mh_de;999;0.9824;0.9924;0.9950;0.9798;0.9774;0.9975;0.9925;0.9824;0.9874;0.9849;0.9874;0.9924;0.9825;0.9824;0.9899
mh_de;1935;0.1683;0.1688;0.1683;0.1692;0.1709;0.1683;0.1704;0.1713;0.1683;0.1688;0.1709;0.1692;0.1704;0.1688;0.1683
mh_ga;16;0.9849;0.9849;0.9975;0.9823;0.9824;0.9874;0.9900;0.9773;0.9950;0.9899;0.9799;0.9874;0.9850;0.9849;0.9824
mh_ga;999;1.0000;1.0000;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;0.9975;1.0000;1.0000;1.0000;0.9950;0.9975;1.0000
mh_ga;1935;0.1683;0.1688;0.1683;0.1692;0.1709;0.1683;0.1704;0.1713;0.1683;0.1688;0.1709;0.1692;0.1704;0.1688;0.1683
mh_pso;16;0.9950;0.9950;0.9950;0.9874;1.0000;0.9950;0.9975;0.9899;0.9975;0.9975;0.9899;0.9899;0.9900;0.9950;0.9950
mh_pso;999;1.0000;1.0000;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;0.9950;1.0000;1.0000;0.9975;0.9950;0.9975;1.0000
mh_pso;1935;1.0000;1.0000;1.0000;0.9975;0.9950;1.0000;1.0000;1.0000;0.9950;0.9975;0.9975;0.9975;0.9900;0.9975;1.0000
mh_cro;16;1.0000;1.0000;1.0000;0.9975;1.0000;1.0000;1.0000;0.9975;0.9950;1.0000;0.9975;0.9949;0.9950;0.9975;0.9975
mh_cro;999;1.0000;1.0000;1.0000;0.9975;1.0000;1.0000;1.0000;0.9975;0.9950;1.0000;1.0000;0.9949;0.9925;0.9950;1.0000
mh_cro;1935;1.0000;1.0000;1.0000;0.9949;0.9975;0.9975;1.0000;0.9924;0.9950;0.9975;0.9925;0.9949;0.9925;0.9950;1.0000
