hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,2,2,5.9e-05,1e-06,0.999872,5.6e-05,1.1e-05,1e-06
Hospital_1,1,2,2,3.2e-05,1e-06,0.999931,3.1e-05,5e-06,0.0
Hospital_1,2,4,4,1.2e-05,2e-05,5e-06,0.000321,0.998039,0.001603
Hospital_1,3,0,0,0.999556,3.3e-05,0.0001,7.4e-05,0.000113,0.000124
Hospital_1,4,4,4,4e-06,8e-06,3e-06,0.000529,0.998905,0.000551
Hospital_1,5,0,0,0.999747,2.5e-05,4.8e-05,4.1e-05,5.1e-05,8.8e-05
Hospital_1,6,0,0,0.999908,1.2e-05,3.1e-05,1.2e-05,2e-06,3.5e-05
Hospital_1,7,3,3,0.0,0.0,4e-06,0.999967,2.9e-05,0.0
Hospital_1,8,5,5,1.6e-05,0.001221,1e-06,1.2e-05,0.000991,0.997758
Hospital_1,9,1,1,0.0,0.999969,0.0,0.0,1e-06,3e-05
Hospital_1,10,4,4,2e-05,0.000114,3.2e-05,0.003705,0.992132,0.003997
Hospital_1,11,0,0,0.999993,1e-06,5e-06,1e-06,0.0,0.0
Hospital_1,12,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,13,1,1,0.0,0.99995,0.0,0.0,5e-06,4.4e-05
Hospital_1,14,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,15,2,2,0.000151,2e-06,0.99971,0.000119,1.7e-05,1e-06
Hospital_1,16,5,5,0.0,0.0,0.0,1e-06,0.0,0.999999
Hospital_1,17,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,18,0,0,0.999785,0.000145,3.7e-05,1.3e-05,5e-06,1.4e-05
Hospital_1,19,1,1,2e-06,0.998891,0.0,0.0,8.3e-05,0.001023
Hospital_1,20,4,4,0.000327,0.016211,0.003356,0.04714,0.906767,0.026199
Hospital_1,21,0,0,0.999894,1.2e-05,4.6e-05,1.9e-05,1.1e-05,1.9e-05
Hospital_1,22,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,23,0,0,0.999959,2e-06,1.7e-05,8e-06,4e-06,9e-06
Hospital_1,24,5,5,1e-06,0.000118,7e-06,5e-06,1.6e-05,0.999853
Hospital_1,25,5,5,0.0,0.0,2e-06,5e-06,1e-06,0.999992
Hospital_1,26,0,0,0.999062,0.000629,0.000278,2.2e-05,6e-06,3e-06
Hospital_1,27,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,28,3,3,0.0,0.0,1e-06,0.999999,0.0,0.0
Hospital_1,29,3,3,0.0,0.0,4.8e-05,0.999939,1.3e-05,0.0
Hospital_1,30,5,5,1e-06,7e-06,0.0,1e-06,4.8e-05,0.999943
Hospital_1,31,1,1,1e-06,0.999937,0.0,0.0,1e-05,5.2e-05
Hospital_1,32,2,2,0.000638,5e-06,0.999198,0.000123,3.5e-05,1e-06
Hospital_1,33,4,4,2e-06,1e-06,1e-06,7.8e-05,0.999789,0.00013
Hospital_1,34,0,0,0.999688,1.8e-05,5.3e-05,2.7e-05,2.8e-05,0.000187
Hospital_1,35,2,2,0.000121,2e-06,0.99976,9.2e-05,2.4e-05,1e-06
Hospital_1,36,4,4,6e-06,3e-06,1e-06,0.000123,0.999417,0.000451
Hospital_1,37,0,0,0.999778,3e-06,0.00011,2.1e-05,1.6e-05,7.2e-05
Hospital_1,38,2,2,7.8e-05,1e-06,0.99984,6.8e-05,1.2e-05,2e-06
Hospital_1,39,3,3,0.0,0.0,1e-06,0.999994,6e-06,0.0
Hospital_1,40,2,2,7.4e-05,1e-06,0.999862,5.1e-05,1e-05,1e-06
Hospital_1,41,2,2,0.000112,1e-06,0.999861,2.3e-05,3e-06,0.0
Hospital_1,42,1,1,1e-06,0.999496,0.0,1e-06,1.5e-05,0.000487
Hospital_1,43,5,5,0.0,0.0,0.0,1e-06,0.0,0.999999
Hospital_1,44,2,2,5.2e-05,2e-06,0.99985,8.3e-05,1.2e-05,1e-06
Hospital_1,45,0,0,0.999458,2.2e-05,8.5e-05,5.4e-05,8.4e-05,0.000297
Hospital_1,46,4,4,2e-06,3e-06,1e-06,0.000117,0.999698,0.000179
Hospital_1,47,0,0,0.999981,1.1e-05,6e-06,1e-06,0.0,0.0
Hospital_1,48,2,2,3.4e-05,0.0,0.999958,6e-06,1e-06,0.0
Hospital_1,49,3,3,0.0,0.0,0.000367,0.999629,4e-06,0.0
Hospital_1,50,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,51,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,52,5,5,5.9e-05,7e-05,0.0,5e-06,0.000279,0.999586
Hospital_1,53,2,2,0.000421,2e-06,0.999449,9.5e-05,2.7e-05,6e-06
Hospital_1,54,4,4,8e-06,2e-06,1e-06,9.1e-05,0.999031,0.000868
Hospital_1,55,4,4,3e-06,9e-06,3e-06,0.000323,0.999173,0.00049
Hospital_1,56,5,5,8.5e-05,0.254642,0.000136,0.000761,0.019796,0.724581
Hospital_1,57,2,2,8.1e-05,1e-06,0.999887,2.7e-05,4e-06,0.0
Hospital_1,58,3,3,0.0,0.0,3.1e-05,0.99995,1.9e-05,0.0
Hospital_1,59,0,0,0.99953,3e-05,0.000138,4.4e-05,5.5e-05,0.000203
Hospital_1,60,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,61,1,1,0.0,0.999995,0.0,0.0,2e-06,3e-06
Hospital_1,62,2,2,0.00022,4e-06,0.999676,7.1e-05,2.7e-05,2e-06
Hospital_1,63,2,2,0.001115,1.1e-05,0.998471,0.000292,0.000104,6e-06
Hospital_1,64,4,4,0.000207,0.000131,0.000154,0.011526,0.93898,0.049002
Hospital_1,65,4,4,5e-06,4.7e-05,1.8e-05,0.001203,0.997042,0.001685
Hospital_1,66,0,0,0.999999,0.0,0.0,0.0,0.0,1e-06
Hospital_1,67,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,68,2,2,7.6e-05,2e-06,0.999851,5.6e-05,1.3e-05,2e-06
Hospital_1,69,3,3,0.0,0.0,0.000127,0.99986,1.3e-05,0.0
Hospital_1,70,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,71,3,3,0.0,0.0,1e-05,0.999985,5e-06,0.0
Hospital_1,72,2,2,0.000446,5e-06,0.999372,0.000132,4.2e-05,2e-06
Hospital_1,73,0,0,0.999967,9e-06,1e-05,4e-06,1e-06,8e-06
Hospital_1,74,5,5,0.0,0.0,0.0,1e-06,0.0,0.999999
Hospital_1,75,1,1,8e-06,0.993203,4e-06,8e-06,0.000437,0.006341
