ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,NA,NA,1.0484087467193604,0.7696245733788396,NA,586,398
1,Hospital_2,0.025826794056532282,0.9904955872369314,1.0404216766357421,0.7431972789115646,2946,588,397
1,Hospital_3,NA,NA,1.04589182138443,0.7717206132879046,NA,587,398
1,Hospital_4,NA,NA,1.0664519548416138,0.7470288624787776,NA,589,396
1,Hospital_5,NA,NA,1.0796589255332947,0.7308347529812607,NA,587,398
1,Hospital_6,NA,NA,1.0500561594963074,0.7444633730834753,NA,587,398
1,Hospital_7,NA,NA,1.0577393293380737,0.7610921501706485,NA,586,399
1,Hospital_8,0.10514639746785785,0.9728445349626612,1.0495749592781067,0.7482993197278912,2946,588,397
1,Hospital_9,0.1073132810027649,0.9762308998302207,1.0536326885223388,0.7734241908006815,2945,587,398
1,Hospital_10,0.17312302106680968,0.9460285132382892,1.0725120306015015,0.7448979591836735,2946,588,397
1,Hospital_11,0.7739522996804832,0.865874363327674,1.055747151374817,0.7444633730834753,2945,587,398
1,Hospital_12,0.020887510957739625,0.993552765524262,1.0574662208557128,0.7283531409168081,2947,589,396
1,Hospital_13,0.03619159239789714,0.9881114130434783,1.0679370641708374,0.7337883959044369,2944,586,399
1,Hospital_14,3.9248799681663513,0.2651052274270197,1.059646201133728,0.7448979591836735,2946,588,397
1,Hospital_15,0.07972013800341908,0.9745331069609507,1.0576002955436707,0.7597955706984668,2945,587,398
2,Hospital_1,NA,NA,1.349424386024475,0.5699658703071673,NA,586,398
2,Hospital_2,0.025526180397719145,0.994908350305499,1.3340540051460266,0.5867346938775511,2946,588,397
2,Hospital_3,0.060554774555688105,0.9904923599320883,1.33749418258667,0.5689948892674617,2945,587,398
2,Hospital_4,0.037223623989120824,0.987444859178826,1.3553117513656616,0.568760611205433,2947,589,396
2,Hospital_5,NA,NA,1.3634509325027466,0.5638841567291312,NA,587,398
2,Hospital_6,0.5526536380251249,0.8156196943972835,1.3347850799560548,0.5724020442930153,2945,587,398
2,Hospital_7,0.022507962021652773,0.9918478260869565,1.3538352608680726,0.568259385665529,2944,586,399
2,Hospital_8,NA,NA,1.3412294268608094,0.5799319727891157,NA,588,397
2,Hospital_9,0.23863526827365908,0.9456706281833617,1.335349154472351,0.5775127768313458,2945,587,398
2,Hospital_10,0.02026343463997667,0.9932111337406653,1.366765570640564,0.5595238095238095,2946,588,397
2,Hospital_11,1.334852394958337,0.6098471986417657,1.3467824578285217,0.575809199318569,2945,587,398
2,Hospital_12,NA,NA,1.353197491168976,0.567062818336163,NA,589,396
2,Hospital_13,0.016382668703875464,0.9949048913043478,1.3554111123085022,0.5733788395904437,2944,586,399
2,Hospital_14,NA,NA,1.3551353931427002,0.564625850340136,NA,588,397
2,Hospital_15,NA,NA,1.360700535774231,0.5519591141396933,NA,587,398
3,Hospital_1,NA,NA,0.1395647956058383,0.9522184300341296,NA,586,398
3,Hospital_2,0.019512233052713174,0.994908350305499,0.13364011058583855,0.9659863945578231,2946,588,397
3,Hospital_3,0.008101249542960431,0.999320882852292,0.13261017333716155,0.9642248722316865,2945,587,398
3,Hospital_4,0.013199695201668268,0.997285374957584,0.1480713566765189,0.9592529711375212,2947,589,396
3,Hospital_5,NA,NA,0.1607858957722783,0.948892674616695,NA,587,398
3,Hospital_6,0.013944533018729999,0.9952461799660441,0.1445885387249291,0.9574105621805792,2945,587,398
3,Hospital_7,0.013002257844757127,0.9983016304347826,0.12957147005945444,0.9675767918088737,2944,586,399
3,Hospital_8,0.007850809830642902,0.9989816700610998,0.15262940479442477,0.9506802721088435,2946,588,397
3,Hospital_9,NA,NA,0.14406001064926385,0.959114139693356,NA,587,398
3,Hospital_10,NA,NA,0.14713505432009696,0.9574829931972789,NA,588,397
3,Hospital_11,NA,NA,0.16848533172160388,0.9659284497444633,NA,587,398
3,Hospital_12,0.006028184540421459,0.999321343739396,0.14065702483057976,0.966044142614601,2947,589,396
