ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,NA,NA,0.36138747645808117,0.9366515837104072,NA,1768,1180
1,Hospital_2,0.012667357977313389,0.9966074861472352,0.34143338362420245,0.9434389140271493,8843,1768,1180
1,Hospital_3,0.019874454063912188,0.9940058810223932,0.36158927703010185,0.9281674208144797,8842,1768,1180
1,Hospital_4,0.028843235480599104,0.9933280560895623,0.35892531568450586,0.9264705882352942,8843,1768,1180
1,Hospital_5,NA,NA,0.34862566449945526,0.9406108597285068,NA,1768,1180
2,Hospital_1,0.005635016361442727,0.9981906592785253,0.02255636760570009,0.996606334841629,8843,1768,1180
2,Hospital_2,NA,NA,0.004578726637451577,0.998868778280543,NA,1768,1180
2,Hospital_3,0.004987160009997231,0.9987559375706854,0.011273284485339121,0.995475113122172,8842,1768,1180
2,Hospital_4,0.00619769485035379,0.9985299106638019,0.011542053601650488,0.9960407239819005,8843,1768,1180
2,Hospital_5,NA,NA,0.004830437627398558,0.9983031674208145,NA,1768,1180
3,Hospital_1,0.0021952951775996814,0.9995476648196313,0.014249973582731659,0.9971719457013575,8843,1768,1180
3,Hospital_2,0.0032609851207650664,0.9990953296392627,0.004284478123736335,0.998868778280543,8843,1768,1180
3,Hospital_3,NA,NA,0.0032052367093586198,0.998868778280543,NA,1768,1180
3,Hospital_4,0.0019441819336082388,0.9995476648196313,0.0057675614134495845,0.9983031674208145,8843,1768,1180
3,Hospital_5,NA,NA,0.00441877210583438,0.998868778280543,NA,1768,1180
4,Hospital_1,NA,NA,0.085164294041793,0.9779411764705882,NA,1768,1180
4,Hospital_2,0.012170290694172893,0.9970598213276037,0.08127587738740008,0.9813348416289592,8843,1768,1180
4,Hospital_3,0.001352681103055277,0.9997738068310337,0.08646433071576862,0.9745475113122172,8842,1768,1180
4,Hospital_4,NA,NA,0.08154953079013337,0.9835972850678733,NA,1768,1180
4,Hospital_5,0.0024137572985117525,0.9990953296392627,0.07601694689999151,0.9807692307692307,8843,1768,1180
5,Hospital_1,0.0013134287533050936,0.9996607486147235,0.008194311002236125,0.9983031674208145,8843,1768,1180
5,Hospital_2,0.0013680520219038173,0.9996607486147235,0.005738687540023031,0.9983031674208145,8843,1768,1180
5,Hospital_3,NA,NA,0.0021818209638045766,0.998868778280543,NA,1768,1180
5,Hospital_4,NA,NA,0.005862626400942515,0.9983031674208145,NA,1768,1180
5,Hospital_5,0.0028071210141726102,0.9994345810245392,0.002631573847078731,0.9994343891402715,8843,1768,1180
6,Hospital_1,NA,NA,0.009898760828361577,0.9983031674208145,NA,1768,1180
6,Hospital_2,NA,NA,0.0033676621305208493,0.998868778280543,NA,1768,1180
6,Hospital_3,0.0007340134703814068,1.0,0.0009804356510098192,0.9994343891402715,8842,1768,1180
6,Hospital_4,0.0014971346107943515,0.9995476648196313,0.00592155726241929,0.9983031674208145,8843,1768,1180
6,Hospital_5,0.0016575297456646306,0.9996607486147235,0.001371120150614453,0.9994343891402715,8843,1768,1180
