hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,5,5,1.4e-05,0.000397,0.0,1e-06,8.5e-05,0.999504
Hospital_1,1,0,0,0.999283,1e-05,0.000312,1.6e-05,0.000198,0.000181
Hospital_1,2,4,4,0.0,0.0,0.0,2e-05,0.99965,0.00033
Hospital_1,3,3,3,0.0,0.0,0.0,0.983098,0.016902,0.0
Hospital_1,4,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,5,0,0,0.999878,0.0,3.2e-05,1.1e-05,7.4e-05,4e-06
Hospital_1,6,0,0,0.99971,1e-06,3e-06,1e-06,0.000223,6.2e-05
Hospital_1,7,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,8,4,4,0.0,0.0,0.0,0.001186,0.998751,6.3e-05
Hospital_1,9,5,5,1.1e-05,1.5e-05,0.0,6e-06,0.030322,0.969646
Hospital_1,10,2,2,0.00013,0.0,0.999752,3.9e-05,7.8e-05,1e-06
Hospital_1,11,2,2,0.000113,1e-06,0.999744,6.7e-05,7.5e-05,1e-06
Hospital_1,12,5,5,2.7e-05,0.000155,3e-06,2e-05,0.000346,0.999449
Hospital_1,13,1,1,8e-06,0.989009,1e-06,6e-06,0.000349,0.010627
Hospital_1,14,1,1,2e-06,0.999766,0.0,0.0,2.1e-05,0.00021
Hospital_1,15,4,4,0.0,0.0,3e-06,0.031488,0.968509,0.0
Hospital_1,16,3,3,0.0,0.0,0.0,0.99999,1e-05,0.0
Hospital_1,17,0,0,0.999641,2e-06,0.000243,9e-06,3.5e-05,7e-05
Hospital_1,18,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,19,2,2,7.4e-05,0.0,0.999826,6.4e-05,3.5e-05,0.0
Hospital_1,20,0,0,0.999344,1e-06,0.000522,4.1e-05,8.9e-05,3e-06
Hospital_1,21,4,4,0.0,0.0,0.0,0.000111,0.999818,7.1e-05
Hospital_1,22,2,2,0.004162,1e-06,0.995376,0.000159,0.000298,4e-06
Hospital_1,23,4,4,0.0,0.0,0.0,1.1e-05,0.999834,0.000155
Hospital_1,24,3,3,0.0,0.0,0.0,0.999968,3.2e-05,0.0
Hospital_1,25,4,4,1e-06,2e-06,2e-06,0.005537,0.992157,0.002301
Hospital_1,26,3,3,0.0,0.0,0.0,0.999997,3e-06,0.0
Hospital_1,27,4,4,0.0,0.0,0.0,0.000207,0.99977,2.3e-05
Hospital_1,28,2,2,0.000248,0.0,0.999001,8.4e-05,0.000667,1e-06
Hospital_1,29,1,1,1e-06,0.999857,0.0,0.0,1e-05,0.000131
Hospital_1,30,1,1,2e-06,0.999711,1e-06,1e-06,3e-05,0.000255
Hospital_1,31,1,1,0.0,0.999975,0.0,0.0,2e-06,2.3e-05
Hospital_1,32,5,5,7e-06,1.5e-05,0.0,3e-06,0.009224,0.99075
Hospital_1,33,3,3,0.0,0.0,0.0,0.999141,0.000859,0.0
Hospital_1,34,2,2,0.000919,1e-06,0.998639,6.6e-05,0.00037,5e-06
Hospital_1,35,0,0,0.980864,8e-05,0.018809,1.2e-05,3.5e-05,0.0002
Hospital_1,36,0,0,0.999125,4e-06,0.000137,1.5e-05,0.000547,0.000172
Hospital_1,37,0,0,0.998647,5e-06,0.001091,4e-06,0.00013,0.000123
Hospital_1,38,3,3,0.0,0.0,0.0,0.999861,0.000139,0.0
Hospital_1,39,4,4,0.0,0.0,0.0,0.000145,0.999844,1.2e-05
Hospital_1,40,0,0,0.999494,4e-06,0.000339,7e-06,9.8e-05,5.8e-05
Hospital_1,41,4,4,0.0,0.0,0.0,2.9e-05,0.999924,4.7e-05
Hospital_1,42,1,1,1e-06,0.999828,0.0,0.0,1.3e-05,0.000158
Hospital_1,43,2,2,0.00182,2e-06,0.998034,2.8e-05,0.000115,2e-06
Hospital_1,44,1,1,0.0,0.999873,0.0,0.0,3e-06,0.000124
Hospital_1,45,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,46,1,1,1e-06,0.999973,0.0,0.0,3e-06,2.3e-05
Hospital_1,47,1,1,5e-06,0.998465,2e-06,3e-06,0.000124,0.001401
Hospital_1,48,4,4,0.0,0.0,0.0,0.000911,0.999081,9e-06
Hospital_1,49,4,4,0.0,0.0,0.0,0.000126,0.99979,8.3e-05
Hospital_1,50,4,4,0.0,0.0,2e-06,0.004648,0.99535,0.0
Hospital_1,51,3,3,0.0,0.0,0.0,0.999499,0.000501,0.0
Hospital_1,52,4,4,0.0,0.0,0.0,1.4e-05,0.999814,0.000172
Hospital_1,53,4,4,0.0,0.0,0.0,2.1e-05,0.999952,2.6e-05
Hospital_1,54,2,2,0.00088,1e-06,0.998919,2.4e-05,0.000176,1e-06
Hospital_1,55,1,1,3e-06,0.99865,1e-06,1e-06,8.5e-05,0.00126
Hospital_1,56,1,1,0.0,0.999973,0.0,0.0,2e-06,2.4e-05
Hospital_1,57,1,1,1e-06,0.999873,0.0,0.0,5e-06,0.000122
Hospital_1,58,5,5,0.000255,0.246824,7.1e-05,0.000573,0.021697,0.73058
Hospital_1,59,0,0,0.999575,1.3e-05,0.000326,1e-06,1.4e-05,7.1e-05
Hospital_1,60,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,61,3,3,0.0,0.0,0.0,0.999978,2.2e-05,0.0
Hospital_1,62,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,63,4,4,0.0,0.0,0.0,1.8e-05,0.99991,7.2e-05
Hospital_1,64,5,5,0.0,0.0,0.0,0.0,8.7e-05,0.999912
Hospital_1,65,4,4,0.0,0.0,0.0,2.4e-05,0.999742,0.000234
Hospital_1,66,5,5,0.0,0.0,1e-06,3e-06,1.2e-05,0.999984
Hospital_1,67,1,1,3e-06,0.998409,1e-06,2e-06,7.4e-05,0.001511
Hospital_1,68,2,2,0.000908,1e-06,0.998767,8.1e-05,0.000238,5e-06
Hospital_1,69,0,0,0.998789,3e-06,0.000856,3.4e-05,1.9e-05,0.000298
Hospital_1,70,0,0,0.998082,4e-06,0.001796,6e-06,7.7e-05,3.6e-05
Hospital_1,71,0,0,0.999932,2e-06,1.8e-05,0.0,1.6e-05,3.2e-05
Hospital_1,72,2,2,0.001906,1e-06,0.997707,0.000125,0.000258,4e-06
Hospital_1,73,2,2,0.001518,1e-06,0.997965,0.000194,0.000321,1e-06
Hospital_1,74,4,4,0.0,0.0,5e-06,0.003239,0.996755,2e-06
Hospital_1,75,3,3,0.0,0.0,0.0,0.999993,7e-06,0.0
Hospital_1,76,5,5,0.0,0.0,1e-06,1e-06,2e-06,0.999996
Hospital_1,77,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,78,4,4,0.0,0.0,0.0,2.6e-05,0.999727,0.000247
Hospital_1,79,4,4,0.0,0.0,0.0,4.9e-05,0.999921,3.1e-05
Hospital_1,80,0,0,0.999834,1e-06,6.7e-05,8e-06,7.2e-05,1.8e-05
Hospital_1,81,5,5,7e-06,2.6e-05,0.0,1.3e-05,0.007454,0.992499
Hospital_1,82,5,5,0.000292,0.185471,9e-05,0.000713,0.023247,0.790187
Hospital_1,83,2,2,0.005397,2e-06,0.993558,0.000104,0.000913,2.6e-05
Hospital_1,84,2,2,0.000285,0.0,0.999582,6.1e-05,6.9e-05,2e-06
Hospital_1,85,4,4,1e-06,0.0,0.0,0.00396,0.992439,0.003599
Hospital_1,86,1,1,8e-06,0.997045,3e-06,8e-06,0.000249,0.002688
Hospital_1,87,0,0,0.999302,5e-06,0.000306,1.1e-05,0.000224,0.000152
Hospital_1,88,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,89,0,0,0.999938,1e-06,1e-05,3e-06,3.8e-05,1.1e-05
Hospital_1,90,2,2,0.003226,2e-06,0.996506,4.9e-05,0.00021,7e-06
Hospital_1,91,4,4,0.0,0.0,0.0,0.000352,0.999365,0.000283
Hospital_1,92,1,1,1e-06,0.999774,0.0,0.0,1.2e-05,0.000212
Hospital_1,93,0,0,0.999334,2e-06,3.2e-05,1.6e-05,0.000534,8.2e-05
Hospital_1,94,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,95,0,0,0.999272,2e-06,0.000356,1.8e-05,0.000329,2.3e-05
Hospital_1,96,2,2,0.000894,0.0,0.998954,6.3e-05,8.7e-05,1e-06
Hospital_1,97,4,4,0.0,0.0,0.0,0.009489,0.990378,0.000132
Hospital_1,98,4,4,0.0,0.0,0.0,0.00014,0.999767,9.3e-05
Hospital_1,99,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,100,2,2,0.003879,4e-06,0.995621,4.1e-05,0.00045,4e-06
Hospital_1,101,3,3,0.0,0.0,0.0,0.99999,1e-05,0.0
Hospital_1,102,1,1,8e-06,0.974417,2e-06,1.1e-05,0.000728,0.024833
Hospital_1,103,2,2,0.00059,0.0,0.998912,0.000214,0.000282,1e-06
Hospital_1,104,3,3,0.0,0.0,0.0,0.999434,0.000566,0.0
Hospital_1,105,2,2,0.001368,1e-06,0.997912,0.000157,0.00056,2e-06
Hospital_1,106,1,1,3e-06,0.998329,1e-06,1e-06,7.4e-05,0.001593
Hospital_1,107,0,0,0.999849,1e-06,8.1e-05,1.2e-05,4.3e-05,1.4e-05
Hospital_1,108,5,5,8e-06,8.2e-05,6e-06,5e-06,3.9e-05,0.99986
Hospital_1,109,2,2,0.00013,0.0,0.999749,2.5e-05,9.5e-05,1e-06
Hospital_1,110,3,3,0.0,0.0,0.0,0.994073,0.005927,0.0
Hospital_1,111,1,1,0.0,0.999991,0.0,0.0,1e-06,9e-06
Hospital_1,112,5,5,3.5e-05,0.002357,0.000384,0.000146,0.000393,0.996685
Hospital_1,113,2,2,4.3e-05,0.0,0.999794,0.000103,5.9e-05,1e-06
Hospital_1,114,1,1,2e-06,0.999506,1e-06,1e-06,2.3e-05,0.000467
Hospital_1,115,5,5,1e-06,0.0,0.0,1e-06,0.001221,0.998777
Hospital_1,116,1,1,7e-06,0.972886,2e-06,8e-06,0.000657,0.02644
Hospital_1,117,3,3,0.0,0.0,0.0,0.999981,1.9e-05,0.0
Hospital_1,118,0,0,0.999721,0.0,9.1e-05,8e-06,0.000177,4e-06
Hospital_1,119,3,3,0.0,0.0,0.0,0.999997,3e-06,0.0
