hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,5,5,0.000527,0.00028,0.0,9e-06,0.008938,0.990247
Hospital_1,1,0,0,0.998282,7.8e-05,0.000524,4.8e-05,0.000927,0.000141
Hospital_1,2,0,0,0.999098,1.2e-05,0.000588,2e-05,0.000272,1e-05
Hospital_1,3,0,0,0.988951,0.004967,0.005881,3.4e-05,6.2e-05,0.000105
Hospital_1,4,3,3,0.0,0.0,0.0,0.999989,1.1e-05,0.0
Hospital_1,5,1,1,9e-06,0.997811,0.0,0.0,7e-06,0.002173
Hospital_1,6,4,4,0.0,0.0,0.0,0.000109,0.999034,0.000857
Hospital_1,7,3,3,0.0,0.0,0.0,0.999947,5.3e-05,0.0
Hospital_1,8,3,3,0.0,0.0,0.0,0.999969,3e-05,0.0
Hospital_1,9,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,10,3,3,0.0,0.0,0.0,0.999997,3e-06,0.0
Hospital_1,11,2,2,0.001672,3.5e-05,0.968008,0.010389,0.019856,3.9e-05
Hospital_1,12,5,5,0.000437,4e-05,0.0,3e-05,0.038727,0.960766
Hospital_1,13,2,2,0.001457,3.3e-05,0.995277,0.001802,0.001406,2.5e-05
Hospital_1,14,4,4,1e-06,0.0,0.0,0.00034,0.999188,0.000471
Hospital_1,15,2,2,0.000285,1.1e-05,0.992967,0.00585,0.000867,2e-05
Hospital_1,16,2,2,0.008358,4.3e-05,0.986912,0.001637,0.003011,3.8e-05
Hospital_1,17,5,5,1e-06,1e-05,3e-06,6.5e-05,5.9e-05,0.999862
Hospital_1,18,5,5,0.000329,0.338657,6.4e-05,0.000195,0.007676,0.65308
Hospital_1,19,0,0,0.998089,0.000287,0.000591,3.4e-05,0.000506,0.000494
Hospital_1,20,4,4,0.0,0.0,0.0,0.000805,0.998995,0.000199
Hospital_1,21,2,2,0.002479,1.7e-05,0.994882,0.001001,0.001611,1e-05
Hospital_1,22,3,3,0.0,0.0,0.0,0.999997,3e-06,0.0
Hospital_1,23,1,1,4.1e-05,0.999922,0.0,0.0,1e-06,3.6e-05
Hospital_1,24,1,1,0.000165,0.820402,1.9e-05,5.8e-05,0.001694,0.177663
Hospital_1,25,1,1,6.2e-05,0.974493,6e-06,6e-06,0.000154,0.025279
Hospital_1,26,2,2,0.00399,3e-05,0.994169,0.000686,0.001119,5e-06
Hospital_1,27,4,4,0.0,0.0,0.0,0.000428,0.99853,0.001042
Hospital_1,28,4,4,1e-06,1e-06,0.0,0.002571,0.973566,0.023861
Hospital_1,29,5,5,0.000141,4.1e-05,0.0,7e-06,0.013485,0.986326
Hospital_1,30,5,5,4.5e-05,0.000203,0.000376,0.011557,0.017733,0.970086
Hospital_1,31,1,1,1.7e-05,0.999821,0.0,0.0,1e-06,0.00016
Hospital_1,32,2,2,0.000454,1.5e-05,0.996569,0.001795,0.001148,2e-05
Hospital_1,33,0,0,0.999125,5.1e-05,0.000218,4e-05,0.000459,0.000107
Hospital_1,34,2,2,0.001209,2.3e-05,0.99374,0.00218,0.002831,1.8e-05
Hospital_1,35,2,2,0.005616,3.4e-05,0.991764,0.001129,0.001439,1.7e-05
Hospital_1,36,2,2,0.000971,2e-05,0.995339,0.002185,0.001441,4.4e-05
Hospital_1,37,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,38,3,3,0.0,0.0,0.0,0.999863,0.000137,0.0
Hospital_1,39,2,2,0.020537,0.000164,0.977467,0.000522,0.001268,4.2e-05
Hospital_1,40,2,2,0.001404,1.8e-05,0.99566,0.001566,0.001334,1.7e-05
Hospital_1,41,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,42,2,2,0.004517,2.9e-05,0.991882,0.001279,0.00228,1.3e-05
Hospital_1,43,5,5,1e-06,3.1e-05,1.2e-05,0.000119,7.8e-05,0.999759
Hospital_1,44,2,2,0.000907,1.2e-05,0.996947,0.001318,0.000807,1e-05
Hospital_1,45,5,5,6e-06,8e-06,0.0,8e-06,0.002548,0.997431
Hospital_1,46,5,5,1.1e-05,6.9e-05,1.8e-05,0.000782,0.001014,0.998106
Hospital_1,47,1,1,1.7e-05,0.964861,2e-06,2e-06,8e-05,0.035037
Hospital_1,48,4,4,0.0,0.0,0.0,0.00026,0.998809,0.000931
Hospital_1,49,3,3,0.0,0.0,0.0,0.992327,0.007672,0.0
Hospital_1,50,5,5,0.0,0.0,0.0,2.1e-05,0.001059,0.99892
