metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15;Hospital_16;Hospital_17;Hospital_18;Hospital_19;Hospital_20;Hospital_21;Hospital_22;Hospital_23;Hospital_24;Hospital_25;Hospital_26;Hospital_27;Hospital_28;Hospital_29;Hospital_30;Hospital_31;Hospital_32;Hospital_33;Hospital_34;Hospital_35;Hospital_36;Hospital_37;Hospital_38;Hospital_39;Hospital_40;Hospital_41;Hospital_42;Hospital_43;Hospital_44;Hospital_45;Hospital_46;Hospital_47;Hospital_48;Hospital_49;Hospital_50
fedavg;16;1.0000;0.9916;1.0000;1.0000;1.0000;0.9916;0.9916;0.9915;0.9748;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9832;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9832;0.9916;0.9748;0.9916;0.9916;0.9916;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000
fedavg;999;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;0.9748;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9832;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9832;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9915;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;0.9916;1.0000;1.0000
fedavg;1935;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;1.0000;0.9832;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
fedprox;16;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000
fedprox;999;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9832;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000
fedprox;1935;1.0000;0.9664;0.9832;0.9916;0.9916;1.0000;0.9832;0.9915;0.9832;0.9916;1.0000;0.9916;0.9832;0.9832;0.9832;0.9916;0.9916;0.9832;1.0000;0.9916;0.9916;0.9916;1.0000;1.0000;0.9748;1.0000;1.0000;1.0000;1.0000;0.9664;0.9916;1.0000;1.0000;0.9916;0.9748;0.9746;1.0000;0.9916;0.9832;0.9748;0.9916;1.0000;1.0000;0.9916;0.9916;0.9748;0.9832;1.0000;0.9831;0.9916
fedewa;16;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1695;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1695;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1695;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1695;0.1681
fedewa;999;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1695;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1695;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1695;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1681;0.1695;0.1681
fedewa;1935;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9832;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000
fedag;16;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000
fedag;999;1.0000;0.9664;0.9832;0.9916;1.0000;0.9916;0.9832;0.9915;0.9664;0.9916;1.0000;0.9832;0.9832;0.9832;0.9916;0.9916;0.9916;0.9832;0.9916;0.9916;0.9916;0.9916;1.0000;1.0000;0.9748;0.9916;1.0000;0.9832;0.9916;0.9748;0.9832;0.9916;0.9916;0.9916;0.9748;0.9746;1.0000;0.9916;0.9832;0.9748;0.9832;1.0000;0.9916;0.9916;0.9832;0.9832;0.9832;0.9916;0.9831;0.9916
fedag;1935;1.0000;1.0000;1.0000;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
mh_random_search;16;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9915;0.9832;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9832;1.0000;0.9916;0.9748;1.0000;1.0000;0.9916;1.0000;0.9831;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;0.9832;0.9916;1.0000;1.0000;1.0000;1.0000
mh_random_search;999;0.9916;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9748;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9832;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9832;0.9916;1.0000;1.0000;0.9916;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;0.9832;1.0000;1.0000;0.9916;1.0000;1.0000
mh_random_search;1935;1.0000;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9832;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9832;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
mh_de;16;1.0000;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9832;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000
mh_de;999;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9832;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;1.0000
mh_de;1935;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;1.0000;0.9748;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;0.9916;1.0000;1.0000;0.9916;1.0000;0.9916;1.0000;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000
mh_ga;16;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;0.9916;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9916;1.0000;1.0000;1.0000;0.9916;1.0000;0.9916;0.9915;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9916;1.0000;1.0000
