hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,5,5,0.072158,0.01298,4e-06,0.000231,0.046446,0.86818
Hospital_1,1,0,0,0.996952,3.8e-05,5.6e-05,6.3e-05,0.002402,0.000489
Hospital_1,2,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,3,4,4,3e-06,0.0,0.0,0.00387,0.994208,0.001919
Hospital_1,4,4,4,0.0,0.0,0.0,0.000664,0.999227,0.000108
Hospital_1,5,0,0,0.997435,0.000311,0.000213,0.000219,0.001041,0.00078
Hospital_1,6,3,3,0.0,0.0,0.0,0.999996,4e-06,0.0
Hospital_1,7,0,0,0.99993,1.7e-05,4e-06,3e-06,3.4e-05,1.4e-05
Hospital_1,8,2,2,0.031626,5e-05,0.958709,0.004646,0.004906,6.3e-05
Hospital_1,9,3,3,0.0,0.0,0.0,0.999978,2.2e-05,0.0
Hospital_1,10,4,4,0.0,0.0,0.0,0.002304,0.997266,0.00043
Hospital_1,11,1,1,0.000206,0.99969,3e-06,8e-06,5.7e-05,3.6e-05
Hospital_1,12,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,13,2,2,0.001822,8e-06,0.98258,0.011621,0.003959,8e-06
Hospital_1,14,4,4,2e-06,0.0,0.0,0.008884,0.989894,0.001219
Hospital_1,15,1,1,0.000523,0.998507,1.1e-05,2.6e-05,0.000109,0.000825
Hospital_1,16,2,2,0.111299,0.000182,0.876613,0.00457,0.00728,5.7e-05
Hospital_1,17,0,0,0.951134,0.0474,0.000134,1e-05,0.000241,0.001081
Hospital_1,18,0,0,0.999408,1.8e-05,0.000223,8.8e-05,0.000259,4e-06
Hospital_1,19,2,2,0.014617,3.8e-05,0.88428,0.045963,0.055031,7e-05
Hospital_1,20,0,0,0.99135,0.002569,0.000634,0.000122,0.00262,0.002705
Hospital_1,21,4,4,5e-06,1e-06,2e-06,0.039036,0.95887,0.002085
Hospital_1,22,4,4,1.4e-05,0.0,0.0,0.038777,0.960883,0.000325
Hospital_1,23,2,2,0.008231,3.6e-05,0.98756,0.001589,0.002517,6.8e-05
Hospital_1,24,2,2,0.011333,2.6e-05,0.966255,0.016522,0.005826,3.7e-05
Hospital_1,25,5,5,0.002524,0.025418,1e-06,2e-05,0.001349,0.970688
Hospital_1,26,4,4,1e-06,0.0,0.0,0.014032,0.985699,0.000268
Hospital_1,27,2,2,0.005654,5.2e-05,0.968503,0.021551,0.004147,9.3e-05
Hospital_1,28,5,5,9e-06,1.5e-05,0.0,6.7e-05,0.000134,0.999776
Hospital_1,29,4,4,1e-06,0.0,0.0,0.000418,0.998397,0.001185
Hospital_1,30,0,0,0.976385,0.020998,0.002209,7.7e-05,0.000185,0.000146
Hospital_1,31,5,5,0.001718,9.6e-05,1e-06,0.000551,0.048075,0.949559
Hospital_1,32,3,3,0.0,0.0,0.0,0.999991,9e-06,0.0
Hospital_1,33,3,3,0.0,0.0,0.0,0.999991,9e-06,0.0
Hospital_1,34,5,5,3e-06,3e-06,4e-06,0.001312,0.000661,0.998017
Hospital_1,35,5,5,0.000174,2.7e-05,0.0,7.1e-05,0.018637,0.981091
Hospital_1,36,0,0,0.995732,0.000265,0.000179,0.00023,0.002001,0.001592
Hospital_1,37,2,2,0.008512,5.1e-05,0.985759,0.0031,0.002546,3.2e-05
Hospital_1,38,0,0,0.998049,0.000303,0.000186,0.000211,0.000862,0.000388
Hospital_1,39,2,2,0.000384,1.2e-05,0.989173,0.008915,0.001483,3.3e-05
Hospital_1,40,0,0,0.988327,0.000114,0.003549,0.001995,0.005194,0.00082
Hospital_1,41,4,4,3e-06,1e-06,1e-06,0.00194,0.996272,0.001784
Hospital_1,42,2,2,0.059296,7.5e-05,0.918717,0.002189,0.019546,0.000177
Hospital_1,43,3,3,0.0,0.0,0.0,0.999995,5e-06,0.0
Hospital_1,44,2,2,0.017162,3.8e-05,0.977009,0.002127,0.003568,9.7e-05
Hospital_1,45,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,46,2,2,0.003824,2.5e-05,0.992262,0.002971,0.000905,1.3e-05
Hospital_1,47,4,4,1e-06,0.0,0.0,0.002419,0.992307,0.005273
Hospital_1,48,1,1,0.000556,0.985585,2.4e-05,8.8e-05,0.001995,0.011751
Hospital_1,49,2,2,0.004473,3.2e-05,0.967544,0.025448,0.002468,3.5e-05
Hospital_1,50,5,1,0.003226,0.547316,0.000733,0.00361,0.068253,0.376862
Hospital_1,51,5,5,1e-05,3.6e-05,0.000193,0.001924,0.000575,0.997263
Hospital_1,52,4,4,0.0,0.0,0.0,0.001033,0.998782,0.000185
Hospital_1,53,0,0,0.96646,0.029422,0.003665,0.000126,0.000193,0.000134
Hospital_1,54,5,5,0.000604,6.9e-05,0.0,3.7e-05,0.002535,0.996755
