hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,2,2,0.000113,0.0,0.999695,6.7e-05,0.000125,0.0
Hospital_1,1,0,0,0.987716,2.7e-05,0.011678,0.00011,0.000425,4.5e-05
Hospital_1,2,0,0,0.999577,0.000195,0.000215,0.0,9e-06,4e-06
Hospital_1,3,1,1,8e-06,0.74062,1e-06,3e-06,0.00105,0.258318
Hospital_1,4,3,3,0.0,0.0,0.0,0.999989,1.1e-05,0.0
Hospital_1,5,1,1,1e-06,0.999995,0.0,0.0,0.0,5e-06
Hospital_1,6,0,0,0.999872,4e-06,5.5e-05,3e-06,5.8e-05,9e-06
Hospital_1,7,5,5,2.8e-05,0.158182,5e-06,3.4e-05,0.006419,0.835332
Hospital_1,8,2,2,0.000229,0.0,0.999466,0.000104,0.0002,1e-06
Hospital_1,9,2,2,6e-06,0.0,0.999593,0.000229,0.000173,0.0
Hospital_1,10,4,4,0.0,0.0,0.0,4e-06,0.999476,0.00052
Hospital_1,11,1,1,0.0,0.999998,0.0,0.0,0.0,2e-06
Hospital_1,12,0,0,0.996498,1.4e-05,0.00318,2.1e-05,0.000265,2.2e-05
Hospital_1,13,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,14,5,5,0.0,2e-06,0.0,4e-06,5e-06,0.999989
Hospital_1,15,0,0,0.999776,4e-06,9.4e-05,3e-06,0.000106,1.8e-05
Hospital_1,16,5,5,3e-06,0.000571,1e-06,3.1e-05,0.000795,0.998599
Hospital_1,17,4,4,0.0,0.0,0.0,1.1e-05,0.999968,2.1e-05
Hospital_1,18,0,0,0.999932,4e-06,1.8e-05,1e-06,3.6e-05,8e-06
Hospital_1,19,5,5,1e-06,2e-06,0.0,2e-06,0.000434,0.999561
Hospital_1,20,5,5,9.6e-05,4e-06,0.0,2e-06,0.031559,0.968338
Hospital_1,21,0,0,0.999982,4e-06,7e-06,0.0,5e-06,1e-06
Hospital_1,22,2,2,0.000756,0.0,0.998886,0.00014,0.000216,1e-06
Hospital_1,23,5,5,0.0,3e-06,0.0,1e-05,4e-06,0.999983
Hospital_1,24,2,2,0.001645,0.0,0.997878,0.000115,0.00036,1e-06
Hospital_1,25,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,26,4,4,0.0,0.0,0.0,0.000201,0.999747,5.1e-05
Hospital_1,27,2,2,2.1e-05,0.0,0.999796,7.9e-05,0.000103,0.0
Hospital_1,28,0,0,0.99989,2.1e-05,8e-05,0.0,8e-06,1e-06
Hospital_1,29,1,1,2e-06,0.999729,0.0,0.0,2e-06,0.000267
Hospital_1,30,3,3,0.0,0.0,0.0,0.999816,0.000185,0.0
Hospital_1,31,2,2,4e-06,0.0,0.99955,0.000352,9.5e-05,0.0
Hospital_1,32,4,4,0.0,0.0,0.0,1.5e-05,0.999898,8.7e-05
Hospital_1,33,2,2,8.2e-05,0.0,0.99968,9.9e-05,0.000138,1e-06
Hospital_1,34,2,2,9.2e-05,0.0,0.99955,0.000232,0.000126,1e-06
Hospital_1,35,0,0,0.999949,2e-06,9e-06,1e-06,2.7e-05,1.2e-05
Hospital_1,36,5,5,0.0,1e-06,0.0,1.1e-05,5e-06,0.999983
Hospital_1,37,5,5,7e-06,2e-06,0.0,2e-06,0.007295,0.992694
Hospital_1,38,5,5,0.001137,0.002087,0.0,2e-06,0.005716,0.991058
Hospital_1,39,4,4,0.0,0.0,0.0,4.4e-05,0.999898,5.8e-05
Hospital_1,40,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,41,2,2,0.001735,1e-06,0.997448,0.000183,0.000629,2e-06
Hospital_1,42,0,0,0.999912,3.4e-05,4.1e-05,1e-06,9e-06,4e-06
Hospital_1,43,2,2,0.00125,1e-06,0.998176,0.000181,0.00039,2e-06
Hospital_1,44,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,45,1,1,5e-06,0.996712,0.0,1e-06,2.2e-05,0.003261
Hospital_1,46,0,0,0.999812,6e-06,7e-05,3e-06,8.9e-05,2e-05
Hospital_1,47,0,0,0.997661,0.000959,0.001273,9e-06,3.4e-05,6.5e-05
Hospital_1,48,2,2,0.000465,1e-06,0.999147,9.5e-05,0.000292,1e-06
Hospital_1,49,5,5,0.0,0.0,0.0,0.0,0.000192,0.999807
Hospital_1,50,2,2,0.000139,0.0,0.999637,9.1e-05,0.000131,1e-06
Hospital_1,51,5,5,0.0,1e-06,0.0,2e-06,2.3e-05,0.999974
Hospital_1,52,4,4,0.0,0.0,0.0,8e-06,0.999964,2.8e-05
Hospital_1,53,2,2,3.6e-05,0.0,0.999755,9.7e-05,0.000111,0.0
Hospital_1,54,0,0,0.99997,1e-06,1.2e-05,0.0,1.5e-05,1e-06
Hospital_1,55,3,3,0.0,0.0,0.0,0.999991,9e-06,0.0
Hospital_1,56,3,3,0.0,0.0,0.0,0.999997,3e-06,0.0
Hospital_1,57,5,5,1.8e-05,0.001592,0.0,1e-05,0.000732,0.997647
Hospital_1,58,4,4,0.0,0.0,0.0,0.000852,0.999066,8.2e-05
Hospital_1,59,1,1,4e-06,0.999958,0.0,0.0,1e-06,3.7e-05
Hospital_1,60,4,4,0.0,0.0,0.0,4e-06,0.999919,7.7e-05
Hospital_1,61,1,1,1e-06,0.990816,0.0,0.0,1.3e-05,0.00917
Hospital_1,62,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,63,4,4,0.0,0.0,0.0,0.00011,0.998209,0.001681
Hospital_1,64,1,1,8.5e-05,0.9999,2e-06,1e-06,5e-06,7e-06
Hospital_1,65,0,0,0.99997,4e-06,1.5e-05,0.0,8e-06,3e-06
Hospital_1,66,2,2,2.4e-05,0.0,0.999733,0.000104,0.000137,1e-06
Hospital_1,67,5,5,0.0,2e-06,0.0,7e-06,8e-06,0.999983
Hospital_1,68,4,4,0.0,0.0,0.0,0.001012,0.99894,4.8e-05
Hospital_1,69,5,5,0.0,2.8e-05,3e-06,1.9e-05,7.4e-05,0.999875
Hospital_1,70,0,0,0.999375,3.9e-05,0.000322,1.7e-05,2.3e-05,0.000224
Hospital_1,71,0,0,0.99975,0.0,0.000215,4e-06,3e-05,0.0
Hospital_1,72,2,2,0.000323,0.0,0.9994,9.9e-05,0.000176,0.0
Hospital_1,73,1,1,1.6e-05,0.999953,0.0,0.0,2e-06,2.9e-05
Hospital_1,74,2,2,0.001461,1e-06,0.997809,0.000173,0.000553,3e-06
Hospital_1,75,2,2,0.004202,1e-06,0.994843,0.000159,0.000792,2e-06
Hospital_1,76,5,5,3.1e-05,0.167818,5e-06,3.1e-05,0.006031,0.826084
Hospital_1,77,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,78,5,5,0.0,0.0,0.0,2e-06,7e-06,0.999991
Hospital_1,79,3,3,0.0,0.0,0.0,0.99999,1e-05,0.0
Hospital_1,80,5,5,0.0,4e-06,0.0,8e-06,1.7e-05,0.99997
Hospital_1,81,0,0,0.999928,6e-06,5.2e-05,1e-06,1.1e-05,3e-06
Hospital_1,82,4,4,0.0,0.0,4e-06,0.010427,0.989569,0.0
Hospital_1,83,1,1,2e-06,0.999949,0.0,0.0,1e-06,4.9e-05
Hospital_1,84,4,4,0.0,0.0,0.0,5.2e-05,0.999532,0.000417
Hospital_1,85,4,4,0.0,0.0,0.0,2.2e-05,0.999944,3.4e-05
Hospital_1,86,5,5,1.2e-05,0.000202,0.0,1.4e-05,0.012053,0.987719
Hospital_1,87,1,1,1e-06,0.999942,0.0,0.0,1e-06,5.6e-05
Hospital_1,88,4,4,0.0,0.0,0.0,5e-06,0.999908,8.8e-05
Hospital_1,89,1,1,4e-06,0.99782,0.0,0.0,1e-05,0.002166
Hospital_1,90,0,0,0.999599,1e-06,0.000389,0.0,1e-05,1e-06
Hospital_1,91,0,0,0.999431,1e-06,0.000485,2e-06,8e-05,1e-06
Hospital_1,92,2,2,0.000433,0.0,0.998277,0.000146,0.001139,5e-06
Hospital_1,93,3,3,0.0,0.0,0.0,0.999985,1.5e-05,0.0
Hospital_1,94,5,5,3e-06,0.004751,2e-06,5e-06,4.2e-05,0.995197
Hospital_1,95,1,1,1e-06,0.99992,0.0,0.0,1e-06,7.8e-05
Hospital_1,96,1,1,1e-06,0.999904,0.0,0.0,0.0,9.5e-05
Hospital_1,97,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,98,4,4,0.0,0.0,1e-06,0.005321,0.99463,4.7e-05
Hospital_1,99,5,5,2e-06,6e-06,0.0,2e-06,0.001484,0.998506
Hospital_1,100,5,5,1e-05,0.000603,0.0,0.0,8.7e-05,0.9993
Hospital_1,101,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,102,2,2,0.011906,4e-06,0.98719,0.000136,0.000759,5e-06
Hospital_1,103,0,0,0.999549,2e-06,0.000397,5e-06,4.7e-05,1e-06
Hospital_1,104,0,0,0.997801,3e-06,0.00139,6e-05,0.00068,6.6e-05
Hospital_1,105,0,0,0.992311,0.0,0.001673,0.000168,0.005553,0.000294
Hospital_1,106,5,5,0.0,0.0,0.0,0.0,1.4e-05,0.999985
Hospital_1,107,2,2,2.4e-05,0.0,0.999732,0.000101,0.000143,0.0
Hospital_1,108,1,1,2e-05,0.999973,0.0,0.0,1e-06,7e-06
Hospital_1,109,2,2,2.3e-05,0.0,0.999562,0.000228,0.000186,1e-06
Hospital_1,110,2,2,1.7e-05,0.0,0.999772,0.000141,7e-05,0.0
Hospital_1,111,3,3,0.0,0.0,0.0,0.999875,0.000125,0.0
Hospital_1,112,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,113,0,0,0.999943,1e-06,2.6e-05,1e-06,2.7e-05,2e-06
Hospital_1,114,1,1,1e-06,0.999984,0.0,0.0,0.0,1.6e-05
Hospital_1,115,5,5,3.4e-05,0.018217,6e-05,0.000543,0.050344,0.930803
Hospital_1,116,2,2,0.000104,0.0,0.999525,0.000181,0.000189,1e-06
Hospital_1,117,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,118,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,119,4,4,0.0,0.0,0.0,3.5e-05,0.999807,0.000158
Hospital_1,120,2,2,0.000372,0.0,0.999307,0.000116,0.000204,1e-06
Hospital_1,121,5,5,1e-06,5e-06,0.0,0.0,0.001057,0.998937
Hospital_1,122,2,2,9e-06,0.0,0.999609,0.000238,0.000143,1e-06
Hospital_1,123,4,4,1e-06,0.0,0.0,0.000476,0.999255,0.000268
Hospital_1,124,1,1,0.0,0.999999,0.0,0.0,0.0,1e-06
Hospital_1,125,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,126,2,2,0.000251,0.0,0.999454,7.7e-05,0.000217,0.0
Hospital_1,127,5,5,0.0,0.0,0.0,9e-06,0.000843,0.999147
Hospital_1,128,1,1,1e-06,0.999985,0.0,0.0,0.0,1.3e-05
Hospital_1,129,2,2,0.002703,1e-06,0.996461,0.000174,0.000656,4e-06
Hospital_1,130,1,1,1e-06,0.99992,0.0,0.0,1e-06,7.8e-05
Hospital_1,131,0,0,0.999519,2.1e-05,0.000179,7e-06,0.000252,2.2e-05
Hospital_1,132,4,4,0.0,0.0,0.0,7.2e-05,0.999776,0.000152
Hospital_1,133,5,5,1e-06,5e-05,0.0,2e-06,0.000366,0.999582
Hospital_1,134,3,3,0.0,0.0,0.0,0.892017,0.107982,1e-06
Hospital_1,135,3,3,0.0,0.0,0.0,0.999995,5e-06,0.0
Hospital_1,136,1,1,2e-06,0.999957,0.0,0.0,1e-06,4e-05
Hospital_1,137,0,0,0.996159,0.000898,0.002897,8e-06,2.3e-05,1.6e-05
Hospital_1,138,1,1,1e-06,0.999994,0.0,0.0,0.0,5e-06
Hospital_1,139,2,2,0.001071,1e-06,0.998579,8.8e-05,0.00026,1e-06
Hospital_1,140,2,2,0.00066,0.0,0.999065,0.000129,0.000145,0.0
Hospital_1,141,1,1,1e-06,0.999996,0.0,0.0,0.0,3e-06
Hospital_1,142,2,2,0.001018,2e-06,0.998242,0.000185,0.000549,4e-06
Hospital_1,143,4,4,0.0,0.0,0.0,0.000934,0.997859,0.001207
Hospital_1,144,5,5,1.5e-05,1.7e-05,0.0,1e-06,0.005348,0.99462
Hospital_1,145,5,5,5.6e-05,0.002506,0.0,1e-06,0.002392,0.995045
Hospital_1,146,0,0,0.999891,0.0,8.2e-05,1e-06,2.6e-05,0.0
Hospital_1,147,2,2,0.000729,0.0,0.999139,1.8e-05,0.000114,0.0
Hospital_1,148,0,0,0.983917,2e-06,0.007415,0.000311,0.007755,0.0006
Hospital_1,149,0,0,0.999914,3e-06,5.1e-05,1e-06,2.8e-05,2e-06
Hospital_1,150,5,5,0.0,3e-06,3e-06,6.1e-05,3e-05,0.999904
