ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.30183117730276926,0.9038461538461539,0.1567334234714508,0.9659090909090909,884,176,119
1,Hospital_2,0.14857036620378494,0.9694570135746606,0.2320839688181877,0.9602272727272727,884,176,119
1,Hospital_3,NA,NA,0.2599789574742317,0.9488636363636364,NA,176,119
1,Hospital_4,NA,NA,0.1971881091594696,0.9659090909090909,NA,176,119
1,Hospital_5,0.5650020624910083,0.8110859728506787,0.1484186090528965,0.9772727272727273,884,176,119
1,Hospital_6,NA,NA,0.12735000997781754,0.9829545454545454,NA,176,119
1,Hospital_7,NA,NA,0.17853938043117523,0.9715909090909091,NA,176,119
1,Hospital_8,0.3347788027354649,0.8655367231638418,0.1242627203464508,0.9830508474576272,885,177,118
1,Hospital_9,0.23207575934273855,0.9468325791855203,0.12372099980711937,0.9829545454545454,884,176,119
1,Hospital_10,0.5011981512819018,0.8269230769230769,0.2033187747001648,0.9602272727272727,884,176,119
1,Hospital_11,NA,NA,0.1968008428812027,0.9545454545454546,NA,176,119
1,Hospital_12,NA,NA,0.15432623773813248,0.9488636363636364,NA,176,119
1,Hospital_13,NA,NA,0.10472652688622475,0.9943181818181818,NA,176,119
1,Hospital_14,NA,NA,0.13189499825239182,0.9829545454545454,NA,176,119
1,Hospital_15,0.7732859637056079,0.7692307692307693,0.14384806156158447,0.9772727272727273,884,176,119
1,Hospital_16,0.3012382302965437,0.8846153846153846,0.18919089809060097,0.9659090909090909,884,176,119
1,Hospital_17,0.26282591266291483,0.9083710407239819,0.20060211420059204,0.9659090909090909,884,176,119
1,Hospital_18,NA,NA,0.17170456051826477,0.9715909090909091,NA,176,119
1,Hospital_19,0.342384221298354,0.8880090497737556,0.13736968487501144,0.9715909090909091,884,176,119
1,Hospital_20,0.49328573260988506,0.8416289592760181,0.1700689047574997,0.9715909090909091,884,176,119
1,Hospital_21,0.14676446893385478,0.9671945701357466,0.19051078706979752,0.9715909090909091,884,176,119
1,Hospital_22,0.44004179537296295,0.8699095022624435,0.2351827695965767,0.9488636363636364,884,176,119
1,Hospital_23,NA,NA,0.1774531863629818,0.9772727272727273,NA,176,119
1,Hospital_24,0.17652099473135813,0.9570621468926553,0.3190367519855499,0.9265536723163842,885,177,118
1,Hospital_25,NA,NA,0.21572411060333252,0.9545454545454546,NA,176,119
1,Hospital_26,0.30357917078903746,0.9264705882352942,0.23492489010095596,0.9318181818181818,884,176,119
1,Hospital_27,0.11942562567336219,0.9807692307692307,0.1329735331237316,0.9829545454545454,884,176,119
1,Hospital_28,NA,NA,0.23315418884158134,0.9488636363636364,NA,176,119
