hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,5,5,0.0,0.0,0.0,1.2e-05,2.9e-05,0.999958
Hospital_1,1,0,0,0.999776,3e-06,6.5e-05,4e-06,0.000116,3.7e-05
Hospital_1,2,5,5,1.9e-05,1e-06,0.0,0.0,0.000314,0.999666
Hospital_1,3,5,5,1e-06,5.5e-05,5e-06,7e-06,1.8e-05,0.999913
Hospital_1,4,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,5,2,2,0.000531,0.0,0.999446,1.5e-05,9e-06,0.0
Hospital_1,6,3,3,0.0,0.0,0.0,0.999888,0.000112,0.0
Hospital_1,7,5,5,0.0,0.0,0.0,0.0,1e-06,0.999999
Hospital_1,8,0,0,0.999964,3e-06,2.3e-05,1e-06,2e-06,7e-06
Hospital_1,9,2,2,2.2e-05,0.0,0.999959,4e-06,1.5e-05,0.0
Hospital_1,10,1,1,1e-06,0.999981,0.0,0.0,0.0,1.8e-05
Hospital_1,11,4,4,0.0,0.0,0.0,1.5e-05,0.999951,3.4e-05
Hospital_1,12,0,0,0.999947,5e-06,1.2e-05,1e-06,2.5e-05,1.1e-05
Hospital_1,13,3,3,0.0,0.0,0.0,0.999691,0.000309,0.0
Hospital_1,14,5,5,9e-05,1.8e-05,0.0,0.0,0.001043,0.998848
Hospital_1,15,2,2,0.000614,0.0,0.99934,1.9e-05,2.7e-05,0.0
Hospital_1,16,4,4,0.0,0.0,0.0,5e-06,0.998926,0.001069
Hospital_1,17,4,4,0.0,0.0,0.0,9.4e-05,0.999744,0.000162
Hospital_1,18,3,3,0.0,0.0,0.0,0.999992,8e-06,0.0
Hospital_1,19,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,20,4,4,0.0,0.0,0.0,0.000217,0.999564,0.000219
Hospital_1,21,3,3,0.0,0.0,0.0,0.999996,4e-06,0.0
Hospital_1,22,2,2,1.2e-05,0.0,0.999969,1.5e-05,4e-06,0.0
Hospital_1,23,0,0,0.995893,0.000453,0.003622,2e-06,2e-05,1e-05
Hospital_1,24,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,25,2,2,0.000183,0.0,0.999792,1.5e-05,1.1e-05,0.0
Hospital_1,26,4,4,0.0,0.0,0.0,4e-06,0.999691,0.000306
Hospital_1,27,3,3,0.0,0.0,0.0,0.999996,4e-06,0.0
Hospital_1,28,0,0,0.999684,3.6e-05,0.000267,1e-06,6e-06,6e-06
Hospital_1,29,5,5,0.000132,0.0023,0.0,2e-06,0.000668,0.996898
Hospital_1,30,2,2,0.0003,0.0,0.999647,3.6e-05,1.6e-05,0.0
Hospital_1,31,1,1,1e-06,0.99993,0.0,0.0,0.0,6.9e-05
Hospital_1,32,1,1,2e-06,0.999992,0.0,0.0,0.0,6e-06
Hospital_1,33,2,2,0.000212,0.0,0.999525,3.8e-05,0.000224,0.0
Hospital_1,34,5,5,1.2e-05,1e-06,0.0,0.0,0.005688,0.994299
Hospital_1,35,5,5,0.0,0.0,0.0,0.0,2e-06,0.999998
Hospital_1,36,2,2,0.001258,0.0,0.998685,1.4e-05,4.2e-05,0.0
Hospital_1,37,5,5,1.7e-05,0.003445,2e-06,2e-06,4.1e-05,0.996493
Hospital_1,38,0,0,0.999945,1e-06,4.2e-05,1e-06,1.2e-05,0.0
Hospital_1,39,5,5,0.0,0.0,0.0,0.0,9e-06,0.99999
Hospital_1,40,4,4,1e-06,0.0,0.0,5.5e-05,0.99616,0.003784
Hospital_1,41,5,5,6.1e-05,0.222569,2e-06,2.3e-05,0.008638,0.768707
Hospital_1,42,2,2,0.00029,0.0,0.999654,4.1e-05,1.4e-05,0.0
Hospital_1,43,4,4,4e-06,0.0,0.0,0.008044,0.98801,0.003941
Hospital_1,44,1,1,5e-06,0.999384,0.0,0.0,2e-06,0.000609
Hospital_1,45,5,5,0.0,0.0,0.0,0.0,2.8e-05,0.999972
Hospital_1,46,1,1,1e-06,0.999995,0.0,0.0,0.0,5e-06
Hospital_1,47,0,0,0.999605,8e-06,4.4e-05,5e-06,0.000217,0.000121
Hospital_1,48,1,1,6e-06,0.999076,0.0,0.0,1e-05,0.000908
Hospital_1,49,5,5,0.000449,0.000121,0.0,0.0,0.002301,0.997128
Hospital_1,50,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,51,2,2,0.002745,0.0,0.997171,2.9e-05,5.6e-05,0.0
Hospital_1,52,4,4,0.0,0.0,0.0,3e-06,0.999925,7.3e-05
Hospital_1,53,2,2,0.003818,0.0,0.996104,1.4e-05,6.4e-05,0.0
Hospital_1,54,4,4,0.0,0.0,0.0,2.3e-05,0.999927,5e-05
Hospital_1,55,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,56,2,2,0.006195,0.0,0.993747,7e-06,5e-05,0.0
Hospital_1,57,1,1,8e-06,0.999982,0.0,0.0,0.0,9e-06
Hospital_1,58,5,5,1.1e-05,1e-06,0.0,0.0,0.001356,0.998632
Hospital_1,59,2,2,0.000756,0.0,0.999219,1.3e-05,1.3e-05,0.0
Hospital_1,60,2,2,8.9e-05,0.0,0.999878,1.7e-05,1.6e-05,0.0
Hospital_1,61,1,1,3e-06,0.995819,0.0,0.0,2.8e-05,0.004151
Hospital_1,62,5,5,5.6e-05,0.207405,2e-06,2.5e-05,0.009369,0.783143
Hospital_1,63,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,64,0,0,0.998668,3e-06,0.001302,1e-06,2.4e-05,2e-06
Hospital_1,65,1,1,5e-06,0.998725,0.0,0.0,1.2e-05,0.001258
Hospital_1,66,2,2,0.001869,0.0,0.998044,2.4e-05,6.2e-05,0.0
Hospital_1,67,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,68,2,2,0.000172,0.0,0.999728,6.6e-05,3.4e-05,0.0
Hospital_1,69,0,0,0.999543,5e-06,0.000105,8e-06,0.00027,6.9e-05
Hospital_1,70,1,1,2e-06,0.99996,0.0,0.0,1e-06,3.7e-05
Hospital_1,71,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,72,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,73,0,0,0.998869,1e-06,0.001111,1e-06,1.6e-05,2e-06
Hospital_1,74,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,75,2,2,0.003484,0.0,0.996368,4.4e-05,0.000102,1e-06
Hospital_1,76,2,2,0.00011,0.0,0.999851,2.7e-05,1.1e-05,0.0
Hospital_1,77,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,78,5,5,2e-06,2e-06,0.0,1e-06,0.00035,0.999645
Hospital_1,79,0,0,0.999954,2e-06,2.8e-05,2e-06,1.2e-05,1e-06
Hospital_1,80,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,81,2,2,0.003546,0.0,0.996362,5.9e-05,3.2e-05,0.0
Hospital_1,82,1,1,0.0,0.999997,0.0,0.0,0.0,3e-06
