hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,1,2,2,0.00829,3e-06,0.99074,0.000867,9.9e-05,1e-06
Hospital_1,2,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,3,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,4,2,2,0.043578,3.3e-05,0.955924,3.3e-05,0.000417,1.5e-05
Hospital_1,5,2,2,0.014557,5e-06,0.985029,0.000174,0.000232,3e-06
Hospital_1,6,4,4,1.1e-05,0.0,1e-06,0.015751,0.974828,0.009409
Hospital_1,7,5,5,0.000364,0.328367,3.8e-05,0.000832,0.051223,0.619176
Hospital_1,8,0,0,0.998902,0.000887,4.6e-05,1e-06,2.1e-05,0.000144
Hospital_1,9,2,2,0.007862,5e-06,0.990354,0.000424,0.001312,4.2e-05
Hospital_1,10,1,1,6.6e-05,0.996664,1e-06,7e-06,0.000303,0.002959
Hospital_1,11,0,0,0.999924,3e-06,4e-05,8e-06,2.5e-05,1e-06
Hospital_1,12,1,1,2.4e-05,0.999867,1e-06,3e-06,2e-05,8.6e-05
Hospital_1,13,1,1,4.9e-05,0.999915,0.0,1e-06,8e-06,2.8e-05
Hospital_1,14,4,4,1e-06,0.0,0.0,0.000715,0.997227,0.002056
Hospital_1,15,2,2,0.039564,4.3e-05,0.959753,8.1e-05,0.000558,1e-06
Hospital_1,16,0,0,0.999724,4.5e-05,0.000115,1.2e-05,4.4e-05,6e-05
Hospital_1,17,0,0,0.998769,0.000981,4.1e-05,7e-06,4.3e-05,0.000159
Hospital_1,18,4,4,1e-06,0.0,0.0,0.000403,0.997521,0.002075
Hospital_1,19,4,4,1.2e-05,0.0,1e-06,0.09793,0.899805,0.002252
Hospital_1,20,5,5,0.0,1e-06,2e-06,2.7e-05,4.2e-05,0.999927
Hospital_1,21,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,22,1,1,3.7e-05,0.986296,1e-06,1.7e-05,0.001194,0.012454
Hospital_1,23,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,24,2,2,0.07609,2.2e-05,0.922389,0.000514,0.000951,3.4e-05
Hospital_1,25,3,3,0.0,0.0,0.0,0.999993,7e-06,0.0
Hospital_1,26,5,5,1e-06,0.0,0.0,6e-06,1e-06,0.999991
Hospital_1,27,2,2,0.000386,2e-06,0.999066,0.000453,8.8e-05,5e-06
Hospital_1,28,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,29,0,0,0.999261,5e-06,4.1e-05,2.1e-05,0.000586,8.6e-05
Hospital_1,30,0,0,0.99306,0.004908,0.001865,1.4e-05,6.3e-05,9e-05
Hospital_1,31,2,2,0.113264,2.5e-05,0.883018,0.000435,0.00312,0.000138
Hospital_1,32,1,1,3.9e-05,0.999781,0.0,2e-06,2.2e-05,0.000155
Hospital_1,33,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,34,5,5,4e-05,0.001324,0.000255,0.000579,0.000678,0.997123
Hospital_1,35,4,4,1e-06,0.0,0.0,0.000743,0.998753,0.000503
Hospital_1,36,5,5,3e-06,3e-06,4e-06,3.8e-05,7e-06,0.999945
Hospital_1,37,2,2,0.114871,4.6e-05,0.881928,0.001184,0.001916,5.6e-05
Hospital_1,38,5,5,0.002134,0.00802,0.0,3.1e-05,0.01466,0.975156
Hospital_1,39,2,2,0.064364,9e-06,0.93533,6.1e-05,0.000235,1e-06
Hospital_1,40,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,41,2,2,0.028143,1e-06,0.971455,9.3e-05,0.000306,2e-06
Hospital_1,42,5,5,0.000361,5.3e-05,0.0,1.1e-05,0.01151,0.988066
Hospital_1,43,0,0,0.998409,0.000145,0.00014,1.8e-05,0.000431,0.000857
Hospital_1,44,5,5,3e-06,0.0,0.0,4e-06,7.1e-05,0.999922
Hospital_1,45,1,1,4e-06,0.999831,0.0,0.0,9e-06,0.000156
Hospital_1,46,4,4,0.007091,0.0,9e-06,0.001896,0.988223,0.002782
Hospital_1,47,1,1,2.2e-05,0.999919,0.0,0.0,9e-06,5e-05
Hospital_1,48,1,1,4e-06,0.999993,0.0,0.0,1e-06,2e-06
Hospital_1,49,0,0,0.998169,7.5e-05,0.001251,0.000154,0.000237,0.000113
Hospital_1,50,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,51,5,5,0.010016,0.038581,0.0,2.5e-05,0.006334,0.945043
Hospital_1,52,0,0,0.999912,7e-06,5e-05,1e-05,2e-05,1e-06
Hospital_1,53,0,0,0.999936,1.4e-05,9e-06,2e-06,1.8e-05,2.2e-05
Hospital_1,54,0,0,0.999871,1e-05,6e-06,5e-06,3.7e-05,7.1e-05
Hospital_1,55,4,4,0.0,0.0,0.0,0.000361,0.99937,0.000269
Hospital_1,56,1,1,5e-06,0.999988,0.0,0.0,2e-06,5e-06
Hospital_1,57,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,58,5,5,0.0,0.0,0.0,1e-05,9e-06,0.999981
Hospital_1,59,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,60,5,5,7e-06,0.000101,5.3e-05,0.000176,0.000312,0.999351
Hospital_1,61,5,5,0.000164,0.004471,2.4e-05,0.00023,0.000196,0.994915
Hospital_1,62,2,2,0.006815,4e-06,0.992923,0.000187,7.1e-05,1e-06
Hospital_1,63,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,64,5,5,0.002398,0.149026,0.002725,0.014073,0.163898,0.667881
Hospital_1,65,5,5,0.0,0.0,1e-06,8e-06,1.2e-05,0.999978
Hospital_1,66,2,2,0.003527,6e-06,0.996005,0.000293,0.000164,4e-06
Hospital_1,67,0,0,0.999314,0.000552,3.6e-05,3e-06,3.2e-05,6.2e-05
Hospital_1,68,4,4,1.2e-05,0.0,0.0,0.007325,0.992196,0.000466
Hospital_1,69,4,4,1e-06,0.0,0.0,0.002417,0.985691,0.011891
Hospital_1,70,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,71,4,4,4e-06,0.0,0.0,0.034989,0.964163,0.000844
Hospital_1,72,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,73,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,74,1,1,1.1e-05,0.999979,0.0,0.0,2e-06,7e-06
Hospital_1,75,2,2,0.002037,2e-06,0.997624,0.000243,8.7e-05,7e-06
Hospital_1,76,4,4,2e-06,0.0,0.0,0.000822,0.998882,0.000294
Hospital_1,77,0,0,0.996149,0.000388,0.000471,2.6e-05,0.00109,0.001876
Hospital_1,78,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,79,0,0,0.998741,6.5e-05,3.7e-05,2.8e-05,0.000632,0.000497
Hospital_1,80,5,5,1.1e-05,2e-06,0.0,2.4e-05,0.002492,0.997471
Hospital_1,81,1,1,1.2e-05,0.999979,0.0,0.0,3e-06,5e-06
Hospital_1,82,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,83,1,1,2.2e-05,0.999412,0.0,2e-06,9.3e-05,0.000471
Hospital_1,84,1,1,4.1e-05,0.979873,1e-06,1.3e-05,0.001293,0.018779
Hospital_1,85,5,5,0.0,0.0,0.0,2e-06,1e-06,0.999996
Hospital_1,86,1,1,3.2e-05,0.998749,1e-06,5e-06,9.8e-05,0.001116
Hospital_1,87,0,0,0.999678,6.1e-05,0.000109,2e-05,4.4e-05,8.8e-05
Hospital_1,88,2,2,0.061936,1.8e-05,0.93659,0.000396,0.001021,3.8e-05
Hospital_1,89,2,2,0.00322,3e-06,0.996394,0.000259,0.00012,4e-06
Hospital_1,90,4,4,1e-06,0.0,0.0,0.003573,0.996019,0.000406
Hospital_1,91,0,0,0.998683,0.000146,0.000861,0.000128,0.000134,4.8e-05
Hospital_1,92,3,3,0.0,0.0,0.0,0.999993,7e-06,0.0
Hospital_1,93,1,1,5e-06,0.999993,0.0,0.0,1e-06,1e-06
Hospital_1,94,5,5,0.000411,0.39617,4.4e-05,0.000991,0.054449,0.547935
Hospital_1,95,5,5,0.0,0.0,0.0,3.4e-05,0.000116,0.99985
Hospital_1,96,4,4,0.0,0.0,7e-06,0.045313,0.954645,3.5e-05
Hospital_1,97,2,2,0.012429,6e-06,0.987088,0.000257,0.000217,4e-06
Hospital_1,98,0,0,0.998928,4.6e-05,6e-05,1.8e-05,0.000431,0.000516
Hospital_1,99,5,5,0.000208,0.000394,1e-06,0.00022,0.05467,0.944506
Hospital_1,100,0,0,0.999273,6.9e-05,0.000311,1e-05,0.000136,0.000201
Hospital_1,101,2,2,0.046042,1.1e-05,0.953059,0.000323,0.000552,1.2e-05
Hospital_1,102,5,5,0.00027,4.1e-05,0.0,4e-06,0.000837,0.998847
Hospital_1,103,0,0,0.999936,1.1e-05,1.8e-05,8e-06,2.2e-05,5e-06
