Hospital;%_Hospital;Split;Total_split;BreastMRI;CXR;HeadCT;ChestCT;Hand;AbdomenCT
1;20.00%;Train;8843;15.19%;16.96%;16.96%;16.96%;16.96%;16.96%
1;20.00%;Val;1768;15.16%;16.97%;16.97%;16.97%;16.97%;16.97%
1;20.00%;Test;1180;15.25%;16.95%;16.95%;16.95%;16.95%;16.95%
2;20.00%;Train;8843;15.19%;16.96%;16.96%;16.96%;16.96%;16.96%
2;20.00%;Val;1768;15.16%;16.97%;16.97%;16.97%;16.97%;16.97%
2;20.00%;Test;1180;15.25%;16.95%;16.95%;16.95%;16.95%;16.95%
3;20.00%;Train;8842;15.18%;16.96%;16.96%;16.96%;16.96%;16.96%
3;20.00%;Val;1768;15.16%;16.97%;16.97%;16.97%;16.97%;16.97%
3;20.00%;Test;1180;15.25%;16.95%;16.95%;16.95%;16.95%;16.95%
4;20.00%;Train;8843;15.19%;16.96%;16.96%;16.96%;16.96%;16.96%
4;20.00%;Val;1768;15.16%;16.97%;16.97%;16.97%;16.97%;16.97%
4;20.00%;Test;1180;15.25%;16.95%;16.95%;16.95%;16.95%;16.95%
5;20.00%;Train;8843;15.19%;16.96%;16.96%;16.96%;16.96%;16.96%
5;20.00%;Val;1768;15.16%;16.97%;16.97%;16.97%;16.97%;16.97%
5;20.00%;Test;1180;15.25%;16.95%;16.95%;16.95%;16.95%;16.95%
