hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,1,1,4.2e-05,0.99381,0.0,1e-06,6.2e-05,0.006085
Hospital_1,1,3,3,0.0,0.0,3e-06,0.941127,0.05887,0.0
Hospital_1,2,1,1,0.000235,0.971089,0.0,6e-06,0.000453,0.028217
Hospital_1,3,4,4,2e-06,0.0,4e-06,0.174959,0.824565,0.000469
Hospital_1,4,1,1,0.000177,0.995624,0.0,1e-05,0.000317,0.003872
Hospital_1,5,0,0,0.998464,3e-05,0.000863,3.3e-05,0.000411,0.0002
Hospital_1,6,4,4,0.0,0.0,0.0,0.001012,0.998786,0.000201
Hospital_1,7,1,1,0.00024,0.999354,0.0,1e-06,2.7e-05,0.000379
Hospital_1,8,5,5,0.000106,1.6e-05,2e-06,0.000124,0.004399,0.995354
Hospital_1,9,1,1,5.3e-05,0.998923,0.0,0.0,2.5e-05,0.000998
Hospital_1,10,0,0,0.995378,2.4e-05,0.003504,0.000207,0.000741,0.000146
Hospital_1,11,1,1,0.000132,0.988211,0.0,1.2e-05,0.000583,0.011062
Hospital_1,12,4,4,4e-06,0.0,0.0,0.012454,0.986667,0.000875
Hospital_1,13,4,4,0.0,0.0,4.3e-05,0.417966,0.581991,0.0
Hospital_1,14,4,4,0.004568,0.113538,0.000583,0.039096,0.730897,0.111318
Hospital_1,15,1,1,7.8e-05,0.999755,0.0,0.0,1e-05,0.000156
Hospital_1,16,3,3,0.0,0.0,0.0,0.999978,2.1e-05,0.0
Hospital_1,17,4,4,0.0,0.0,0.0,0.001369,0.998589,4.3e-05
Hospital_1,18,4,4,1e-06,0.0,0.0,0.001087,0.998439,0.000472
Hospital_1,19,1,1,0.000449,0.99952,0.0,0.0,1.2e-05,2e-05
Hospital_1,20,4,4,2e-06,0.0,0.0,0.016385,0.983043,0.00057
Hospital_1,21,4,4,5e-06,0.0,0.0,0.015703,0.983993,0.000298
Hospital_1,22,1,1,1.7e-05,0.999968,0.0,0.0,3e-06,1.2e-05
Hospital_1,23,5,5,2.1e-05,6e-06,0.0,2.3e-05,0.001725,0.998226
Hospital_1,24,1,1,6.5e-05,0.999618,0.0,0.0,1.2e-05,0.000305
Hospital_1,25,3,3,0.0,0.0,0.0,0.761692,0.238306,1e-06
Hospital_1,26,4,4,6e-06,0.0,0.0,0.000955,0.998736,0.000304
Hospital_1,27,4,4,1e-06,0.0,0.0,0.000691,0.999151,0.000157
Hospital_1,28,3,3,0.0,0.0,6e-06,0.999976,1.8e-05,0.0
Hospital_1,29,3,3,0.0,0.0,0.0,0.999661,0.000339,0.0
Hospital_1,30,4,4,1e-06,0.0,0.0,0.0025,0.996566,0.000933
Hospital_1,31,4,4,1e-06,0.0,0.0,0.00149,0.998316,0.000193
Hospital_1,32,0,0,0.980499,6e-06,0.018932,0.000125,0.000404,3.4e-05
Hospital_1,33,4,4,1e-06,0.0,0.0,0.00063,0.999082,0.000287
Hospital_1,34,0,0,0.996495,1.5e-05,0.001648,0.000286,0.001445,0.000112
Hospital_1,35,1,1,0.000102,0.998861,0.0,2e-06,9.5e-05,0.00094
Hospital_1,36,1,1,0.000336,0.986011,0.0,1.2e-05,0.000603,0.013037
Hospital_1,37,4,4,5e-06,0.0,0.0,0.003123,0.996102,0.00077
Hospital_1,38,4,4,1e-06,0.0,0.0,0.000799,0.999046,0.000154
Hospital_1,39,4,4,4e-06,0.0,0.0,0.006914,0.9923,0.000781
Hospital_1,40,1,1,8.4e-05,0.999887,0.0,0.0,7e-06,2.2e-05
Hospital_1,41,4,4,1e-06,0.0,0.0,0.001223,0.998543,0.000232
Hospital_1,42,3,3,0.0,0.0,1.1e-05,0.999567,0.000422,0.0
Hospital_1,43,1,1,0.000223,0.995802,0.0,6e-06,0.000172,0.003797
Hospital_1,44,3,3,0.0,0.0,1e-06,0.999975,2.4e-05,0.0
Hospital_1,45,1,1,0.000198,0.955875,0.0,1.1e-05,0.000482,0.043435
Hospital_1,46,1,1,0.000109,0.999838,0.0,1e-06,1.2e-05,4.1e-05
Hospital_1,47,4,4,0.0,0.0,0.0,0.000593,0.999294,0.000112
Hospital_1,48,4,4,0.0049,0.0,0.000124,0.005147,0.989702,0.000126
Hospital_1,49,3,3,0.0,0.0,0.0,0.999992,8e-06,0.0
Hospital_1,50,0,0,0.998666,4e-06,0.000169,7.1e-05,0.001017,7.3e-05
Hospital_1,51,4,4,4e-06,1e-06,0.0,0.023626,0.974647,0.001722
Hospital_1,52,1,1,0.000245,0.959238,0.0,1.7e-05,0.000712,0.039788
Hospital_1,53,4,4,1e-06,0.0,0.0,0.005606,0.99411,0.000282
Hospital_1,54,3,3,0.0,0.0,1e-06,0.999982,1.7e-05,0.0
Hospital_1,55,1,1,7.9e-05,0.998546,0.0,6e-06,9.6e-05,0.001273
Hospital_1,56,1,1,9.6e-05,0.99929,0.0,1e-06,3.1e-05,0.000581
Hospital_1,57,4,4,1e-06,0.0,0.0,0.005561,0.994221,0.000217
Hospital_1,58,1,1,0.000199,0.998356,0.0,2e-06,0.000131,0.001312
Hospital_1,59,4,4,1e-06,0.0,0.0,0.003131,0.996651,0.000217
Hospital_1,60,4,4,9e-06,0.0,0.0,0.038527,0.960475,0.000988
Hospital_1,61,4,4,2e-06,0.0,0.0,0.000816,0.998945,0.000237
Hospital_1,62,1,1,0.00022,0.999609,0.0,0.0,1.9e-05,0.000151
Hospital_1,63,4,4,8e-06,0.0,0.0,0.002956,0.996586,0.00045
Hospital_1,64,4,4,1e-06,0.0,0.0,0.000705,0.998776,0.000518
Hospital_1,65,4,4,6.3e-05,0.0,1.3e-05,0.234444,0.765462,1.9e-05
Hospital_1,66,4,4,3e-06,0.0,0.0,0.001526,0.998261,0.000211
Hospital_1,67,4,4,0.001968,0.000549,7.6e-05,0.251053,0.740598,0.005756
Hospital_1,68,3,3,0.0,0.0,0.0,0.999984,1.6e-05,0.0
Hospital_1,69,4,4,0.001994,4.5e-05,1e-06,0.005841,0.652118,0.340001
Hospital_1,70,3,3,0.0,0.0,1e-06,0.999831,0.000168,0.0
Hospital_1,71,1,1,6.2e-05,0.999407,0.0,1e-06,2.7e-05,0.000502
Hospital_1,72,4,4,2e-06,0.0,0.0,0.007391,0.992292,0.000315
Hospital_1,73,4,4,1e-06,0.0,0.0,0.001637,0.997353,0.00101
Hospital_1,74,1,1,0.000353,0.727727,1e-06,6.3e-05,0.0033,0.268555
Hospital_1,75,4,4,0.0,0.0,0.0,0.000919,0.999013,6.8e-05
Hospital_1,76,4,4,1e-06,0.0,0.0,0.001382,0.998503,0.000114
Hospital_1,77,4,4,3e-06,0.0,0.0,0.001229,0.998524,0.000244
Hospital_1,78,1,1,5.5e-05,0.99969,0.0,0.0,1.9e-05,0.000236
Hospital_1,79,1,1,0.000169,0.99839,0.0,1.1e-05,0.000314,0.001116
Hospital_1,80,4,4,4e-06,0.0,0.0,0.004697,0.994395,0.000904
Hospital_1,81,4,4,1e-06,0.0,0.0,0.005833,0.994107,5.9e-05
Hospital_1,82,1,1,0.00015,0.999223,0.0,4e-06,0.000148,0.000475
Hospital_1,83,1,1,0.000337,0.99732,0.0,3e-06,0.000113,0.002226
Hospital_1,84,1,1,5.1e-05,0.998767,0.0,1e-06,2.4e-05,0.001157
Hospital_1,85,4,4,1e-06,0.0,0.0,0.001081,0.998654,0.000263
Hospital_1,86,1,1,0.00017,0.999785,0.0,0.0,8e-06,3.7e-05
Hospital_1,87,1,1,0.000193,0.99917,0.0,1e-06,4.5e-05,0.000592
Hospital_1,88,3,3,0.0,0.0,2e-06,0.999941,5.7e-05,0.0
Hospital_1,89,1,1,7.5e-05,0.990582,0.0,3e-06,0.000179,0.00916
Hospital_1,90,4,4,1e-06,0.0,0.0,0.000618,0.999275,0.000107
Hospital_1,91,1,1,0.000348,0.996347,0.0,5e-06,0.000172,0.003129
Hospital_1,92,1,1,0.000163,0.993283,0.0,5e-06,0.000137,0.006412
Hospital_1,93,4,4,0.0,0.0,0.0,0.006525,0.99335,0.000125
Hospital_1,94,1,1,9.2e-05,0.993825,0.0,1e-06,7.9e-05,0.006002
Hospital_1,95,1,1,5.7e-05,0.999809,0.0,0.0,1e-05,0.000124
Hospital_1,96,4,4,0.102453,1e-05,0.000349,0.046337,0.842307,0.008544
Hospital_1,97,0,0,0.999404,3e-06,0.000181,3.3e-05,0.000286,9.3e-05
Hospital_1,98,1,1,0.000185,0.939473,0.0,1.9e-05,0.001141,0.059182
Hospital_1,99,4,4,0.0,0.0,0.0,0.00062,0.999284,9.6e-05
Hospital_1,100,4,4,5e-06,0.0,0.0,0.00181,0.997406,0.00078
Hospital_1,101,4,4,2e-06,0.0,0.0,0.004285,0.995572,0.000142
Hospital_1,102,4,4,1.2e-05,0.0,0.0,0.004923,0.99404,0.001025
Hospital_1,103,4,4,1e-06,0.0,0.0,0.000796,0.998944,0.000259
Hospital_1,104,4,4,1.1e-05,2e-06,1e-06,0.018968,0.979415,0.001603
Hospital_1,105,1,1,0.000135,0.994877,0.0,7e-06,0.000148,0.004833
Hospital_1,106,1,1,0.0003,0.998466,0.0,2e-06,9.5e-05,0.001138
Hospital_1,107,4,4,1e-06,0.0,0.0,0.001929,0.997529,0.000541
Hospital_1,108,3,3,0.0,0.0,1e-06,0.998675,0.001324,0.0
Hospital_1,109,1,1,4.7e-05,0.999721,0.0,0.0,1.1e-05,0.00022
Hospital_1,110,1,1,0.000122,0.999663,0.0,0.0,1.3e-05,0.000202
Hospital_1,111,3,3,0.0,0.0,3e-06,0.999854,0.000143,0.0
Hospital_1,112,3,3,0.0,0.0,1e-06,0.999624,0.000375,0.0
Hospital_1,113,1,1,3.5e-05,0.998964,0.0,0.0,1.8e-05,0.000983
Hospital_1,114,4,4,3e-06,0.0,0.0,0.008329,0.990054,0.001613
Hospital_1,115,4,4,1e-06,0.0,0.0,0.002786,0.996946,0.000267
Hospital_1,116,4,4,5e-06,0.0,0.0,0.01477,0.98449,0.000734
Hospital_1,117,0,0,0.997992,6e-06,0.001039,0.000111,0.000672,0.000181
Hospital_1,118,4,4,0.0,0.0,0.0,0.001068,0.998858,7.4e-05
Hospital_1,119,1,1,1.8e-05,0.999965,0.0,0.0,3e-06,1.3e-05
Hospital_1,120,4,4,2.3e-05,0.0,0.0,0.004112,0.99479,0.001075
Hospital_1,121,1,1,2.7e-05,0.999949,0.0,0.0,3e-06,2.1e-05
Hospital_1,122,4,4,0.0,0.0,0.0,0.002812,0.997115,7.2e-05
Hospital_1,123,0,0,0.994783,2e-06,0.001393,0.000822,0.002922,7.8e-05
Hospital_1,124,4,4,1e-06,0.0,0.0,0.001869,0.997903,0.000226
Hospital_1,125,4,4,1e-06,0.0,0.0,0.000998,0.99876,0.000242
Hospital_1,126,4,4,5e-06,0.0,0.0,0.019346,0.980192,0.000457
Hospital_1,127,1,1,0.000213,0.998905,0.0,3e-06,0.000103,0.000775
Hospital_1,128,4,4,3e-06,0.0,1e-06,0.165979,0.833871,0.000146
Hospital_1,129,4,4,1e-06,0.0,0.0,0.004413,0.995365,0.000221
Hospital_1,130,4,4,0.0,0.0,0.0,0.000799,0.999113,8.9e-05
Hospital_1,131,0,0,0.995992,0.000143,0.003749,1.4e-05,3.7e-05,6.5e-05
Hospital_1,132,4,4,2e-06,0.0,0.0,0.063577,0.936272,0.000149
Hospital_1,133,1,1,0.000157,0.99628,0.0,4e-06,0.000101,0.003458
Hospital_1,134,1,1,4.5e-05,0.999906,0.0,0.0,8e-06,4.1e-05
Hospital_1,135,1,1,0.000697,0.972142,1e-06,4.2e-05,0.001261,0.025857
Hospital_1,136,4,4,0.0,0.0,0.0,0.002423,0.997474,0.000103
Hospital_1,137,1,1,0.00019,0.982531,0.0,7e-06,0.000358,0.016914
Hospital_1,138,4,4,3e-06,0.0,0.0,0.001871,0.998024,0.000102
Hospital_1,139,4,4,1.6e-05,0.0,0.0,0.030965,0.967283,0.001736
Hospital_1,140,1,1,0.000147,0.999303,0.0,0.0,1.6e-05,0.000534
Hospital_1,141,5,5,1e-05,2e-06,1e-05,6.1e-05,0.000265,0.999653
Hospital_1,142,3,3,0.0,0.0,0.0,0.999993,6e-06,0.0
Hospital_1,143,4,4,3e-06,0.0,0.0,0.001872,0.996374,0.001751
Hospital_1,144,4,4,0.0,0.0,0.0,0.002083,0.997842,7.5e-05
Hospital_1,145,1,1,0.000237,0.887508,1e-06,2.8e-05,0.001415,0.110812
Hospital_1,146,4,4,1e-06,0.0,0.0,0.00077,0.999095,0.000134
Hospital_1,147,1,1,5.9e-05,0.999517,0.0,0.0,1.3e-05,0.000411
Hospital_1,148,3,3,0.0,0.0,0.0,0.975353,0.024647,0.0
Hospital_1,149,1,1,0.0002,0.998581,0.0,6e-06,0.000184,0.001029
Hospital_1,150,1,1,3.4e-05,0.999921,0.0,0.0,4e-06,4.1e-05
Hospital_1,151,4,4,5e-06,0.0,0.0,0.019125,0.980829,4e-05
Hospital_1,152,1,1,0.000206,0.991491,0.0,5e-06,0.000186,0.008112
Hospital_1,153,3,3,0.0,0.0,4e-06,0.999972,2.4e-05,0.0
Hospital_1,154,5,5,0.008943,0.000653,0.0,0.000121,0.064342,0.925941
Hospital_1,155,3,3,0.0,0.0,0.0,0.999932,6.8e-05,0.0
Hospital_1,156,1,1,0.000447,0.850715,2e-06,8e-05,0.006212,0.142544
Hospital_1,157,4,4,2e-06,0.0,0.0,0.000611,0.998719,0.000668
Hospital_1,158,1,1,5.3e-05,0.999525,0.0,1e-06,1.8e-05,0.000404
Hospital_1,159,4,4,0.000375,0.0,0.0,0.010978,0.982462,0.006185
Hospital_1,160,4,4,8e-06,0.0,0.0,0.025819,0.973626,0.000546
Hospital_1,161,4,4,7.8e-05,0.0,6.2e-05,0.282862,0.716851,0.000147
Hospital_1,162,4,4,1e-06,0.0,0.0,0.001505,0.998452,4.3e-05
Hospital_1,163,3,3,0.0,0.0,3e-06,0.999929,6.8e-05,0.0
Hospital_1,164,4,4,0.0,0.0,0.0,0.003009,0.996937,5.4e-05
Hospital_1,165,4,4,2e-06,0.0,0.0,0.000983,0.997959,0.001056
Hospital_1,166,1,1,0.000309,0.998432,0.0,2e-06,7.7e-05,0.00118
Hospital_1,167,3,3,0.0,0.0,3e-06,0.999967,3e-05,0.0
Hospital_1,168,4,4,1e-06,0.0,0.0,0.00123,0.998632,0.000137
Hospital_1,169,3,3,0.0,0.0,1e-06,0.999843,0.000156,0.0
Hospital_1,170,4,4,1e-06,0.0,0.0,0.001933,0.997943,0.000124
Hospital_1,171,5,5,3.8e-05,1.2e-05,8.5e-05,0.000206,0.001443,0.998216
Hospital_1,172,1,1,0.000356,0.999468,0.0,1e-06,3.2e-05,0.000143
Hospital_1,173,0,0,0.951758,0.000437,0.047541,3.9e-05,0.000121,0.000106
Hospital_1,174,1,1,0.000135,0.998622,0.0,1e-06,3.3e-05,0.00121
Hospital_1,175,3,3,0.0,0.0,0.0,0.999977,2.3e-05,0.0
Hospital_1,176,4,4,1e-06,0.0,0.0,0.001629,0.998099,0.000271
Hospital_1,177,4,4,1.5e-05,0.0,0.00042,0.033326,0.966239,1e-06
Hospital_1,178,4,4,1e-06,0.0,0.0,0.000707,0.998953,0.000339
Hospital_1,179,1,1,0.000104,0.99973,0.0,0.0,1.2e-05,0.000153
Hospital_1,180,4,4,1.1e-05,0.0,0.0,0.001924,0.982346,0.015719
Hospital_1,181,4,4,2e-06,0.0,0.0,0.005622,0.99344,0.000935
Hospital_1,182,3,3,0.0,0.0,0.0,0.998821,0.001178,0.0
Hospital_1,183,4,4,0.0,0.0,0.0,0.003624,0.996339,3.7e-05
Hospital_1,184,1,1,8.4e-05,0.998042,0.0,4e-06,0.000109,0.00176
Hospital_1,185,4,4,2e-06,0.0,0.0,0.00332,0.996297,0.000381
Hospital_1,186,1,1,0.000164,0.998219,0.0,1e-06,8.1e-05,0.001535
Hospital_1,187,1,1,0.000211,0.953371,0.0,7e-06,0.000447,0.045965
Hospital_1,188,1,1,0.000313,0.974534,0.0,9e-06,0.000321,0.024823
Hospital_1,189,5,5,0.000689,2.9e-05,1e-06,1e-05,0.000617,0.998653
Hospital_1,190,1,1,0.000165,0.992301,0.0,9e-06,0.000323,0.007201
Hospital_1,191,1,1,0.000307,0.999415,0.0,1e-06,3e-05,0.000247
Hospital_1,192,1,1,0.000125,0.998952,0.0,2e-06,3.6e-05,0.000885
Hospital_1,193,0,0,0.983974,9e-06,0.015381,0.000179,0.000394,6.3e-05
Hospital_1,194,1,1,0.000184,0.991119,0.0,7e-06,0.000158,0.008533
Hospital_1,195,4,4,0.0,0.0,0.0,0.006343,0.993575,8.2e-05
Hospital_1,196,4,4,4e-06,0.0,0.0,0.0044,0.995041,0.000555
Hospital_1,197,1,1,4e-05,0.999712,0.0,0.0,9e-06,0.000239
Hospital_1,198,1,1,0.000147,0.934322,0.0,1.3e-05,0.000705,0.064813
Hospital_1,199,4,4,2e-06,0.0,0.0,0.002544,0.997225,0.000228
Hospital_1,200,4,4,5e-06,0.0,0.0,0.017533,0.98173,0.000732
Hospital_1,201,1,1,0.00013,0.99907,0.0,4e-06,0.00012,0.000676
Hospital_1,202,4,4,1e-06,0.0,0.0,0.005027,0.994811,0.000161
Hospital_1,203,1,1,6.7e-05,0.999899,0.0,0.0,4e-06,3.1e-05
Hospital_1,204,1,1,0.000908,0.999048,0.0,0.0,1.5e-05,2.8e-05
Hospital_1,205,4,3,0.0,0.0,0.000311,0.606631,0.393058,0.0
Hospital_1,206,4,4,5e-06,0.0,0.0,0.000854,0.998148,0.000994
Hospital_1,207,1,1,7.1e-05,0.999849,0.0,1e-06,1.5e-05,6.5e-05
Hospital_1,208,4,4,4e-06,0.0,0.0,0.002899,0.996819,0.000279
Hospital_1,209,4,4,1e-06,0.0,0.0,0.001644,0.998298,5.7e-05
Hospital_1,210,1,1,0.000101,0.999307,0.0,1e-06,4.2e-05,0.000549
Hospital_1,211,1,1,2.9e-05,0.999612,0.0,0.0,1.3e-05,0.000346
Hospital_1,212,4,4,4e-06,0.0,0.0,0.002384,0.997314,0.000297
Hospital_1,213,1,1,9.7e-05,0.999161,0.0,4e-06,0.000133,0.000604
Hospital_1,214,4,4,0.0,0.0,0.0,0.009418,0.99036,0.000222
Hospital_1,215,1,1,4.8e-05,0.996949,0.0,1e-06,5.4e-05,0.002947
Hospital_1,216,4,4,2e-06,0.0,0.0,0.010396,0.98907,0.000532
Hospital_1,217,4,4,0.0,0.0,0.0,0.001047,0.998838,0.000115
Hospital_1,218,4,4,1e-06,0.0,0.0,0.000746,0.998973,0.00028
Hospital_1,219,4,4,0.000147,0.0,1e-06,0.026674,0.972023,0.001154
Hospital_1,220,4,3,0.0,0.0,0.001128,0.584005,0.414866,0.0
Hospital_1,221,1,1,3.8e-05,0.999922,0.0,0.0,4e-06,3.6e-05
Hospital_1,222,4,4,3e-06,0.0,0.0,0.005163,0.994446,0.000388
