ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.5693289369344712,0.8402270884022709,1.2438982129096985,0.5450819672131147,1233,244,169
1,Hospital_2,0.017570246880253156,0.9960640251902387,0.5429822504520416,0.8342105263157895,3811,760,513
1,Hospital_3,0.28974339962005613,0.9272419627749577,0.7556248307228088,0.7931034482758621,591,116,84
1,Hospital_4,NA,NA,0.975503146648407,0.9595842956120092,NA,866,584
1,Hospital_5,NA,NA,1.5187188237905502,0.2740899357601713,NA,467,321
1,Hospital_6,0.07212973909918219,0.9767441860465116,0.943976417183876,0.7667493796526055,2021,403,275
1,Hospital_7,0.29001404257381663,0.9046256556986171,1.3964998126029968,0.3277511961722488,2097,418,284
1,Hospital_8,NA,NA,1.1933821439743042,0.7230359520639148,NA,751,507
1,Hospital_9,0.12050463115939727,0.9628953771289538,1.0193424026171367,0.8312883435582822,1644,326,226
1,Hospital_10,NA,NA,1.1467356570065022,0.47558386411889597,NA,942,633
1,Hospital_11,0.0432431522058323,0.9891089108910891,1.0868756920099258,0.8045634920634921,5050,1008,679
1,Hospital_12,0.15309851587964937,0.9641283826305853,1.2964373032251995,0.5079365079365079,1589,315,218
1,Hospital_13,0.05545532127672976,0.9903774981495189,1.018479307492574,0.8768656716417911,1351,268,185
1,Hospital_14,NA,NA,1.0476899147033691,0.8421052631578947,NA,114,81
1,Hospital_15,NA,NA,1.394578852256139,0.3518005540166205,NA,1805,1211
2,Hospital_1,0.04955986188724637,0.9878345498783455,0.37688973546028137,0.8565573770491803,1233,244,169
2,Hospital_2,0.0067885109145815175,0.9986880083967462,0.07941369557132323,0.9881578947368421,3811,760,513
2,Hospital_3,0.05759275816380978,0.9864636209813875,0.1407681554555893,0.9396551724137931,591,116,84
2,Hospital_4,NA,NA,0.22606106315340316,0.9861431870669746,NA,866,584
2,Hospital_5,NA,NA,0.4995311424136162,0.815845824411135,NA,467,321
2,Hospital_6,0.03381733497371897,0.9896091044037605,0.1579917073249817,0.9404466501240695,2021,403,275
2,Hospital_7,NA,NA,0.28132227435708046,0.9521531100478469,NA,418,284
2,Hospital_8,NA,NA,0.29966873427232105,0.9107856191744341,NA,751,507
2,Hospital_9,0.04081192440711535,0.9908759124087592,0.1918463526914517,0.9478527607361963,1644,326,226
2,Hospital_10,0.008806318021064775,0.9987282746926663,0.39958612035843544,0.8598726114649682,4718,942,633
2,Hospital_11,0.02385036265477538,0.9932673267326733,0.24093545228242874,0.9424603174603174,5050,1008,679
2,Hospital_12,0.032023378576223664,0.9937067337948395,0.274969403942426,0.8825396825396825,1589,315,218
2,Hospital_13,0.02239190291782672,0.9911176905995559,0.21125395099322,0.9477611940298507,1351,268,185
2,Hospital_14,NA,NA,0.15685543417930603,0.956140350877193,NA,114,81
2,Hospital_15,NA,NA,0.2801300808787346,0.9279778393351801,NA,1805,1211
3,Hospital_1,NA,NA,0.33043117448687553,0.930327868852459,NA,244,169
3,Hospital_2,NA,NA,0.40292537212371826,0.8657894736842106,NA,760,513
3,Hospital_3,NA,NA,1.2761147022247314,0.5689655172413793,NA,116,84
3,Hospital_4,0.0012918066349811852,1.0,0.038550516590476036,0.9953810623556582,4341,866,584
3,Hospital_5,0.010901540701620673,0.9978759558198811,0.5181039273738861,0.9207708779443254,2354,467,321
3,Hospital_6,NA,NA,1.6457777991890907,0.511166253101737,NA,403,275
3,Hospital_7,NA,NA,1.4068343788385391,0.6267942583732058,NA,418,284
3,Hospital_8,0.02620926856373747,0.9922974767596282,0.2757397148137291,0.9547270306258322,3765,751,507
3,Hospital_9,0.029041557286221247,0.995742092457421,0.08737715597574909,0.9815950920245399,1644,326,226
3,Hospital_10,0.006916666493084081,0.9983043662568886,0.45870297215878963,0.945859872611465,4718,942,633
3,Hospital_11,0.06280394589994102,0.9841584158415841,1.009158945409581,0.6656746031746031,5050,1008,679
3,Hospital_12,0.02076140920130106,0.9955947136563876,2.3338193893432617,0.22857142857142856,1589,315,218
