metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15;MEDIA
fedavg;16;0.9901;0.9993;0.9857;1.0000;0.9980;0.9921;0.9847;1.0000;0.9993;0.9990;0.9995;0.9986;0.9993;0.9901;0.9898;0.9945
fedavg;999;0.9952;0.9888;0.9931;1.0000;0.9961;0.9881;0.9911;1.0000;0.9986;0.9980;0.9916;0.9874;0.9986;0.9952;0.9845;0.9915
fedavg;1935;0.9956;0.9997;0.9936;1.0000;0.9980;0.9964;0.9926;1.0000;0.9993;0.9990;0.9997;0.9990;0.9993;0.9956;0.9954;0.9973
fedprox;16;0.9945;0.9997;0.9926;0.9995;0.9980;0.9959;0.9916;0.9995;0.9990;0.9990;0.9997;0.9990;0.9990;0.9945;0.9951;0.9970
fedprox;999;0.9980;0.9997;0.9970;1.0000;0.9970;0.9982;0.9956;1.0000;0.9990;0.9985;0.9997;0.9986;0.9990;0.9980;0.9977;0.9983
fedprox;1935;0.9935;0.9816;0.9906;1.0000;0.9931;0.9815;0.9871;1.0000;0.9976;0.9965;0.9863;0.9792;0.9976;0.9935;0.9760;0.9866
fedewa;16;0.9939;0.9751;0.9911;1.0000;0.9872;0.9769;0.9847;1.0000;0.9956;0.9936;0.9815;0.9707;0.9956;0.9939;0.9700;0.9826
fedewa;999;0.9986;0.9983;0.9980;1.0000;0.9931;0.9977;0.9946;1.0000;0.9976;0.9965;0.9987;0.9959;0.9976;0.9986;0.9970;0.9973
fedewa;1935;0.9154;0.9250;0.9822;0.8896;0.9783;0.9351;0.9713;0.8896;0.9202;0.9891;0.9443;0.9175;0.9202;0.9154;0.9855;0.9534
fedag;16;0.9952;0.9853;0.9931;1.0000;0.9961;0.9855;0.9911;1.0000;0.9986;0.9980;0.9891;0.9840;0.9986;0.9952;0.9812;0.9898
fedag;999;0.9952;0.9853;0.9931;1.0000;0.9980;0.9855;0.9921;1.0000;0.9993;0.9990;0.9891;0.9847;0.9993;0.9952;0.9812;0.9901
fedag;1935;0.9922;0.9980;0.9886;1.0000;0.9852;0.9926;0.9812;1.0000;0.9949;0.9926;0.9985;0.9928;0.9949;0.9922;0.9905;0.9926
mh_random_search;16;0.9976;1.0000;0.9965;1.0000;0.9980;0.9982;0.9956;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9976;0.9977;0.9985
mh_random_search;999;0.9922;0.9819;0.9886;0.9984;0.9872;0.9807;0.9837;0.9984;0.9945;0.9936;0.9858;0.9775;0.9945;0.9922;0.9760;0.9851
mh_random_search;1935;0.9945;1.0000;0.9921;1.0000;0.9980;0.9959;0.9911;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9945;0.9947;0.9970
mh_de;16;0.9986;0.9990;0.9980;1.0000;0.9921;0.9982;0.9941;1.0000;0.9973;0.9961;0.9992;0.9962;0.9973;0.9986;0.9977;0.9975
mh_de;999;0.9969;1.0000;0.9956;1.0000;0.9980;0.9977;0.9946;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9969;0.9970;0.9982
mh_de;1935;0.9795;0.9901;0.9847;0.9849;0.9980;0.9848;0.9837;0.9849;0.9894;0.9990;0.9927;0.9894;0.9894;0.9795;0.9898;0.9896
mh_ga;16;0.9966;1.0000;0.9951;1.0000;0.9980;0.9975;0.9941;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9966;0.9967;0.9980
mh_ga;999;0.9966;0.9990;0.9951;1.0000;0.9980;0.9967;0.9941;1.0000;0.9993;0.9990;0.9992;0.9983;0.9993;0.9966;0.9957;0.9975
mh_ga;1935;0.9870;0.9823;0.9812;1.0000;0.9980;0.9772;0.9802;1.0000;0.9993;0.9990;0.9868;0.9816;0.9993;0.9870;0.9704;0.9846
mh_pso;16;0.9887;0.9772;0.9837;0.9870;0.9931;0.9746;0.9926;0.9870;0.9891;0.9965;0.9767;0.9748;0.9891;0.9887;0.9753;0.9821
mh_pso;999;0.9966;1.0000;0.9951;1.0000;0.9970;0.9975;0.9936;1.0000;0.9990;0.9985;1.0000;0.9990;0.9990;0.9966;0.9967;0.9978
mh_pso;1935;0.9915;1.0000;0.9876;1.0000;0.9980;0.9937;0.9867;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9915;0.9918;0.9955
mh_cro;16;0.9973;1.0000;0.9960;1.0000;0.9970;0.9980;0.9946;1.0000;0.9990;0.9985;1.0000;0.9990;0.9990;0.9973;0.9974;0.9982
mh_cro;999;0.9986;1.0000;0.9980;1.0000;0.9970;0.9990;0.9965;1.0000;0.9990;0.9985;1.0000;0.9990;0.9990;0.9986;0.9987;0.9988
mh_cro;1935;0.9693;0.9908;0.9689;0.9859;0.9990;0.9772;0.9684;0.9859;0.9905;0.9995;0.9932;0.9905;0.9905;0.9693;0.9793;0.9848
