metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15
fedavg;16;0.9882;0.9981;1.0000;0.9949;1.0000;0.9964;1.0000;0.9803;0.9779;1.0000;0.9897;1.0000;0.9892;0.9877;0.9992
fedavg;999;0.9882;0.9942;0.9524;0.9983;1.0000;0.9782;1.0000;0.9882;0.9867;0.9984;0.9882;0.9908;1.0000;0.9877;0.9884
fedavg;1935;0.9941;0.9981;1.0000;0.9983;1.0000;0.9964;1.0000;0.9901;0.9912;1.0000;0.9985;1.0000;0.9892;0.9877;0.9992
fedprox;16;0.9882;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9862;0.9867;0.9984;0.9985;1.0000;0.9946;1.0000;0.9992
fedprox;999;0.9882;0.9981;1.0000;0.9983;1.0000;0.9964;1.0000;0.9980;0.9956;0.9984;0.9985;1.0000;1.0000;1.0000;0.9992
fedprox;1935;0.9941;0.9903;0.9405;0.9983;1.0000;0.9636;0.9965;0.9803;0.9867;0.9984;0.9823;0.9679;0.9946;1.0000;0.9810
fedewa;16;1.0000;0.9786;0.9286;0.9983;1.0000;0.9491;0.9894;0.9803;0.9867;0.9968;0.9764;0.9587;0.9838;0.9877;0.9794
fedewa;999;1.0000;0.9922;0.9881;0.9983;1.0000;0.9927;0.9965;0.9980;0.9956;0.9984;0.9971;1.0000;1.0000;0.9877;0.9992
fedewa;1935;0.9231;0.9727;1.0000;0.9914;0.8318;0.9709;0.9824;0.9112;0.9602;0.8468;0.9882;1.0000;0.9676;0.9877;0.9893
fedag;16;0.9941;0.9942;0.9405;0.9983;1.0000;0.9709;1.0000;0.9901;0.9867;0.9984;0.9882;0.9771;0.9892;0.9877;0.9851
fedag;999;0.9941;0.9961;0.9405;0.9983;1.0000;0.9782;0.9965;0.9882;0.9912;1.0000;0.9838;0.9817;1.0000;0.9877;0.9843
fedag;1935;1.0000;0.9864;0.9881;0.9949;1.0000;0.9818;0.9965;0.9822;0.9779;0.9968;0.9941;1.0000;0.9838;0.9877;0.9975
mh_random_search;16;0.9882;0.9981;1.0000;0.9966;1.0000;1.0000;1.0000;0.9980;0.9956;1.0000;1.0000;1.0000;0.9946;1.0000;0.9992
mh_random_search;999;0.9882;0.9844;0.9405;0.9983;1.0000;0.9636;0.9894;0.9882;0.9779;0.9968;0.9853;0.9679;0.9784;0.9877;0.9794
mh_random_search;1935;0.9882;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9862;0.9867;1.0000;0.9971;1.0000;0.9946;1.0000;0.9992
mh_de;16;0.9941;0.9922;1.0000;0.9983;1.0000;0.9964;1.0000;0.9980;0.9912;0.9984;1.0000;0.9954;1.0000;1.0000;0.9975
mh_de;999;0.9882;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9921;0.9956;1.0000;0.9985;1.0000;1.0000;1.0000;0.9992
mh_de;1935;0.9882;0.9981;1.0000;0.9983;0.9720;1.0000;0.9965;0.9645;0.9735;0.9795;0.9956;1.0000;0.9838;0.9877;0.9967
mh_ga;16;0.9882;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9901;0.9912;1.0000;1.0000;1.0000;1.0000;1.0000;0.9992
mh_ga;999;0.9882;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9921;0.9912;1.0000;0.9985;1.0000;1.0000;1.0000;0.9967
mh_ga;1935;0.9822;0.9961;0.9405;0.9966;1.0000;0.9673;0.9965;0.9684;0.9779;1.0000;0.9779;0.9633;0.9838;0.9877;0.9818
mh_pso;16;0.9941;0.9747;0.9286;0.9983;0.9969;0.9564;0.9824;0.9941;0.9912;0.9984;0.9823;0.9633;1.0000;0.9877;0.9661
mh_pso;999;0.9882;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9901;0.9912;0.9984;1.0000;1.0000;1.0000;1.0000;0.9992
mh_pso;1935;0.9941;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9763;0.9779;1.0000;0.9971;1.0000;0.9838;0.9877;0.9992
mh_cro;16;0.9941;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9941;0.9912;0.9984;0.9985;1.0000;1.0000;1.0000;0.9992
mh_cro;999;0.9941;0.9981;1.0000;0.9983;1.0000;1.0000;1.0000;0.9980;0.9956;0.9984;1.0000;1.0000;1.0000;1.0000;0.9992
mh_cro;1935;0.9645;0.9981;1.0000;0.9914;0.9720;1.0000;0.9930;0.9527;0.9602;0.9810;0.9838;0.9954;0.9676;0.9877;0.9967
