ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,NA,NA,0.45623328164219856,0.7540983606557377,NA,244,169
1,Hospital_2,0.010236307660428186,0.9963264235108895,0.5066834191481272,0.8855263157894737,3811,760,513
1,Hospital_3,NA,NA,0.47660285234451294,0.853448275862069,NA,116,84
1,Hospital_4,NA,NA,0.4903954512306622,0.9849884526558892,NA,866,584
1,Hospital_5,NA,NA,0.7631712928414345,0.5974304068522484,NA,467,321
1,Hospital_6,NA,NA,0.5237220376729965,0.8188585607940446,NA,403,275
1,Hospital_7,NA,NA,0.6552658528089523,0.9090909090909091,NA,418,284
1,Hospital_8,0.044501033161456385,0.9867197875166003,0.2626884865264098,0.8761651131824234,3765,751,507
1,Hospital_9,0.7451616462606651,0.8260340632603407,0.26628075540065765,0.9263803680981595,1644,326,226
1,Hospital_10,0.012540371569402114,0.9980924120389996,0.6992900036275387,0.6104033970276008,4718,942,633
1,Hospital_11,0.027143648359924555,0.9916831683168317,0.5067331790924072,0.9087301587301587,5050,1008,679
1,Hospital_12,0.04853588636391438,0.9930774071743235,0.5574697852134705,0.834920634920635,1589,315,218
1,Hospital_13,0.03936280725015835,0.9911176905995559,0.2395323005815347,0.9626865671641791,1351,268,185
1,Hospital_14,0.31989256143569944,0.8854166666666666,0.12742142379283905,0.9736842105263158,576,114,81
1,Hospital_15,0.01120209409756927,0.9976769911504425,0.6493155459562937,0.8969529085872576,9040,1805,1211
2,Hospital_1,0.03447919595055282,0.9886455798864558,0.08140518656000495,0.9713114754098361,1233,244,169
2,Hospital_2,NA,NA,0.057569799246266484,0.9881578947368421,NA,760,513
2,Hospital_3,NA,NA,0.1840113252401352,0.9224137931034483,NA,116,84
2,Hospital_4,0.0021364188732524566,0.9993089149965446,0.0912366094333785,0.9930715935334873,4341,866,584
2,Hospital_5,0.008899404985928222,0.9987255734919286,0.04394777351990342,0.9957173447537473,2354,467,321
2,Hospital_6,NA,NA,0.24128612875938416,0.9230769230769231,NA,403,275
2,Hospital_7,NA,NA,0.18294380605220795,0.9688995215311005,NA,418,284
2,Hospital_8,0.01996623749534289,0.9933598937583001,0.08712381931642692,0.9693741677762983,3765,751,507
2,Hospital_9,0.021014463801223498,0.9951338199513382,0.06216133292764425,0.9815950920245399,1644,326,226
2,Hospital_10,0.007866923159265236,0.9985163204747775,0.04314956144662574,0.994692144373673,4718,942,633
2,Hospital_11,0.012120409100316466,0.9964356435643564,0.23530019354075193,0.9384920634920635,5050,1008,679
2,Hospital_12,0.02199604458963642,0.9955947136563876,0.5112356642882029,0.8412698412698413,1589,315,218
2,Hospital_13,NA,NA,0.07705680808673303,0.9738805970149254,NA,268,185
2,Hospital_14,NA,NA,0.09471868723630905,0.9736842105263158,NA,114,81
2,Hospital_15,0.009551801183424942,0.9981194690265487,0.2270951531517009,0.9445983379501385,9040,1805,1211
3,Hospital_1,0.0422159319743514,0.9870235198702352,0.20909217186272144,0.9262295081967213,1233,244,169
3,Hospital_2,NA,NA,0.08469262719154358,0.9736842105263158,NA,760,513
3,Hospital_3,0.01778308805078268,0.9949238578680203,0.14563050866127014,0.9310344827586207,591,116,84
3,Hospital_4,NA,NA,0.08511175747428622,0.9942263279445728,NA,866,584
3,Hospital_5,0.0040660454756825375,0.9995751911639762,0.4139494150876999,0.8115631691648822,2354,467,321
3,Hospital_6,NA,NA,0.2028973512351513,0.9354838709677419,NA,403,275
3,Hospital_7,0.017917641383760115,0.9928469241773963,0.17597297206521034,0.9617224880382775,2097,418,284
3,Hospital_8,0.012871556589379907,0.996547144754316,0.1380062298849225,0.9507323568575233,3765,751,507
3,Hospital_9,0.031751569002293624,0.9939172749391727,0.07867354294285178,0.9754601226993865,1644,326,226
3,Hospital_10,NA,NA,0.3779282867908478,0.851380042462845,NA,942,633
3,Hospital_11,NA,NA,0.17542680446058512,0.9543650793650794,NA,1008,679
3,Hospital_12,0.010312470535819348,0.9981120201384519,0.27830837170283,0.9015873015873016,1589,315,218
3,Hospital_13,0.005805393194102428,0.997779422649889,0.06125582382082939,0.9850746268656716,1351,268,185
3,Hospital_14,0.013051917497068643,0.9965277777777778,0.05888897180557251,0.9824561403508771,576,114,81
3,Hospital_15,NA,NA,0.17940385801096756,0.9473684210526315,NA,1805,1211
4,Hospital_1,NA,NA,0.09042054414749146,0.9754098360655737,NA,244,169
4,Hospital_2,NA,NA,0.016100598382763565,0.9947368421052631,NA,760,513
4,Hospital_3,0.011594828777015209,0.9966159052453468,0.015712592750787735,1.0,591,116,84
4,Hospital_4,NA,NA,0.034831908132348745,0.9907621247113164,NA,866,584
4,Hospital_5,0.004712895563754596,0.9987255734919286,0.0871248971670866,0.9914346895074947,2354,467,321
4,Hospital_6,0.007394838306936435,0.9980207817911925,0.032599709811620414,0.9925558312655087,2021,403,275
4,Hospital_7,0.010057589847265798,0.9976156413924654,0.015855008678045124,1.0,2097,418,284
4,Hospital_8,0.012259512891372044,0.9962815405046481,0.09426318978269894,0.9693741677762983,3765,751,507
4,Hospital_9,0.014233686047821091,0.9963503649635036,0.06684330167869727,0.9785276073619632,1644,326,226
4,Hospital_10,NA,NA,0.08050948706841154,0.994692144373673,NA,942,633
4,Hospital_11,0.0056441459251800555,0.9982178217821782,0.038904717774130404,0.9930555555555556,5050,1008,679
4,Hospital_12,0.009870653434728201,0.9981120201384519,0.03466479231913885,1.0,1589,315,218
4,Hospital_13,NA,NA,0.05059557454660535,0.9738805970149254,NA,268,185
4,Hospital_14,NA,NA,0.06696297973394394,0.9824561403508771,NA,114,81
4,Hospital_15,0.0063007896713597675,0.9983407079646017,0.02667905865237117,0.9977839335180055,9040,1805,1211
5,Hospital_1,0.02554093478247523,0.9935117599351176,0.021095076692290604,0.9918032786885246,1233,244,169
5,Hospital_2,0.0013850254651818735,1.0,0.021201291703619063,0.9907894736842106,3811,760,513
5,Hospital_3,NA,NA,0.06636722385883331,0.9741379310344828,NA,116,84
5,Hospital_4,NA,NA,0.020890948229602406,0.9930715935334873,NA,866,584
5,Hospital_5,0.0031392145243252776,0.9995751911639762,0.01671571913175285,0.9978586723768736,2354,467,321
5,Hospital_6,0.004139405064051971,0.9985155863433943,0.11490217875689268,0.9503722084367245,2021,403,275
5,Hospital_7,0.007454952485311557,0.9985693848354793,0.039935146749485284,0.9904306220095693,2097,418,284
5,Hospital_8,NA,NA,0.035060467421620466,0.9813581890812251,NA,751,507
5,Hospital_9,NA,NA,0.02165659478244682,0.99079754601227,NA,326,226
