ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,NA,NA,0.4540632478892803,0.7540983606557377,NA,244,169
1,Hospital_2,0.010236316880521675,0.9963264235108895,0.5013973613580068,0.8894736842105263,3811,760,513
1,Hospital_3,NA,NA,0.47275835275650024,0.853448275862069,NA,116,84
1,Hospital_4,NA,NA,0.48856702872685026,0.9849884526558892,NA,866,584
1,Hospital_5,NA,NA,0.7594948634505272,0.5974304068522484,NA,467,321
1,Hospital_6,NA,NA,0.5203949809074402,0.8213399503722084,NA,403,275
1,Hospital_7,NA,NA,0.6528171002864838,0.9090909090909091,NA,418,284
1,Hospital_8,0.04450032922128836,0.9867197875166003,0.26210999364654225,0.8788282290279628,3765,751,507
1,Hospital_9,0.742595010651992,0.8272506082725061,0.26532911012570065,0.9263803680981595,1644,326,226
1,Hospital_10,0.012540377645023368,0.9980924120389996,0.6943092979490757,0.6178343949044586,4718,942,633
1,Hospital_11,0.027143241901649164,0.9916831683168317,0.5049177389591932,0.9107142857142857,5050,1008,679
1,Hospital_12,0.048533932520793036,0.9930774071743235,0.5556398431460062,0.834920634920635,1589,315,218
1,Hospital_13,0.03936280648816715,0.9911176905995559,0.23898116499185562,0.9626865671641791,1351,268,185
1,Hospital_14,0.3198928475379944,0.8854166666666666,0.12740325927734375,0.9736842105263158,576,114,81
1,Hospital_15,0.011202233053192916,0.9976769911504425,0.6467446744441986,0.8975069252077562,9040,1805,1211
2,Hospital_1,NA,NA,0.20399146154522896,0.9508196721311475,NA,244,169
2,Hospital_2,0.004588541462241361,0.998950406717397,0.09103960979458255,0.9697368421052631,3811,760,513
2,Hospital_3,0.029434125870466232,0.9932318104906938,0.12788933515548706,0.9655172413793104,591,116,84
2,Hospital_4,0.0019533525217625804,0.999539276664363,0.07828456908464432,0.9826789838337182,4341,866,584
2,Hospital_5,NA,NA,0.09295376855880022,0.9785867237687366,NA,467,321
2,Hospital_6,0.015604873740812764,0.9960415635823849,0.13583972910419106,0.9528535980148883,2021,403,275
2,Hospital_7,0.018575425396728164,0.9957081545064378,0.2711838521063328,0.9114832535885168,2097,418,284
2,Hospital_8,NA,NA,0.22015970883270106,0.948069241011984,NA,751,507
2,Hospital_9,0.021282169358948104,0.9951338199513382,0.14262282972534499,0.9662576687116564,1644,326,226
2,Hospital_10,0.007853470649884862,0.9985163204747775,0.04849882890266599,0.9936305732484076,4718,942,633
2,Hospital_11,0.010518664665869436,0.9966336633663366,0.1527877738699317,0.9593253968253969,5050,1008,679
2,Hospital_12,NA,NA,0.30511122941970825,0.8698412698412699,NA,315,218
2,Hospital_13,0.014692315323786303,0.9955588452997779,0.1434327190121015,0.9664179104477612,1351,268,185
2,Hospital_14,NA,NA,0.20844464004039764,0.9385964912280702,NA,114,81
2,Hospital_15,NA,NA,0.314832886432608,0.8952908587257618,NA,1805,1211
3,Hospital_1,NA,NA,0.14509068801999092,0.9549180327868853,NA,244,169
3,Hospital_2,0.002973946259589866,0.9994752033586985,0.37006015206376713,0.906578947368421,3811,760,513
3,Hospital_3,0.01915012430399656,0.9949238578680203,1.586730718612671,0.5862068965517241,591,116,84
3,Hospital_4,0.0007719700725454673,1.0,0.015563554795725005,0.9976905311778291,4341,866,584
3,Hospital_5,NA,NA,0.24115251004695892,0.9229122055674518,NA,467,321
3,Hospital_6,0.009684672171715647,0.9975259772389906,2.0436435155570507,0.533498759305211,2021,403,275
3,Hospital_7,0.01566468140877345,0.9952312827849309,1.5870661437511444,0.7511961722488039,2097,418,284
3,Hospital_8,0.0154725666778783,0.9944223107569721,0.21872885998648903,0.9467376830892144,3765,751,507
3,Hospital_9,NA,NA,0.04193155713922655,0.9877300613496932,NA,326,226
3,Hospital_10,NA,NA,0.21069311071187258,0.9437367303609342,NA,942,633
3,Hospital_11,NA,NA,1.303901745006442,0.6785714285714286,NA,1008,679
3,Hospital_12,0.0108216072862538,0.9981120201384519,3.008700648943583,0.29523809523809524,1589,315,218
3,Hospital_13,NA,NA,0.02046908182092011,0.9925373134328358,NA,268,185
3,Hospital_14,0.23659109473228454,0.9618055555555556,0.4388561546802521,0.9035087719298246,576,114,81
3,Hospital_15,0.008648798222822452,0.9975663716814159,1.333470039566358,0.7008310249307479,9040,1805,1211
4,Hospital_1,0.012510768813081085,0.9967558799675588,0.14250466041266918,0.9631147540983607,1233,244,169
4,Hospital_2,0.002087692681622381,0.9997376016793492,0.03945357862782354,0.9881578947368421,3811,760,513
4,Hospital_3,NA,NA,0.09023157507181168,0.9568965517241379,NA,116,84
4,Hospital_4,0.0005736385886420441,1.0,0.05610995423713965,0.9861431870669746,4341,866,584
4,Hospital_5,NA,NA,0.038221440743654966,0.9935760171306209,NA,467,321
4,Hospital_6,0.015086722385603935,0.9970311726867888,0.12231082608923316,0.9454094292803971,2021,403,275
4,Hospital_7,0.013208816964727114,0.9971387696709585,0.10893275775015354,0.9665071770334929,2097,418,284
4,Hospital_8,NA,NA,0.1631359023352464,0.9533954727030626,NA,751,507
4,Hospital_9,0.010819280323070975,0.9963503649635036,0.10720344446599483,0.9662576687116564,1644,326,226
4,Hospital_10,NA,NA,0.025275325635448098,0.9957537154989384,NA,942,633
4,Hospital_11,NA,NA,0.13177818182157353,0.9484126984126984,NA,1008,679
4,Hospital_12,NA,NA,0.26667723059654236,0.8825396825396825,NA,315,218
4,Hospital_13,0.004737582470459694,0.999259807549963,0.11775036016479135,0.9701492537313433,1351,268,185
4,Hospital_14,0.012809067964553833,0.9930555555555556,0.19654181599617004,0.9385964912280702,576,114,81
4,Hospital_15,0.007642758360073548,0.9983407079646017,0.14445922450783352,0.949584487534626,9040,1805,1211
5,Hospital_1,NA,NA,0.016217973083257675,0.9959016393442623,NA,244,169
5,Hospital_2,NA,NA,0.030921894125640392,0.9881578947368421,NA,760,513
5,Hospital_3,0.013447428634390236,0.9966159052453468,0.03735062852501869,0.9913793103448276,591,116,84
5,Hospital_4,0.0004625787859207348,1.0,0.008963908268404859,0.9976905311778291,4341,866,584
5,Hospital_5,NA,NA,0.032860328909009695,0.9957173447537473,NA,467,321
5,Hospital_6,0.004110123780264985,0.9990103908955963,0.07267034519463778,0.9553349875930521,2021,403,275
5,Hospital_7,NA,NA,0.028434207662940025,0.992822966507177,NA,418,284
5,Hospital_8,0.009111131133977324,0.9976095617529881,0.02178879656518499,0.9920106524633822,3765,751,507
5,Hospital_9,0.028378901430047475,0.9890510948905109,0.015759314099947613,0.9969325153374233,1644,326,226
5,Hospital_10,0.0030686096571436203,0.9993641373463332,0.043629291525576264,0.9957537154989384,4718,942,633
5,Hospital_11,NA,NA,0.05668846901971847,0.9781746031746031,NA,1008,679
5,Hospital_12,0.005263692941158437,0.9987413467589679,0.11295768370230992,0.926984126984127,1589,315,218
5,Hospital_13,0.0027650793781504035,1.0,0.011092603924529007,0.996268656716418,1351,268,185
5,Hospital_14,NA,NA,0.032781366258859634,0.9824561403508771,NA,114,81
5,Hospital_15,0.005794881615528679,0.9985619469026549,0.049837007621924084,0.9756232686980609,9040,1805,1211
6,Hospital_1,NA,NA,0.04526209272444248,0.9918032786885246,NA,244,169
6,Hospital_2,0.0010893760258719946,1.0,0.008661511169824129,0.9960526315789474,3811,760,513
6,Hospital_3,0.010731997061520815,0.9949238578680203,0.00777036789804697,1.0,591,116,84
6,Hospital_4,NA,NA,0.01856120040507189,0.9930715935334873,NA,866,584
6,Hospital_5,0.002641304803546518,0.9995751911639762,0.06894824746996164,0.9914346895074947,2354,467,321
6,Hospital_6,0.0026014317882072646,0.9995051954477981,0.017641482583712786,0.9950372208436724,2021,403,275
6,Hospital_7,0.005859964732628535,0.9995231282784931,0.007311346300411969,1.0,2097,418,284
6,Hospital_8,0.007682962863085171,0.9976095617529881,0.05807313850770394,0.9800266311584553,3765,751,507
6,Hospital_9,0.007640840324501579,0.9981751824817519,0.04100319681068262,0.9877300613496932,1644,326,226
6,Hospital_10,NA,NA,0.049307702960504685,0.994692144373673,NA,942,633
6,Hospital_11,0.007236413638747763,0.998019801980198,0.024532539609936066,0.998015873015873,5050,1008,679
6,Hospital_12,0.0041069061620734055,0.9993706733794839,0.016989380742112797,1.0,1589,315,218
6,Hospital_13,NA,NA,0.02640579400273661,0.9925373134328358,NA,268,185
6,Hospital_14,NA,NA,0.04802224040031433,0.9824561403508771,NA,114,81
6,Hospital_15,NA,NA,0.013068441507251312,0.9988919667590028,NA,1805,1211
7,Hospital_1,NA,NA,0.14237900730222464,0.9672131147540983,NA,244,169
7,Hospital_2,NA,NA,0.004780968926297646,0.9986842105263158,NA,760,513
7,Hospital_3,0.004245570837520063,1.0,0.03658072650432587,0.9827586206896551,591,116,84
7,Hospital_4,NA,NA,0.06902279471978545,0.9826789838337182,NA,866,584
7,Hospital_5,0.0030313407463070595,0.9995751911639762,0.06264844792895019,0.987152034261242,2354,467,321
7,Hospital_6,0.002012575305343489,1.0,0.009358226205222309,0.9975186104218362,2021,403,275
7,Hospital_7,0.004418221319450394,0.9995231282784931,0.005966832526610233,1.0,2097,418,284
7,Hospital_8,0.0071221287672718365,0.9976095617529881,0.18315111938863993,0.9547270306258322,3765,751,507
7,Hospital_9,NA,NA,0.12830735370516777,0.9601226993865031,NA,326,226
