hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,3,3,2e-06,0.0,0.000329,0.906845,0.092824,0.0
Hospital_1,1,2,2,0.001632,0.0,0.998367,0.0,1e-06,0.0
Hospital_1,2,1,1,0.000194,0.988966,0.0,1.2e-05,0.002168,0.00866
Hospital_1,3,3,3,0.0,0.0,0.0,0.99941,0.00059,0.0
Hospital_1,4,2,2,0.005603,0.0,0.994375,8e-06,1.4e-05,0.0
Hospital_1,5,2,2,0.003122,0.0,0.996876,0.0,2e-06,0.0
Hospital_1,6,2,2,0.001408,0.0,0.998588,1e-06,3e-06,0.0
Hospital_1,7,2,2,0.001439,0.0,0.998551,2e-06,8e-06,0.0
Hospital_1,8,5,5,3.2e-05,4e-06,0.0,8e-06,0.086358,0.913598
Hospital_1,9,2,2,0.002179,0.0,0.997809,1e-06,1.1e-05,0.0
Hospital_1,10,2,2,0.001182,0.0,0.998815,0.0,3e-06,0.0
Hospital_1,11,5,5,6e-06,4e-06,0.0,2e-06,0.001997,0.997992
Hospital_1,12,5,5,5.5e-05,2.3e-05,0.0,2.8e-05,0.098583,0.901311
Hospital_1,13,2,2,0.002222,0.0,0.997771,2e-06,6e-06,0.0
Hospital_1,14,5,5,0.000123,0.005259,0.0,2.3e-05,0.001329,0.993265
Hospital_1,15,0,0,0.997733,5e-06,0.001382,8.3e-05,0.000794,3e-06
Hospital_1,16,3,3,0.0,0.0,0.0,0.999791,0.000209,0.0
Hospital_1,17,5,5,2e-06,0.0,0.0,5e-06,0.0003,0.999693
Hospital_1,18,1,1,2e-06,0.999997,0.0,0.0,0.0,1e-06
Hospital_1,19,2,2,0.008719,0.0,0.991108,2.4e-05,0.000149,0.0
Hospital_1,20,2,2,0.002831,0.0,0.997154,3e-06,1.2e-05,0.0
Hospital_1,21,2,2,0.001671,0.0,0.998313,4e-06,1.2e-05,0.0
Hospital_1,22,2,2,0.00182,0.0,0.998155,7e-06,1.8e-05,0.0
Hospital_1,23,3,3,0.0,0.0,0.0,0.993673,0.006326,0.0
Hospital_1,24,0,0,0.993644,0.000524,0.005739,1.1e-05,7.3e-05,9e-06
Hospital_1,25,2,2,0.000838,0.0,0.999156,0.0,5e-06,0.0
Hospital_1,26,1,1,2e-06,0.999966,0.0,0.0,4e-06,2.8e-05
Hospital_1,27,3,3,0.0,0.0,0.0,0.998451,0.001549,0.0
Hospital_1,28,3,3,0.0,0.0,0.0,0.99985,0.000149,0.0
Hospital_1,29,2,2,0.000427,0.0,0.999571,0.0,2e-06,0.0
Hospital_1,30,3,3,0.0,0.0,0.0,0.999752,0.000248,0.0
Hospital_1,31,5,5,9.7e-05,2e-06,0.0,3.3e-05,0.018434,0.981434
Hospital_1,32,2,2,0.003233,0.0,0.996764,0.0,2e-06,0.0
Hospital_1,33,3,3,0.0,0.0,0.0,0.999567,0.000433,0.0
Hospital_1,34,3,3,0.0,0.0,0.0,0.998549,0.001451,0.0
Hospital_1,35,2,2,0.00522,0.0,0.994776,0.0,4e-06,0.0
Hospital_1,36,0,0,0.999128,0.000116,0.000622,1e-06,9.5e-05,3.7e-05
Hospital_1,37,3,3,0.0,0.0,0.0,0.97578,0.02422,0.0
Hospital_1,38,3,3,0.0,0.0,0.0,0.99951,0.00049,0.0
Hospital_1,39,2,2,0.001391,0.0,0.99859,2e-06,1.7e-05,0.0
Hospital_1,40,2,2,0.000617,0.0,0.999382,0.0,1e-06,0.0
Hospital_1,41,3,3,0.0,0.0,0.0,0.999803,0.000197,0.0
Hospital_1,42,3,3,0.0,0.0,0.0,0.999563,0.000437,0.0
Hospital_1,43,2,2,0.003433,0.0,0.996561,1e-06,5e-06,0.0
Hospital_1,44,3,3,9e-06,0.0,2e-06,0.975454,0.024535,0.0
Hospital_1,45,5,5,1.8e-05,1.1e-05,0.0,1e-06,0.002141,0.997829
Hospital_1,46,3,3,0.0,0.0,0.0,0.999587,0.000413,0.0
Hospital_1,47,3,3,0.0,0.0,0.0,0.999857,0.000143,0.0
Hospital_1,48,2,2,0.001596,0.0,0.998401,0.0,3e-06,0.0
