ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.9911380665642875,0.8887515451174289,1.199506163597107,0.8113207547169812,809,159,113
1,Hospital_2,0.3663542731241746,0.8478915662650602,0.8958521882692972,0.8435114503816794,1328,262,184
1,Hospital_3,NA,NA,1.199191927909851,0.8356807511737089,NA,213,149
1,Hospital_4,NA,NA,1.1914772987365723,0.5217391304347826,NA,69,52
1,Hospital_5,0.9045964905193874,0.5584415584415584,1.3209668397903442,0.2916666666666667,847,168,117
2,Hospital_1,0.24971318670681544,0.9616810877626699,0.5077115744352341,0.9308176100628931,809,159,113
2,Hospital_2,NA,NA,1.4273809591929119,0.6335877862595419,NA,262,184
2,Hospital_3,NA,NA,0.5499652624130249,0.9671361502347418,NA,213,149
2,Hospital_4,0.4076070189476013,0.9206798866855525,0.42979690432548523,0.9130434782608695,353,69,52
2,Hospital_5,0.6285323032311031,0.7851239669421488,0.6685948222875595,0.7142857142857143,847,168,117
3,Hospital_1,0.17981464202914918,0.9530284301606922,0.41237132251262665,0.949685534591195,809,159,113
3,Hospital_2,0.15259406546300108,0.973644578313253,0.3808281868696213,0.8358778625954199,1328,262,184
3,Hospital_3,NA,NA,0.31798534095287323,0.971830985915493,NA,213,149
3,Hospital_4,0.2381205012400945,0.9320113314447592,0.4855678379535675,0.8985507246376812,353,69,52
3,Hospital_5,NA,NA,0.7077733874320984,0.8214285714285714,NA,168,117
4,Hospital_1,NA,NA,0.6253757625818253,0.8867924528301887,NA,159,113
4,Hospital_2,0.1082975295456973,0.9759036144578314,0.17094598958889642,0.9580152671755725,1328,262,184
4,Hospital_3,0.0675964458949036,0.9851162790697674,0.4419408589601517,0.9248826291079812,1075,213,149
4,Hospital_4,NA,NA,0.8109460473060608,0.6956521739130435,NA,69,52
4,Hospital_5,0.2954785866396768,0.9397874852420307,0.592297688126564,0.9047619047619048,847,168,117
5,Hospital_1,NA,NA,0.14523660950362682,0.9622641509433962,NA,159,113
5,Hospital_2,0.0875937125899575,0.9774096385542169,1.7107623120148976,0.7213740458015268,1328,262,184
5,Hospital_3,0.04750634440117412,0.987906976744186,0.185540609061718,0.971830985915493,1075,213,149
5,Hospital_4,0.24244403839111328,0.9291784702549575,0.308241069316864,0.927536231884058,353,69,52
5,Hospital_5,NA,NA,0.6488536894321442,0.6547619047619048,NA,168,117
6,Hospital_1,NA,NA,0.3271223306655884,0.9811320754716981,NA,159,113
6,Hospital_2,0.08038519051941959,0.9811746987951807,0.13977999488512674,0.9656488549618321,1328,262,184
6,Hospital_3,0.044517215341329575,0.987906976744186,0.29881010949611664,0.9812206572769953,1075,213,149
6,Hospital_4,NA,NA,0.38960376381874084,0.9130434782608695,NA,69,52
6,Hospital_5,0.2412427089044026,0.9704840613931524,0.3391077592968941,0.9702380952380952,847,168,117
7,Hospital_1,0.07671082126242774,0.9641532756489494,0.11665419116616249,0.9811320754716981,809,159,113
7,Hospital_2,0.06507561660625717,0.9804216867469879,0.22710461914539337,0.916030534351145,1328,262,184
7,Hospital_3,NA,NA,0.11182402819395065,0.9906103286384976,NA,213,149
7,Hospital_4,0.09153090417385101,0.9830028328611898,0.15775913000106812,0.9565217391304348,353,69,52
7,Hospital_5,NA,NA,0.25371425598859787,0.9464285714285714,NA,168,117
8,Hospital_1,NA,NA,0.27942167967557907,0.9748427672955975,NA,159,113
8,Hospital_2,0.06506009636954828,0.9819277108433735,0.085263525446256,0.9694656488549618,1328,262,184
8,Hospital_3,0.037186157475743026,0.9869767441860465,0.2141350954771042,0.9671361502347418,1075,213,149
8,Hospital_4,NA,NA,0.40919122099876404,0.8985507246376812,NA,69,52
8,Hospital_5,0.16012774727174214,0.9704840613931524,0.34044869244098663,0.9583333333333334,847,168,117
9,Hospital_1,NA,NA,0.13274911791086197,0.9874213836477987,NA,159,113
9,Hospital_2,0.06090457542714747,0.9804216867469879,0.10478332514564197,0.9694656488549618,1328,262,184
9,Hospital_3,0.03930314537137747,0.9869767441860465,0.14696212112903595,0.9812206572769953,1075,213,149
9,Hospital_4,0.07074630384643872,0.9915014164305949,0.152846097946167,0.9855072463768116,353,69,52
9,Hospital_5,NA,NA,0.2907579839229584,0.8809523809523809,NA,168,117
10,Hospital_1,0.05536790617874691,0.9814585908529048,0.08030357398092747,0.9811320754716981,809,159,113
10,Hospital_2,0.05499519966542721,0.9826807228915663,0.12879768510659537,0.9580152671755725,1328,262,184
10,Hospital_3,NA,NA,0.10300716757774353,0.971830985915493,NA,213,149
10,Hospital_4,NA,NA,0.09451515227556229,0.9855072463768116,NA,69,52
10,Hospital_5,0.12098381668329239,0.9752066115702479,0.31645233929157257,0.8095238095238095,847,168,117
11,Hospital_1,0.04077468439936638,0.9913473423980222,0.15330394357442856,0.9874213836477987,809,159,113
11,Hospital_2,0.05188360767947002,0.9819277108433735,0.06761868267009656,0.9694656488549618,1328,262,184
11,Hospital_3,NA,NA,0.11890209279954433,0.9812206572769953,NA,213,149
11,Hospital_4,NA,NA,0.2429276406764984,0.8985507246376812,NA,69,52
11,Hospital_5,0.11851369802440916,0.9799291617473436,0.22046998888254166,0.9761904761904762,847,168,117
12,Hospital_1,NA,NA,0.14171061292290688,0.9811320754716981,NA,159,113
12,Hospital_2,0.04798147353259,0.9849397590361446,0.057870879769325256,0.9770992366412213,1328,262,184
12,Hospital_3,0.025717749260365963,0.9934883720930232,0.12011854164302349,0.9765258215962441,1075,213,149
12,Hospital_4,0.05994700019558271,0.9915014164305949,0.21724849939346313,0.9130434782608695,353,69,52
12,Hospital_5,NA,NA,0.2271452322602272,0.9642857142857143,NA,168,117
13,Hospital_1,NA,NA,0.10821347683668137,0.9874213836477987,NA,159,113
13,Hospital_2,0.045274755409495396,0.9841867469879518,0.05849665900071462,0.9694656488549618,1328,262,184
13,Hospital_3,NA,NA,0.10094740800559521,0.9859154929577465,NA,213,149
13,Hospital_4,0.07349875072638194,0.9858356940509915,0.16677208244800568,0.9565217391304348,353,69,52
13,Hospital_5,0.09238238047276225,0.9787485242030697,0.171609066426754,0.9761904761904762,847,168,117
14,Hospital_1,NA,NA,0.046028108801692724,0.9874213836477987,NA,159,113
14,Hospital_2,NA,NA,0.13745064288377762,0.9465648854961832,NA,262,184
14,Hospital_3,0.02630218170169327,0.9934883720930232,0.04182402044534683,0.9953051643192489,1075,213,149
14,Hospital_4,0.07579312721888225,0.9830028328611898,0.10436911880970001,0.9565217391304348,353,69,52
14,Hospital_5,0.07801070862582751,0.9834710743801653,0.13140886649489403,0.9642857142857143,847,168,117
15,Hospital_1,0.026605070967759405,0.9888751545117429,0.2531294897198677,0.9622641509433962,809,159,113
15,Hospital_2,0.04297250356863846,0.9856927710843374,0.03725140988050649,0.9770992366412213,1328,262,184
15,Hospital_3,0.027308305001093283,0.9888372093023255,0.1470415461808443,0.9624413145539906,1075,213,149
15,Hospital_4,NA,NA,0.41146212816238403,0.8695652173913043,NA,69,52
15,Hospital_5,NA,NA,0.31347181275486946,0.9345238095238095,NA,168,117
16,Hospital_1,NA,NA,0.04751116223633289,0.9874213836477987,NA,159,113
16,Hospital_2,NA,NA,0.07822417033215363,0.9618320610687023,NA,262,184
16,Hospital_3,0.023398848664429452,0.9916279069767442,0.044638422317802906,0.9906103286384976,1075,213,149
16,Hospital_4,0.0455008236070474,0.9943342776203966,0.09479737281799316,0.9710144927536232,353,69,52
16,Hospital_5,0.08767389293227877,0.9846517119244392,0.1275951862335205,0.9702380952380952,847,168,117
17,Hospital_1,0.024143046034233912,0.9938195302843016,0.04971547471359372,0.9874213836477987,809,159,113
17,Hospital_2,NA,NA,0.11144232874115308,0.9694656488549618,NA,262,184
17,Hospital_3,NA,NA,0.03702893294394016,0.9859154929577465,NA,213,149
17,Hospital_4,0.05193086092670759,0.9943342776203966,0.10296690464019775,0.9710144927536232,353,69,52
17,Hospital_5,0.11711710691452026,0.9551357733175915,0.10889668017625809,0.9702380952380952,847,168,117
18,Hospital_1,0.04478018917143345,0.9864029666254636,0.1891218889504671,0.9685534591194969,809,159,113
18,Hospital_2,0.04631039110774344,0.9871987951807228,0.03355893535384288,0.9732824427480916,1328,262,184
18,Hospital_3,0.021034121099445555,0.9925581395348837,0.11559419333934784,0.9671361502347418,1075,213,149
18,Hospital_4,NA,NA,0.3119840621948242,0.8985507246376812,NA,69,52
18,Hospital_5,NA,NA,0.2568852826952934,0.9583333333333334,NA,168,117
19,Hospital_1,0.017907156542475735,0.9938195302843016,0.03961540572345257,0.9874213836477987,809,159,113
19,Hospital_2,0.04069240467453545,0.9879518072289156,0.05011443514376879,0.9694656488549618,1328,262,184
19,Hospital_3,NA,NA,0.04556521400809288,0.9906103286384976,NA,213,149
19,Hospital_4,NA,NA,0.08819914609193802,0.9710144927536232,NA,69,52
