hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,2,2,0.033992,0.0,0.965897,9e-05,2.1e-05,0.0
Hospital_1,1,5,5,0.000784,0.000357,0.0,0.002345,0.002573,0.993941
Hospital_1,2,3,3,0.0,0.0,0.0,0.999773,0.000227,0.0
Hospital_1,3,2,2,0.090674,0.0,0.909145,6.8e-05,0.000112,1e-06
Hospital_1,4,5,5,1e-05,1e-06,0.0,0.000109,0.009311,0.99057
Hospital_1,5,2,2,0.032673,0.0,0.967156,9e-05,8.1e-05,0.0
Hospital_1,6,2,2,0.026995,0.0,0.972959,2.8e-05,1.8e-05,0.0
Hospital_1,7,5,5,0.000118,7.9e-05,0.0,0.000404,0.007419,0.991979
Hospital_1,8,2,2,0.17769,1e-06,0.822235,1.3e-05,6e-05,1e-06
Hospital_1,9,2,2,0.063342,0.0,0.936523,7.8e-05,5.6e-05,1e-06
Hospital_1,10,3,3,1e-06,0.0,0.0,0.999697,0.000303,0.0
Hospital_1,11,2,2,0.07734,0.0,0.922597,1.7e-05,4.5e-05,1e-06
Hospital_1,12,3,3,0.0,0.0,0.0,0.999977,2.3e-05,0.0
Hospital_1,13,2,2,0.021263,0.0,0.978629,6.7e-05,4.1e-05,0.0
Hospital_1,14,2,2,0.118542,0.0,0.881434,6e-06,1.8e-05,0.0
Hospital_1,15,3,3,0.0,0.0,0.0,0.999973,2.7e-05,0.0
Hospital_1,16,1,1,6e-05,0.963958,0.0,1.4e-05,0.000158,0.03581
Hospital_1,17,2,2,0.072945,0.0,0.927021,5e-06,2.9e-05,0.0
Hospital_1,18,2,2,0.020476,0.0,0.979458,2.4e-05,4e-05,0.0
Hospital_1,19,3,3,0.0,0.0,0.0,0.999983,1.7e-05,0.0
Hospital_1,20,2,2,0.009925,0.0,0.990061,7e-06,7e-06,0.0
Hospital_1,21,3,3,0.0,0.0,0.0,0.99986,0.00014,0.0
Hospital_1,22,2,2,0.080434,0.0,0.919515,2.2e-05,2.8e-05,1e-06
Hospital_1,23,1,1,4.7e-05,0.956039,0.0,2.3e-05,0.000151,0.043741
Hospital_1,24,3,3,0.0,0.0,0.0,0.999883,0.000117,0.0
Hospital_1,25,3,3,0.0,0.0,0.0,0.9999,0.0001,0.0
Hospital_1,26,2,2,0.011833,0.0,0.988158,3e-06,5e-06,0.0
Hospital_1,27,2,2,0.012707,0.0,0.987146,0.00011,3.6e-05,0.0
Hospital_1,28,5,5,0.000114,0.001087,0.0,0.005578,0.001238,0.991983
Hospital_1,29,1,1,2.9e-05,0.853774,0.0,2.8e-05,0.000175,0.145993
Hospital_1,30,2,2,0.023439,0.0,0.976543,6e-06,1.2e-05,0.0
Hospital_1,31,2,2,0.015595,0.0,0.984387,6e-06,1.1e-05,0.0
Hospital_1,32,3,3,0.0,0.0,0.0,0.999958,4.2e-05,0.0
Hospital_1,33,3,3,0.0,0.0,0.0,0.999966,3.4e-05,0.0
Hospital_1,34,5,5,0.000289,9e-06,0.0,0.00021,0.004424,0.995068
Hospital_1,35,2,2,0.080453,0.0,0.919536,2e-06,9e-06,0.0
Hospital_1,36,2,2,0.123914,0.0,0.876017,2.8e-05,4e-05,1e-06
Hospital_1,37,2,2,0.021175,0.0,0.978807,4e-06,1.4e-05,0.0
Hospital_1,38,2,2,0.037663,0.0,0.9622,7.1e-05,6.5e-05,0.0
Hospital_1,39,2,2,0.120595,0.0,0.879331,3.2e-05,4.2e-05,0.0
Hospital_1,40,3,3,0.0,0.0,0.0,0.99996,4e-05,0.0
Hospital_1,41,2,2,0.3682,3e-06,0.631559,8.3e-05,0.000152,4e-06
Hospital_1,42,2,2,0.086932,0.0,0.91298,2e-05,6.7e-05,2e-06
Hospital_1,43,3,3,1e-06,0.0,0.0,0.999819,0.00018,0.0
Hospital_1,44,3,3,0.0,0.0,0.0,0.999968,3.2e-05,0.0
Hospital_1,45,5,5,2.5e-05,2.5e-05,0.0,0.03724,0.003025,0.959685
Hospital_1,46,2,2,0.012022,0.0,0.987959,8e-06,1.1e-05,0.0
Hospital_1,47,1,1,2.9e-05,0.96069,0.0,1.4e-05,0.000114,0.039153
Hospital_1,48,2,2,0.056005,0.0,0.943958,1.6e-05,2.1e-05,0.0
Hospital_1,49,5,5,8.7e-05,1e-05,0.0,0.000171,0.080045,0.919687
Hospital_1,50,5,5,6.3e-05,0.000275,0.0,0.002167,0.000975,0.996519
Hospital_1,51,5,5,0.000357,0.001032,0.0,7e-05,0.008817,0.989724
Hospital_1,52,2,2,0.039957,0.0,0.96003,7e-06,7e-06,0.0
Hospital_1,53,2,2,0.278381,1e-06,0.721489,3.9e-05,8.8e-05,1e-06
Hospital_1,54,2,2,0.25272,0.0,0.746926,0.000108,0.000245,0.0
Hospital_1,55,2,2,0.034851,0.0,0.965138,3e-06,8e-06,0.0
Hospital_1,56,2,2,0.004553,0.0,0.99544,4e-06,3e-06,0.0
Hospital_1,57,3,3,0.0,0.0,0.0,0.99981,0.00019,0.0
Hospital_1,58,3,3,0.0,0.0,0.0,0.997658,0.002341,0.0
Hospital_1,59,2,2,0.036359,0.0,0.963592,3.1e-05,1.8e-05,0.0
Hospital_1,60,5,5,0.001035,0.003183,0.0,0.006356,0.000773,0.988653
Hospital_1,61,2,2,0.031317,0.0,0.968655,9e-06,1.8e-05,0.0
Hospital_1,62,2,2,0.018021,0.0,0.981966,4e-06,9e-06,0.0
Hospital_1,63,2,2,0.047287,0.0,0.95263,5.1e-05,3.1e-05,0.0
Hospital_1,64,2,2,0.007225,0.0,0.992743,2.3e-05,9e-06,0.0
Hospital_1,65,5,5,0.000133,4.5e-05,0.0,4.5e-05,0.015529,0.984249
