metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;MEDIA
fedavg;16;0.9675;0.9701;0.9383;0.9649;0.9950;0.9740
fedavg;999;0.9870;0.9731;0.9753;1.0000;0.9950;0.9805
fedavg;1935;1.0000;0.9642;1.0000;1.0000;0.9950;0.9789
fedprox;16;0.9610;0.9970;0.9383;0.9912;0.9950;0.9886
fedprox;999;0.9870;0.9970;0.9877;0.9912;0.9950;0.9951
fedprox;1935;0.9935;1.0000;0.9877;1.0000;0.9950;0.9967
fedewa;16;0.9935;0.9701;0.9877;1.0000;0.9849;0.9772
fedewa;999;0.9805;0.9701;0.9753;0.9912;0.9950;0.9789
fedewa;1935;0.9805;0.9970;0.9753;0.9912;0.9950;0.9935
fedag;16;0.9805;1.0000;0.9630;1.0000;0.9950;0.9935
fedag;999;0.9935;1.0000;0.9877;1.0000;0.9799;0.9919
fedag;1935;0.8052;0.9582;0.6296;1.0000;0.9799;0.9220
mh_random_search;16;0.9870;1.0000;0.9753;1.0000;0.9950;0.9951
mh_random_search;999;0.9740;1.0000;0.9506;0.9737;0.9950;0.9919
mh_random_search;1935;0.9545;0.9940;0.9383;0.9649;0.9950;0.9870
mh_de;16;0.9870;1.0000;0.9753;1.0000;0.9950;0.9951
mh_de;999;0.9935;1.0000;0.9877;1.0000;0.9950;0.9967
mh_de;1935;0.9805;0.9970;0.9753;0.9912;0.9950;0.9935
mh_ga;16;0.9935;1.0000;0.9877;1.0000;0.9950;0.9967
mh_ga;999;0.9935;1.0000;0.9877;1.0000;0.9950;0.9967
mh_ga;1935;0.9870;1.0000;0.9753;1.0000;0.9950;0.9951
mh_pso;16;0.9870;1.0000;0.9753;1.0000;0.9950;0.9951
mh_pso;999;0.9935;1.0000;0.9877;1.0000;0.9950;0.9967
mh_pso;1935;0.9870;1.0000;0.9753;1.0000;0.9950;0.9951
mh_cro;16;1.0000;1.0000;1.0000;1.0000;0.9950;0.9984
mh_cro;999;0.9935;1.0000;0.9877;1.0000;0.9950;0.9967
mh_cro;1935;0.9935;1.0000;0.9877;1.0000;0.9950;0.9967
