metodo;hospital;AbdomenCT;BreastMRI;ChestCT;CXR;Hand;HeadCT
fedavg;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedavg;Hospital_2;0.9444±0.0786;1.0000±0.0000;1.0000±0.0000;0.9924±0.0000;0.9722±0.0196;1.0000±0.0000
fedavg;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9298±0.0248
fedavg;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8182±0.0247
fedavg;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;0.9667±0.0471;0.8800±0.0000
fedprox;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedprox;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9924±0.0000;0.9306±0.0393;1.0000±0.0000
fedprox;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;0.9167±0.1179;1.0000±0.0000
fedprox;Hospital_5;1.0000±0.0000;0.9881±0.0084;1.0000±0.0000;NA;0.9667±0.0471;1.0000±0.0000
fedewa;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedewa;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9873±0.0072;0.9306±0.0196;1.0000±0.0000
fedewa;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9649±0.0248
fedewa;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.8889±0.0795
fedewa;Hospital_5;1.0000±0.0000;0.9881±0.0084;1.0000±0.0000;NA;1.0000±0.0000;0.9200±0.0566
fedag;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedag;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9771±0.0108;0.6944±0.3161;1.0000±0.0000
fedag;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.6667±0.4714;0.9298±0.0992
fedag;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;0.7500±0.3536;0.9293±0.1000
fedag;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;0.7667±0.3300;0.9600±0.0566
mh_random_search;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
mh_random_search;Hospital_2;0.9306±0.0520;1.0000±0.0000;1.0000±0.0000;0.9924±0.0000;0.9306±0.0196;1.0000±0.0000
mh_random_search;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_random_search;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_random_search;Hospital_5;1.0000±0.0000;0.9881±0.0168;1.0000±0.0000;NA;0.9667±0.0471;1.0000±0.0000
mh_de;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
mh_de;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9924±0.0000;0.9306±0.0196;1.0000±0.0000
mh_de;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_de;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_de;Hospital_5;1.0000±0.0000;0.9940±0.0084;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000
mh_ga;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
mh_ga;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9924±0.0000;0.9444±0.0196;1.0000±0.0000
mh_ga;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_ga;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_ga;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000
mh_pso;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
mh_pso;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9924±0.0000;0.9306±0.0196;1.0000±0.0000
mh_pso;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_pso;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
