metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5
fedavg;16;1.0000;0.9674;0.9933;0.8846;0.9744
fedavg;999;1.0000;0.9891;0.9933;0.9038;0.9658
fedavg;1935;1.0000;0.9946;0.9866;0.8654;0.9744
fedprox;16;1.0000;0.9783;1.0000;0.9808;0.9829
fedprox;999;1.0000;0.9891;1.0000;1.0000;0.9915
fedprox;1935;1.0000;0.9891;1.0000;1.0000;1.0000
fedewa;16;1.0000;0.9783;0.9933;0.8846;0.9744
fedewa;999;1.0000;0.9837;0.9933;0.9038;0.9658
fedewa;1935;1.0000;0.9837;1.0000;1.0000;0.9915
fedag;16;1.0000;0.9783;1.0000;1.0000;1.0000
fedag;999;1.0000;0.9728;1.0000;1.0000;1.0000
fedag;1935;1.0000;0.8804;0.9597;0.8077;0.9145
mh_random_search;16;1.0000;0.9837;1.0000;1.0000;1.0000
mh_random_search;999;1.0000;0.9728;1.0000;1.0000;1.0000
mh_random_search;1935;1.0000;0.9728;1.0000;1.0000;0.9744
mh_de;16;1.0000;0.9837;1.0000;1.0000;1.0000
mh_de;999;1.0000;0.9891;1.0000;1.0000;1.0000
mh_de;1935;1.0000;0.9837;1.0000;1.0000;0.9915
mh_ga;16;1.0000;0.9891;1.0000;1.0000;1.0000
mh_ga;999;1.0000;0.9891;1.0000;1.0000;1.0000
mh_ga;1935;1.0000;0.9837;1.0000;1.0000;1.0000
mh_pso;16;1.0000;0.9837;1.0000;1.0000;1.0000
mh_pso;999;1.0000;0.9891;1.0000;1.0000;1.0000
mh_pso;1935;1.0000;0.9837;1.0000;1.0000;1.0000
mh_cro;16;1.0000;0.9946;1.0000;1.0000;1.0000
mh_cro;999;1.0000;0.9891;1.0000;1.0000;1.0000
mh_cro;1935;1.0000;0.9891;1.0000;1.0000;1.0000
