hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,2,2,0.002731,5e-06,0.997255,6e-06,4e-06,0.0
Hospital_1,1,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,2,5,5,0.0,4e-06,0.0,2e-06,2.3e-05,0.999971
Hospital_1,3,2,2,1.6e-05,1e-06,0.999971,1.1e-05,1e-06,0.0
Hospital_1,4,2,2,0.000134,0.0,0.999843,2.2e-05,1e-06,0.0
Hospital_1,5,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,6,2,2,3.2e-05,0.0,0.999877,8.3e-05,8e-06,0.0
Hospital_1,7,3,3,0.0,0.0,0.0,0.998811,0.001189,0.0
Hospital_1,8,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,9,5,5,0.0,0.0,0.0,0.000163,0.011197,0.98864
Hospital_1,10,5,5,0.0,0.0,0.0,2e-06,2.5e-05,0.999973
Hospital_1,11,0,0,0.996246,1.4e-05,0.001326,0.000184,0.001921,0.00031
Hospital_1,12,2,2,0.000353,0.0,0.999633,1.2e-05,2e-06,0.0
Hospital_1,13,2,2,3.6e-05,2e-06,0.999952,8e-06,0.0,0.0
Hospital_1,14,2,2,1.5e-05,0.0,0.999966,1.9e-05,0.0,0.0
Hospital_1,15,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,16,2,2,5.2e-05,0.0,0.999938,9e-06,0.0,0.0
Hospital_1,17,2,2,1e-06,0.0,0.999874,0.000122,2e-06,0.0
Hospital_1,18,2,2,0.00013,0.0,0.99984,2.9e-05,1e-06,0.0
Hospital_1,19,5,5,0.0,0.0,0.0,2.6e-05,0.007327,0.992647
Hospital_1,20,2,2,0.002416,0.0,0.997566,1.4e-05,4e-06,0.0
Hospital_1,21,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,22,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,23,5,5,0.0,0.0,0.0,8.7e-05,4e-06,0.999909
Hospital_1,24,2,2,5e-06,0.0,0.999966,2.8e-05,1e-06,0.0
Hospital_1,25,2,2,2e-05,0.0,0.999872,0.000104,3e-06,0.0
Hospital_1,26,2,2,0.000794,7e-06,0.999194,3e-06,2e-06,0.0
Hospital_1,27,2,2,4e-06,0.0,0.999971,2.5e-05,0.0,0.0
Hospital_1,28,2,2,5e-05,4e-06,0.999942,3e-06,1e-06,0.0
Hospital_1,29,5,5,0.0,0.0,0.0,1e-06,5e-06,0.999994
Hospital_1,30,2,2,0.001063,0.0,0.99891,2.1e-05,6e-06,0.0
Hospital_1,31,2,2,0.002979,1e-06,0.996997,2e-05,2e-06,0.0
Hospital_1,32,1,1,0.0,0.999993,0.0,0.0,0.0,7e-06
Hospital_1,33,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,34,5,5,0.0,2e-06,0.0,5.3e-05,0.000509,0.999436
Hospital_1,35,2,2,1e-06,0.0,0.999965,3.3e-05,1e-06,0.0
Hospital_1,36,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,37,5,5,0.0,7e-06,0.0,1e-05,1.9e-05,0.999964
Hospital_1,38,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,39,2,2,4.6e-05,0.0,0.999938,1.5e-05,0.0,0.0
Hospital_1,40,5,5,0.0,0.0,0.0,3e-06,0.00021,0.999787
Hospital_1,41,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,42,2,2,0.000118,0.0,0.999867,1.4e-05,1e-06,0.0
Hospital_1,43,5,5,0.0,0.0,0.0,4.3e-05,9e-06,0.999947
Hospital_1,44,2,2,0.00018,0.0,0.999796,2.2e-05,1e-06,0.0
Hospital_1,45,5,5,0.0,0.0,0.0,2e-06,0.009184,0.990814
Hospital_1,46,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,47,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,48,2,2,3.4e-05,0.0,0.999946,1.7e-05,2e-06,0.0
Hospital_1,49,1,1,0.0,0.999791,0.0,0.0,2e-06,0.000207
Hospital_1,50,2,2,3.1e-05,0.0,0.999767,0.000201,1e-06,0.0
Hospital_1,51,2,2,1e-06,0.0,0.999995,4e-06,0.0,0.0
Hospital_1,52,2,2,5e-06,0.0,0.999992,3e-06,0.0,0.0
Hospital_1,53,2,2,1.4e-05,0.0,0.999951,3.3e-05,2e-06,0.0
Hospital_1,54,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,55,2,2,2e-06,0.0,0.999993,5e-06,0.0,0.0
Hospital_1,56,2,2,1.7e-05,0.0,0.999974,8e-06,1e-06,0.0
Hospital_1,57,5,5,0.0,0.0,0.0,2e-06,0.010289,0.989709
Hospital_1,58,2,2,1.2e-05,0.0,0.99998,8e-06,0.0,0.0
Hospital_1,59,2,2,1.2e-05,0.0,0.999942,4.6e-05,1e-06,0.0
Hospital_1,60,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,61,5,5,0.0,0.0,0.0,1e-06,6.4e-05,0.999936
Hospital_1,62,5,5,0.0,0.005567,0.0,2.5e-05,0.001882,0.992525
Hospital_1,63,2,2,7e-06,0.0,0.999968,2.3e-05,1e-06,0.0
Hospital_1,64,2,2,5.4e-05,0.0,0.999918,2.5e-05,3e-06,0.0
Hospital_1,65,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,66,5,5,0.0,0.0,0.0,0.000165,6e-06,0.999829
Hospital_1,67,2,2,7.2e-05,0.0,0.999922,5e-06,1e-06,0.0
Hospital_1,68,2,2,0.000507,2e-06,0.999488,3e-06,0.0,0.0
Hospital_1,69,2,2,2e-06,0.0,0.999969,2.9e-05,0.0,0.0
Hospital_1,70,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,71,2,2,9e-06,0.0,0.999979,1.1e-05,1e-06,0.0
Hospital_1,72,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,73,2,2,2.2e-05,0.0,0.999958,1.8e-05,1e-06,0.0
Hospital_1,74,2,2,4e-06,0.0,0.999992,3e-06,0.0,0.0
Hospital_1,75,5,5,0.0,0.0,0.0,1e-06,0.000427,0.999572
Hospital_1,76,2,2,5e-06,0.0,0.999977,1.8e-05,0.0,0.0
Hospital_1,77,2,2,6e-06,0.0,0.999952,4.1e-05,0.0,0.0
Hospital_1,78,2,2,6.5e-05,0.0,0.999911,2e-05,4e-06,0.0
Hospital_1,79,0,0,0.999964,1e-06,2.4e-05,2e-06,6e-06,2e-06
Hospital_1,80,2,2,2.1e-05,0.0,0.999963,1.5e-05,0.0,0.0
Hospital_1,81,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,82,2,2,8.8e-05,0.0,0.999899,1.2e-05,1e-06,0.0
Hospital_1,83,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,84,2,2,5.5e-05,0.0,0.999939,5e-06,1e-06,0.0
Hospital_1,85,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,86,2,2,2e-05,0.0,0.999967,1.3e-05,0.0,0.0
Hospital_1,87,5,5,0.0,0.0,0.0,0.0,0.0,0.999999
Hospital_1,88,2,2,8e-06,0.0,0.999989,4e-06,0.0,0.0
Hospital_1,89,2,2,2.8e-05,0.0,0.999942,2.5e-05,4e-06,0.0
Hospital_1,90,2,2,5e-06,0.0,0.999987,7e-06,1e-06,0.0
Hospital_1,91,2,2,4.7e-05,0.0,0.999938,1.5e-05,0.0,0.0
Hospital_1,92,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,93,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,94,5,5,0.0,0.0,0.0,1e-06,0.000122,0.999876
Hospital_1,95,2,2,1e-06,0.0,0.999995,3e-06,0.0,0.0
Hospital_1,96,5,5,0.0,0.0,0.0,0.0,1e-06,0.999999
Hospital_1,97,5,5,0.0,2e-06,0.0,3e-06,0.002448,0.997547
Hospital_1,98,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,99,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,100,2,2,3e-06,0.0,0.999902,9.5e-05,0.0,0.0
Hospital_1,101,2,2,0.000235,7e-06,0.999757,1e-06,0.0,0.0
Hospital_1,102,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,103,2,2,9e-05,0.0,0.999895,1.4e-05,1e-06,0.0
Hospital_1,104,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,105,2,2,0.00068,1e-06,0.999315,5e-06,0.0,0.0
Hospital_1,106,2,2,1e-06,0.0,0.999944,5.5e-05,0.0,0.0
Hospital_1,107,2,2,6e-06,0.0,0.999985,7e-06,1e-06,0.0
Hospital_1,108,3,3,0.0,0.0,0.0,0.986898,0.013102,0.0
Hospital_1,109,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,110,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,111,2,2,0.000285,0.0,0.999692,2e-05,2e-06,0.0
Hospital_1,112,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,113,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,114,2,2,6e-06,0.0,0.99997,2.3e-05,0.0,0.0
Hospital_1,115,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,116,2,2,5e-06,0.0,0.99994,5.3e-05,2e-06,0.0
Hospital_1,117,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,118,5,5,0.0,0.0,0.0,5e-06,5e-06,0.999991
Hospital_1,119,1,1,0.0,0.991484,0.0,1e-06,5.8e-05,0.008457
Hospital_1,120,0,0,0.997523,0.00119,0.001254,1.6e-05,1.1e-05,5e-06
Hospital_1,121,2,2,0.00013,0.0,0.999857,1.3e-05,0.0,0.0
Hospital_1,122,0,0,0.991397,0.00758,0.000988,1.2e-05,1.5e-05,9e-06
Hospital_1,123,2,2,3.7e-05,0.0,0.999909,5.1e-05,3e-06,0.0
Hospital_1,124,2,2,6.1e-05,0.0,0.999916,2.3e-05,1e-06,0.0
Hospital_1,125,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,126,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,127,2,2,0.00011,1e-06,0.999869,1.9e-05,2e-06,0.0
Hospital_1,128,5,5,0.0,0.0,0.0,0.0,1.4e-05,0.999985
Hospital_1,129,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,130,3,3,0.0,0.0,0.0,0.975046,0.024954,0.0
Hospital_1,131,2,2,4.3e-05,0.0,0.99992,3.6e-05,0.0,0.0
Hospital_1,132,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,133,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,134,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,135,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,136,2,2,4.7e-05,0.0,0.999913,3.5e-05,6e-06,0.0
Hospital_1,137,2,2,9.1e-05,0.0,0.999886,1.8e-05,4e-06,0.0
Hospital_1,138,2,2,0.002093,1e-06,0.997903,3e-06,0.0,0.0
Hospital_1,139,2,2,2e-06,0.0,0.999842,0.000156,0.0,0.0
Hospital_1,140,2,2,0.0019,4e-06,0.998088,5e-06,3e-06,0.0
Hospital_1,141,2,2,0.000179,0.0,0.999813,6e-06,1e-06,0.0
Hospital_1,142,2,2,0.000478,0.0,0.999509,1.1e-05,1e-06,0.0
