hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,2,2,0.004226,5e-06,0.995645,0.000111,1.3e-05,1e-06
Hospital_1,1,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,2,2,2,0.00131,2e-06,0.998567,0.00011,1e-05,0.0
Hospital_1,3,2,2,0.001559,9e-06,0.998382,4.5e-05,4e-06,0.0
Hospital_1,4,2,2,0.000342,4e-06,0.99964,1.4e-05,1e-06,0.0
Hospital_1,5,2,2,0.000528,0.0,0.99913,0.000332,1e-05,0.0
Hospital_1,6,2,2,0.000762,1e-06,0.999047,0.000182,8e-06,0.0
Hospital_1,7,5,5,1e-06,2e-05,0.0,2.5e-05,0.000469,0.999485
Hospital_1,8,5,5,3e-06,9e-06,0.0,5e-06,6.1e-05,0.999922
Hospital_1,9,3,3,0.0,0.0,1e-06,0.999999,0.0,0.0
Hospital_1,10,2,2,0.000238,2e-06,0.999646,0.00011,3e-06,0.0
Hospital_1,11,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,12,2,2,0.001112,1e-06,0.998212,0.000604,6.9e-05,2e-06
Hospital_1,13,2,2,0.000355,1e-06,0.999494,0.000147,4e-06,0.0
Hospital_1,14,2,2,0.000784,1e-06,0.99906,0.000151,3e-06,0.0
Hospital_1,15,2,2,0.000334,1e-06,0.999583,7.7e-05,5e-06,0.0
Hospital_1,16,2,2,0.000298,1e-06,0.999616,8.2e-05,3e-06,0.0
Hospital_1,17,3,3,0.0,0.0,1e-06,0.999999,0.0,0.0
Hospital_1,18,2,2,0.000461,1e-06,0.999249,0.000251,3.7e-05,1e-06
Hospital_1,19,2,2,0.00018,1e-06,0.99972,9.8e-05,1e-06,0.0
Hospital_1,20,2,2,0.000651,2e-06,0.999272,6.9e-05,6e-06,0.0
Hospital_1,21,2,2,0.00053,0.0,0.999257,0.000207,6e-06,0.0
Hospital_1,22,5,5,6.2e-05,6e-06,0.0,7e-06,0.003181,0.996744
Hospital_1,23,2,2,0.003808,3e-06,0.996009,0.000151,2.7e-05,2e-06
Hospital_1,24,5,5,1.5e-05,8e-06,0.0,3e-06,0.000301,0.999672
Hospital_1,25,2,2,9.1e-05,1e-06,0.998975,0.000931,3e-06,0.0
Hospital_1,26,3,3,0.0,0.0,0.0,0.999999,1e-06,0.0
Hospital_1,27,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,28,2,2,0.000402,2e-06,0.999549,4.6e-05,2e-06,0.0
Hospital_1,29,2,2,0.002466,2e-06,0.997346,0.000172,1.3e-05,1e-06
Hospital_1,30,2,2,0.002329,4e-06,0.997621,4.4e-05,3e-06,0.0
Hospital_1,31,5,5,4.3e-05,0.022563,2.6e-05,0.00017,0.002471,0.974726
Hospital_1,32,5,5,6.3e-05,0.019697,2.8e-05,0.000204,0.00368,0.976329
Hospital_1,33,2,2,0.00066,2e-06,0.999246,8.8e-05,4e-06,0.0
Hospital_1,34,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,35,5,5,0.0,6e-06,0.0,5e-06,1.2e-05,0.999977
Hospital_1,36,2,2,0.00284,4e-06,0.997052,9.3e-05,1e-05,0.0
Hospital_1,37,2,2,0.000197,1e-06,0.99955,0.000249,3e-06,0.0
Hospital_1,38,5,5,1.3e-05,0.0,0.0,2e-06,0.001383,0.998602
Hospital_1,39,2,2,0.008224,1.1e-05,0.991701,6.1e-05,4e-06,0.0
Hospital_1,40,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,41,2,2,0.000728,2e-06,0.999117,0.000144,1e-05,0.0
Hospital_1,42,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,43,2,2,0.001228,1e-06,0.997963,0.000716,8.9e-05,3e-06
Hospital_1,44,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,45,2,2,0.007649,1.2e-05,0.992265,6.1e-05,1.3e-05,1e-06
Hospital_1,46,5,5,1e-05,4e-06,0.0,4e-06,0.006366,0.993615
Hospital_1,47,2,2,0.000877,1e-06,0.998834,0.000281,8e-06,0.0
