ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.05087541363068989,0.9839307787391842,0.3758564591407776,0.9371069182389937,809,159,113
1,Hospital_2,0.04635394618592479,0.9811746987951807,0.8008419573307037,0.732824427480916,1328,262,184
1,Hospital_3,NA,NA,0.4649699181318283,0.9389671361502347,NA,213,149
1,Hospital_4,1.0761802991231282,0.7082152974504249,0.35157498717308044,0.927536231884058,353,69,52
1,Hospital_5,NA,NA,1.1177015006542206,0.3333333333333333,NA,168,117
2,Hospital_1,0.03824658851538386,0.9888751545117429,0.17696048505604267,0.9371069182389937,809,159,113
2,Hospital_2,NA,NA,1.3021195928255718,0.7290076335877863,NA,262,184
2,Hospital_3,0.02335201058950689,0.9906976744186047,0.25294606387615204,0.9389671361502347,1075,213,149
2,Hospital_4,0.03367556010683378,0.9943342776203966,0.2351439893245697,0.927536231884058,353,69,52
2,Hospital_5,NA,NA,1.4202838838100433,0.3333333333333333,NA,168,117
3,Hospital_1,0.026829523433532034,0.9864029666254636,0.11479246243834496,0.9622641509433962,809,159,113
3,Hospital_2,NA,NA,0.26071447630723316,0.8587786259541985,NA,262,184
3,Hospital_3,NA,NA,0.06082434579730034,0.9906103286384976,NA,213,149
3,Hospital_4,0.01637924835085869,0.9971671388101983,0.172972172498703,0.9710144927536232,353,69,52
3,Hospital_5,0.04195597980703626,0.9893742621015348,0.42915911972522736,0.8690476190476191,847,168,117
4,Hospital_1,NA,NA,0.0412273146212101,0.9937106918238994,NA,159,113
4,Hospital_2,0.03264412664892999,0.9879518072289156,2.0854950174689293,0.8549618320610687,1328,262,184
4,Hospital_3,NA,NA,0.06379021517932415,0.9906103286384976,NA,213,149
4,Hospital_4,0.017306384009619553,0.9971671388101983,0.2723679542541504,0.9130434782608695,353,69,52
4,Hospital_5,0.040010208530085425,0.9893742621015348,0.8229222893714905,0.8988095238095238,847,168,117
5,Hospital_1,NA,NA,0.12046976294368505,0.9811320754716981,NA,159,113
5,Hospital_2,0.017448256723582745,0.9939759036144579,0.07490013415614764,0.9809160305343512,1328,262,184
5,Hospital_3,0.009436091537483864,0.998139534883721,0.05457088956609368,0.9906103286384976,1075,213,149
5,Hospital_4,NA,NA,0.193134605884552,0.9420289855072463,NA,69,52
5,Hospital_5,0.029390957738671983,0.9905548996458088,0.2594401463866234,0.9583333333333334,847,168,117
6,Hospital_1,0.006848091858306101,1.0,0.025962061248719692,0.9937106918238994,809,159,113
6,Hospital_2,0.0121674264929342,0.9954819277108434,0.03913426740715901,0.9847328244274809,1328,262,184
6,Hospital_3,NA,NA,0.025477191898971796,0.9906103286384976,NA,213,149
6,Hospital_4,NA,NA,0.10548526793718338,0.9710144927536232,NA,69,52
6,Hospital_5,0.05253281903320125,0.9775678866587958,0.1058888677507639,0.9761904761904762,847,168,117
7,Hospital_1,0.0033391104079782963,1.0,0.17263904958963394,0.9748427672955975,809,159,113
7,Hospital_2,0.03939338841221549,0.9849397590361446,0.12618961681922278,0.9732824427480916,1328,262,184
7,Hospital_3,NA,NA,0.24797457456588745,0.9812206572769953,NA,213,149
7,Hospital_4,NA,NA,0.1172592043876648,0.9855072463768116,NA,69,52
7,Hospital_5,0.016125959809869528,0.9964580873671782,0.23283490538597107,0.9642857142857143,847,168,117
8,Hospital_1,0.05079938291705081,0.9826946847960445,0.050300381146371365,0.9748427672955975,809,159,113
8,Hospital_2,NA,NA,0.25007857630650204,0.9732824427480916,NA,262,184
8,Hospital_3,0.01566473707660205,0.9953488372093023,0.114136703312397,0.9577464788732394,1075,213,149
8,Hospital_4,0.012207258027046919,0.9971671388101983,0.06883293390274048,0.9855072463768116,353,69,52
8,Hospital_5,NA,NA,0.5365673005580902,0.7321428571428571,NA,168,117
9,Hospital_1,NA,NA,0.23165380209684372,0.9622641509433962,NA,159,113
9,Hospital_2,0.013988453916020015,0.9947289156626506,0.08138775002832215,0.9732824427480916,1328,262,184
9,Hospital_3,NA,NA,0.23653661459684372,0.9859154929577465,NA,213,149
9,Hospital_4,0.007957719576855501,0.9971671388101983,0.19685421884059906,0.9420289855072463,353,69,52
9,Hospital_5,0.04783774220517704,0.9846517119244392,0.2750157117843628,0.9345238095238095,847,168,117
10,Hospital_1,0.00817294403012576,0.9987639060568603,0.008651203999761492,0.9937106918238994,809,159,113
10,Hospital_2,NA,NA,0.05784431782861551,0.9809160305343512,NA,262,184
10,Hospital_3,0.007370642696817716,0.9990697674418605,0.010624473448842764,0.9953051643192489,1075,213,149
10,Hospital_4,NA,NA,0.08647236973047256,0.9855072463768116,NA,69,52
10,Hospital_5,0.018323412165045738,0.9917355371900827,0.10281756520271301,0.9642857142857143,847,168,117
11,Hospital_1,NA,NA,0.02273442130535841,1.0,NA,159,113
11,Hospital_2,0.014490544351495126,0.9962349397590361,0.020205317065119743,0.9885496183206107,1328,262,184
