hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,2,2,8e-06,0.0,0.999991,2e-06,0.0,0.0
Hospital_1,1,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,2,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,3,5,5,0.0,0.0,0.0,0.0,1e-05,0.99999
Hospital_1,4,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,5,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,6,5,5,0.0,0.0,0.0,1.6e-05,2e-06,0.999982
Hospital_1,7,5,5,0.0,6e-06,0.0,1e-06,0.0049,0.995094
Hospital_1,8,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,9,2,2,0.000163,0.0,0.999766,3.2e-05,3.9e-05,0.0
Hospital_1,10,2,2,2.1e-05,0.0,0.999976,2e-06,1e-06,0.0
Hospital_1,11,2,2,0.000213,0.0,0.999773,1.3e-05,1e-06,0.0
Hospital_1,12,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,13,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,14,2,2,4.5e-05,0.0,0.999933,2.2e-05,1e-06,0.0
Hospital_1,15,5,5,0.0,0.003514,0.0,6e-06,0.000629,0.99585
Hospital_1,16,2,2,0.001245,0.0,0.998705,1e-05,4e-05,0.0
Hospital_1,17,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,18,2,2,0.000168,0.0,0.999822,9e-06,1e-06,0.0
Hospital_1,19,2,2,0.0,0.0,0.999998,2e-06,0.0,0.0
Hospital_1,20,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,21,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,22,2,2,9e-06,0.0,0.999988,3e-06,0.0,0.0
Hospital_1,23,2,2,7.9e-05,0.0,0.999907,3e-06,1e-05,0.0
Hospital_1,24,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,25,0,0,0.999883,0.0,0.000104,1.1e-05,1e-06,0.0
Hospital_1,26,2,2,0.000233,0.0,0.999761,5e-06,0.0,0.0
Hospital_1,27,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,28,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,29,0,0,0.999868,4e-06,8.4e-05,1.2e-05,2.1e-05,1.1e-05
Hospital_1,30,2,2,8.2e-05,0.0,0.999916,2e-06,0.0,0.0
Hospital_1,31,2,2,5e-06,0.0,0.999987,8e-06,0.0,0.0
Hospital_1,32,5,5,0.0,0.0,0.0,0.0,0.0,1.0
Hospital_1,33,2,2,3.4e-05,0.0,0.99994,2.5e-05,1e-06,0.0
Hospital_1,34,5,5,0.0,0.0,0.0,0.0,1e-06,0.999998
Hospital_1,35,2,2,1.2e-05,0.0,0.999986,2e-06,0.0,0.0
Hospital_1,36,2,2,0.000369,0.0,0.999627,2e-06,2e-06,0.0
Hospital_1,37,2,2,2e-06,0.0,0.999988,9e-06,0.0,0.0
Hospital_1,38,5,5,0.0,0.0,0.0,6e-06,8e-06,0.999986
Hospital_1,39,2,2,2.7e-05,0.0,0.999971,1e-06,0.0,0.0
Hospital_1,40,5,5,0.0,0.0,0.0,0.0,2.3e-05,0.999977
Hospital_1,41,5,5,0.0,0.0,0.0,0.0,0.00025,0.999749
Hospital_1,42,2,2,9.1e-05,0.0,0.999907,3e-06,0.0,0.0
Hospital_1,43,2,2,2e-06,0.0,0.999994,4e-06,0.0,0.0
Hospital_1,44,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,45,2,2,6e-06,0.0,0.999993,0.0,1e-06,0.0
Hospital_1,46,5,5,0.0,0.0,0.0,3e-06,1.7e-05,0.99998
Hospital_1,47,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,48,2,2,2.4e-05,0.0,0.999974,2e-06,0.0,0.0
Hospital_1,49,2,2,9e-06,0.0,0.999989,3e-06,0.0,0.0
Hospital_1,50,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,51,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,52,2,2,0.0,0.0,0.999993,6e-06,0.0,0.0
Hospital_1,53,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,54,5,5,0.0,0.001282,0.0,6e-06,0.000986,0.997727
Hospital_1,55,2,2,0.0,0.0,0.999997,2e-06,0.0,0.0
Hospital_1,56,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,57,2,2,3.9e-05,0.0,0.999959,1e-06,0.0,0.0
Hospital_1,58,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,59,2,2,0.0,0.0,0.999991,9e-06,0.0,0.0
Hospital_1,60,2,2,1e-06,0.0,0.999998,1e-06,0.0,0.0
Hospital_1,61,2,2,3e-06,0.0,0.999991,5e-06,0.0,0.0
Hospital_1,62,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,63,2,2,2e-06,0.0,0.999998,0.0,0.0,0.0
Hospital_1,64,2,2,0.000582,0.0,0.99939,2.6e-05,2e-06,0.0
Hospital_1,65,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,66,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,67,5,5,0.0,0.0,0.0,2e-06,1e-06,0.999996
Hospital_1,68,2,2,7e-06,0.0,0.999992,1e-06,0.0,0.0
Hospital_1,69,2,2,1.5e-05,0.0,0.999983,2e-06,0.0,0.0
Hospital_1,70,5,5,0.0,0.0,0.0,1e-06,0.0,1.0
Hospital_1,71,1,1,0.0,1.0,0.0,0.0,0.0,0.0
Hospital_1,72,2,2,0.000157,0.0,0.999842,1e-06,0.0,0.0
