ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,NA,NA,0.3109494298696518,0.9308176100628931,NA,159,113
1,Hospital_2,0.13354350829666312,0.9623493975903614,0.38822605709234875,0.8473282442748091,1328,262,184
1,Hospital_3,0.02861533614082469,0.9897674418604652,0.2583717778325081,0.9248826291079812,1075,213,149
1,Hospital_4,0.11722702284653981,0.9631728045325779,0.3138837516307831,0.9565217391304348,353,69,52
1,Hospital_5,NA,NA,1.065853238105774,0.3869047619047619,NA,168,117
2,Hospital_1,0.031155477677072798,0.9888751545117429,0.5721419304609299,0.5660377358490566,809,159,113
2,Hospital_2,0.19454963369802994,0.9721385542168675,0.5491878986358643,0.8664122137404581,1328,262,184
2,Hospital_3,0.01599030889984634,0.9944186046511628,0.7611276209354401,0.5211267605633803,1075,213,149
2,Hospital_4,NA,NA,0.44322332739830017,0.782608695652174,NA,69,52
2,Hospital_5,NA,NA,0.5562235116958618,0.8333333333333334,NA,168,117
3,Hospital_1,0.026960028867636408,0.9888751545117429,0.0859173801727593,0.9433962264150944,809,159,113
3,Hospital_2,NA,NA,0.27383535106976825,0.9236641221374046,NA,262,184
3,Hospital_3,NA,NA,0.1451217271387577,0.9342723004694836,NA,213,149
3,Hospital_4,0.020272485290964443,0.9943342776203966,0.06220924109220505,0.9855072463768116,353,69,52
3,Hospital_5,0.04577022657862732,0.9881936245572609,0.9180241972208023,0.47619047619047616,847,168,117
4,Hospital_1,NA,NA,0.11344286054372787,0.9811320754716981,NA,159,113
4,Hospital_2,0.016111232827163556,0.9954819277108434,0.042323924135416746,0.9732824427480916,1328,262,184
4,Hospital_3,NA,NA,0.06461667735129595,0.9859154929577465,NA,213,149
4,Hospital_4,0.013358944250891605,0.9971671388101983,0.16184590756893158,0.927536231884058,353,69,52
4,Hospital_5,0.025896749725299224,0.9917355371900827,0.170861741527915,0.9761904761904762,847,168,117
5,Hospital_1,0.009497237425031406,0.9987639060568603,0.0632774019613862,1.0,809,159,113
5,Hospital_2,0.15375331704589454,0.9676204819277109,1.017678253352642,0.8625954198473282,1328,262,184
5,Hospital_3,NA,NA,0.06323548965156078,0.9906103286384976,NA,213,149
5,Hospital_4,NA,NA,0.23606455326080322,0.9130434782608695,NA,69,52
5,Hospital_5,0.11147806540663753,0.9681227863046045,0.439298577606678,0.9166666666666666,847,168,117
6,Hospital_1,NA,NA,0.023698353674262762,0.9937106918238994,NA,159,113
6,Hospital_2,NA,NA,0.07100223004817963,0.9770992366412213,NA,262,184
6,Hospital_3,0.00722799495431698,0.9990697674418605,0.020678180269896984,0.9859154929577465,1075,213,149
6,Hospital_4,0.013512850273400545,0.9971671388101983,0.06551632285118103,0.9855072463768116,353,69,52
6,Hospital_5,0.0200737863779068,0.9940968122786304,0.16224615275859833,0.9226190476190477,847,168,117
7,Hospital_1,NA,NA,0.0266397837549448,0.9937106918238994,NA,159,113
7,Hospital_2,0.009522363532927226,0.9984939759036144,0.013400484264517823,0.9923664122137404,1328,262,184
7,Hospital_3,0.004218721594144072,0.9990697674418605,0.025530715938657522,0.9953051643192489,1075,213,149
7,Hospital_4,NA,NA,0.07082763314247131,0.9855072463768116,NA,69,52
7,Hospital_5,0.016345669382384846,0.9976387249114522,0.08386060874909163,0.9880952380952381,847,168,117
8,Hospital_1,0.0029098605238167302,1.0,0.014866398647427559,0.9937106918238994,809,159,113
