hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,2,2,2e-06,0.0,0.999996,3e-06,0.0,0.0
Hospital_1,1,2,2,9.3e-05,0.0,0.999902,5e-06,0.0,0.0
Hospital_1,2,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,3,2,2,0.002939,0.0,0.997055,2e-06,3e-06,0.0
Hospital_1,4,3,3,0.0,0.0,1e-06,0.995243,0.004756,0.0
Hospital_1,5,2,2,0.000563,0.0,0.999426,9e-06,2e-06,0.0
Hospital_1,6,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,7,2,2,0.003423,0.0,0.996561,1.1e-05,6e-06,0.0
Hospital_1,8,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,9,2,2,3.9e-05,0.0,0.999954,6e-06,0.0,0.0
Hospital_1,10,5,5,3e-06,2.1e-05,1e-06,3.2e-05,3e-06,0.999939
Hospital_1,11,2,2,8.6e-05,0.0,0.999905,9e-06,1e-06,0.0
Hospital_1,12,2,2,0.000877,0.0,0.999117,5e-06,1e-06,0.0
Hospital_1,13,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,14,1,1,3.8e-05,0.761585,1e-05,0.000452,0.002346,0.23557
Hospital_1,15,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,16,2,2,0.001345,0.0,0.998626,2.5e-05,4e-06,1e-06
Hospital_1,17,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,18,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,19,2,2,0.000595,0.0,0.999381,2.1e-05,3e-06,0.0
Hospital_1,20,2,2,0.000871,0.0,0.999125,2e-06,2e-06,0.0
Hospital_1,21,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,22,5,5,1.5e-05,1.8e-05,0.0,2.3e-05,0.002673,0.997271
Hospital_1,23,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,24,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,25,2,2,8e-06,0.0,0.999986,6e-06,0.0,0.0
Hospital_1,26,2,2,0.000173,0.0,0.999822,4e-06,1e-06,0.0
Hospital_1,27,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,28,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,29,2,2,0.000196,0.0,0.999801,2e-06,0.0,0.0
Hospital_1,30,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,31,2,2,2.8e-05,0.0,0.999964,7e-06,1e-06,0.0
Hospital_1,32,2,2,2.1e-05,0.0,0.999974,5e-06,0.0,0.0
Hospital_1,33,2,2,0.000225,0.0,0.999757,1.7e-05,1e-06,0.0
Hospital_1,34,2,2,8e-06,0.0,0.999987,5e-06,0.0,0.0
Hospital_1,35,2,2,5.5e-05,0.0,0.99994,4e-06,1e-06,0.0
Hospital_1,36,2,2,0.001458,0.0,0.998538,1e-06,2e-06,0.0
Hospital_1,37,2,2,4.4e-05,0.0,0.999946,9e-06,0.0,0.0
Hospital_1,38,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,39,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,40,2,2,3.9e-05,0.0,0.999958,3e-06,0.0,0.0
Hospital_1,41,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,42,1,1,6e-06,0.999978,0.0,0.0,2e-06,1.4e-05
Hospital_1,43,2,2,0.003454,0.0,0.99654,3e-06,2e-06,0.0
Hospital_1,44,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,45,5,5,0.0,0.0,0.0,6e-06,1.2e-05,0.999981
Hospital_1,46,2,2,0.000437,0.0,0.999555,7e-06,1e-06,0.0
Hospital_1,47,1,1,9e-06,0.999981,0.0,0.0,1e-06,9e-06
Hospital_1,48,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,49,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,50,2,2,0.000571,0.0,0.999415,1.1e-05,2e-06,0.0
Hospital_1,51,2,2,0.000188,0.0,0.999809,3e-06,0.0,0.0
Hospital_1,52,2,2,0.000557,0.0,0.999437,4e-06,2e-06,0.0
Hospital_1,53,3,3,0.0,0.0,1e-06,0.999988,1.1e-05,0.0
Hospital_1,54,0,0,0.99957,5.9e-05,0.000344,0.0,5e-06,2.2e-05
Hospital_1,55,2,2,0.000311,0.0,0.999675,1.3e-05,1e-06,0.0
Hospital_1,56,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,57,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,58,2,2,0.000181,0.0,0.999801,1.7e-05,1e-06,0.0
Hospital_1,59,0,0,0.999129,0.0,0.000843,1e-05,1.5e-05,3e-06
Hospital_1,60,2,2,0.00043,0.0,0.999561,7e-06,2e-06,0.0
Hospital_1,61,2,2,1.3e-05,0.0,0.999976,1.1e-05,0.0,0.0
Hospital_1,62,1,1,1e-06,0.999992,0.0,0.0,1e-06,6e-06
Hospital_1,63,2,2,4.4e-05,0.0,0.999953,3e-06,0.0,0.0
Hospital_1,64,2,2,0.000132,0.0,0.999866,1e-06,0.0,0.0
Hospital_1,65,2,2,0.000248,0.0,0.999734,1.6e-05,2e-06,0.0
Hospital_1,66,3,3,0.0,0.0,0.0,1.0,0.0,0.0
