ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,59.72,0.01
2,60.1,0.01
3,64.09,0.01
4,72.03,0.01
5,60.79,0.01
6,59.69,0.01
7,68.27,0.01
8,62.33,0.01
9,67.92,0.01
10,64.71,0.01
11,73.41,0.01
12,62.9,0.01
13,67.6,0.01
14,62.18,0.01
15,70.11,0.01
16,69.39,0.01
17,68.92,0.01
18,64.32,0.01
19,61.78,0.01
20,64.17,0.01
21,70.25,0.01
22,65.2,0.02
23,65.5,0.01
24,65.37,0.01
25,68.2,0.01
26,70.78,0.01
27,66.24,0.01
28,71.49,0.01
29,66.37,0.01
30,73.02,0.01
31,59.73,0.01
32,62.35,0.01
33,64.13,0.01
TOTAL,2206.71,0.34
