ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.058272884892565865,0.9826946847960445,1.272976577281952,0.5031446540880503,809,159,113
1,Hospital_2,0.07551016032018444,0.9781626506024096,1.2308135827382405,0.9198473282442748,1328,262,184
1,Hospital_3,NA,NA,1.3175601959228516,0.45539906103286387,NA,213,149
1,Hospital_4,NA,NA,1.195523738861084,0.7681159420289855,NA,69,52
1,Hospital_5,1.3617430797645025,0.6599763872491146,1.2020634412765503,0.8511904761904762,847,168,117
1,Hospital_6,NA,NA,1.3281777302424114,0.6426426426426426,NA,333,228
1,Hospital_7,NA,NA,1.230270544687907,0.47547169811320755,NA,265,183
1,Hospital_8,0.9392377138137817,0.4728682170542636,1.2121490240097046,0.7391304347826086,129,23,22
1,Hospital_9,0.31797219067811966,0.9149797570850202,1.1979039907455444,0.8020833333333334,494,96,69
1,Hospital_10,0.24130259081721306,0.9238683127572016,1.1883587837219238,0.8854166666666666,486,96,70
1,Hospital_11,NA,NA,1.2220598459243774,0.9045226130653267,NA,199,139
1,Hospital_12,NA,NA,1.3042247295379639,0.53125,NA,32,28
1,Hospital_13,NA,NA,1.2989102602005005,0.36585365853658536,NA,82,60
1,Hospital_14,NA,NA,1.1981804966926575,0.7105263157894737,NA,152,107
1,Hospital_15,0.038320595040344275,0.9923518164435946,1.2544948657353718,0.9903536977491961,1569,311,215
1,Hospital_16,0.07761523127555847,0.9730337078651685,1.2199385563532512,0.8867924528301887,1335,265,184
1,Hospital_17,0.5936369597911835,0.6600660066006601,1.2822126150131226,0.7241379310344828,303,58,46
1,Hospital_18,NA,NA,1.2474696636199951,0.7175925925925926,NA,216,150
1,Hospital_19,0.11990210733243398,0.963953488372093,1.1696354150772095,0.8529411764705882,860,170,121
1,Hospital_20,0.15863422602415084,0.9584905660377359,1.180100679397583,0.9519230769230769,530,104,77
1,Hospital_21,0.05449299721254243,0.9807186678352322,1.3389765620231628,0.3392070484581498,1141,227,158
1,Hospital_22,0.39399169385433197,0.8686131386861314,1.2550151348114014,0.88,137,25,24
1,Hospital_23,NA,NA,1.255952525138855,0.9446308724832215,NA,596,404
1,Hospital_24,0.046231099776923655,0.9880763116057234,1.2634448409080505,0.8548387096774194,1258,248,174
1,Hospital_25,NA,NA,1.2837398052215576,0.7550200803212851,NA,249,174
1,Hospital_26,0.07676213157052796,0.9795121951219512,1.1982741951942444,0.8970588235294118,1025,204,141
1,Hospital_27,0.3313538134098053,0.8181818181818182,1.3425323963165283,0.7058823529411765,88,17,15
1,Hospital_28,NA,NA,1.2885259985923767,0.8144329896907216,NA,194,135
1,Hospital_29,0.07149323006160557,0.9914893617021276,1.2673836946487427,0.946236559139785,470,93,66
1,Hospital_30,NA,NA,1.2834892272949219,0.7857142857142857,NA,42,34
1,Hospital_31,0.06596496390799682,0.9693877551020408,1.1495018601417542,0.9264705882352942,686,136,96
1,Hospital_32,NA,NA,1.2210930585861206,0.7894736842105263,NA,171,120
1,Hospital_33,0.061919082701206204,0.9872495446265938,1.259337306022644,0.9166666666666666,549,108,78
1,Hospital_34,NA,NA,1.3536911606788635,0.20080321285140562,NA,249,173
