ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,60.52,0.02
2,61.16,0.01
3,51.81,0.01
4,55.19,0.01
5,60.77,0.01
6,55.17,0.01
7,47.26,0.01
8,53.59,0.01
9,64.9,0.01
10,66.29,0.01
11,51.85,0.01
12,51.01,0.01
13,56.01,0.01
14,51.34,0.01
15,56.83,0.01
16,58.46,0.01
17,56.38,0.01
18,52.23,0.01
19,66.51,0.01
20,55.6,0.01
21,52.68,0.01
22,51.17,0.01
23,63.31,0.01
24,62.19,0.01
25,55.01,0.01
26,56.04,0.01
27,58.82,0.01
28,53.08,0.01
29,56.17,0.01
30,58.62,0.01
31,62.87,0.01
32,51.5,0.01
33,59.33,0.02
34,52.09,0.02
TOTAL,1957.17,0.37
