ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,531.39,0.01
2,591.71,0.0
3,552.04,0.0
4,424.19,0.0
5,453.99,0.0
6,433.74,0.0
7,433.91,0.0
8,496.84,0.0
9,484.16,0.0
10,442.27,0.0
11,473.3,0.0
12,467.01,0.0
13,383.57,0.0
14,344.8,0.0
15,367.78,0.0
16,358.15,0.0
17,377.34,0.0
18,366.15,0.0
19,367.93,0.0
20,395.9,0.0
21,380.94,0.0
22,414.16,0.0
23,362.94,0.0
24,349.69,0.0
25,321.98,0.0
26,395.14,0.0
27,376.33,0.0
28,391.99,0.0
29,401.25,0.0
30,342.82,0.0
31,337.02,0.0
32,358.06,0.0
33,376.9,0.0
34,399.61,0.0
35,317.66,0.0
36,362.79,0.0
TOTAL,14668.55,0.01
