hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,2,2,4e-05,0.0,0.999952,1e-06,7e-06,0.0
Hospital_1,1,2,2,0.000228,0.0,0.999764,3e-06,5e-06,0.0
Hospital_1,2,3,3,0.0,0.0,0.0,0.999997,3e-06,0.0
Hospital_1,3,5,5,0.000195,0.00018,0.0,7.5e-05,0.007858,0.991692
Hospital_1,4,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,5,2,2,0.000138,0.0,0.99985,5e-06,7e-06,0.0
Hospital_1,6,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,7,2,2,2.9e-05,0.0,0.999968,1e-06,3e-06,0.0
Hospital_1,8,2,2,0.000109,0.0,0.999887,1e-06,3e-06,0.0
Hospital_1,9,2,2,4e-06,0.0,0.999988,4e-06,3e-06,0.0
Hospital_1,10,2,2,1.9e-05,0.0,0.999978,1e-06,2e-06,0.0
Hospital_1,11,5,5,5e-06,0.034694,0.0,3.7e-05,0.002291,0.962972
Hospital_1,12,2,2,1.6e-05,0.0,0.999984,0.0,1e-06,0.0
Hospital_1,13,2,2,6.2e-05,0.0,0.999936,0.0,3e-06,0.0
Hospital_1,14,2,2,0.000219,0.0,0.99977,1e-06,1e-05,0.0
Hospital_1,15,2,2,3.9e-05,0.0,0.999954,1e-06,6e-06,0.0
Hospital_1,16,2,2,0.000573,0.0,0.999403,4e-06,1.9e-05,0.0
Hospital_1,17,2,2,0.0001,0.0,0.999886,1e-06,1.2e-05,0.0
Hospital_1,18,2,2,0.000199,0.0,0.999797,0.0,4e-06,0.0
Hospital_1,19,3,3,0.0,0.0,0.0,0.999998,1e-06,0.0
Hospital_1,20,5,5,3e-06,0.0,0.0,0.0,3e-05,0.999966
Hospital_1,21,2,2,0.000147,0.0,0.999841,0.0,1.2e-05,0.0
Hospital_1,22,3,3,0.0,0.0,0.0,0.999982,1.8e-05,0.0
Hospital_1,23,3,3,0.0,0.0,0.0,0.926123,0.073877,0.0
Hospital_1,24,2,2,0.000101,0.0,0.999892,2e-06,5e-06,0.0
Hospital_1,25,5,5,4e-06,0.02861,0.0,4.3e-05,0.002588,0.968755
Hospital_1,26,2,2,0.001152,0.0,0.998837,1e-06,9e-06,0.0
Hospital_1,27,3,3,0.0,0.0,0.0,0.999995,5e-06,0.0
Hospital_1,28,2,2,6.3e-05,0.0,0.999931,2e-06,4e-06,0.0
Hospital_1,29,2,2,0.000235,0.0,0.999752,2e-06,1.2e-05,0.0
Hospital_1,30,2,2,3.7e-05,0.0,0.999902,7e-06,5.4e-05,0.0
Hospital_1,31,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,32,2,2,0.000136,0.0,0.999803,4e-06,5.7e-05,0.0
Hospital_1,33,3,3,0.0,0.0,0.0,0.999988,1.2e-05,0.0
Hospital_1,34,3,3,0.0,0.0,0.0,0.999983,1.7e-05,0.0
Hospital_1,35,2,2,0.001493,0.0,0.998477,6e-06,2.4e-05,0.0
Hospital_1,36,2,2,0.00414,0.0,0.995754,8e-06,9.8e-05,0.0
Hospital_1,37,2,2,0.000175,0.0,0.99982,0.0,5e-06,0.0
Hospital_1,38,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,39,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,40,2,2,0.000432,0.0,0.999557,0.0,1e-05,0.0
Hospital_1,41,1,1,2e-06,0.999921,0.0,0.0,2e-06,7.4e-05
Hospital_1,42,2,2,9e-06,0.0,0.999964,1.1e-05,1.7e-05,0.0
Hospital_1,43,2,2,0.001613,0.0,0.998367,5e-06,1.5e-05,0.0
Hospital_1,44,2,2,0.00068,0.0,0.999302,3e-06,1.5e-05,0.0
Hospital_1,45,2,2,0.000288,0.0,0.999708,1e-06,4e-06,0.0
Hospital_1,46,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,47,2,2,0.000337,0.0,0.999658,0.0,4e-06,0.0
Hospital_1,48,2,2,6.1e-05,0.0,0.99993,3e-06,6e-06,0.0
Hospital_1,49,1,1,0.0,0.999973,0.0,0.0,1e-06,2.6e-05
Hospital_1,50,5,5,0.0,0.0,4e-06,4e-06,0.0,0.999991
Hospital_1,51,5,5,4e-06,0.015457,0.0,1.9e-05,0.001232,0.983288
Hospital_1,52,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,53,0,0,0.999922,2e-06,5.1e-05,2e-06,1.1e-05,1.1e-05
Hospital_1,54,3,3,0.0,0.0,0.0,0.99999,1e-05,0.0
Hospital_1,55,5,5,0.0,1e-06,1e-06,0.0,6e-06,0.999993
Hospital_1,56,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,57,2,2,0.000318,0.0,0.999678,0.0,4e-06,0.0
Hospital_1,58,2,2,0.000209,0.0,0.999784,1e-06,6e-06,0.0
Hospital_1,59,3,3,0.0,0.0,0.0,1.0,0.0,0.0
