ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,45.98,0.01
2,47.43,0.0
3,50.31,0.0
4,56.62,0.0
5,47.15,0.01
6,47.06,0.0
7,53.73,0.0
8,48.76,0.0
9,53.33,0.0
10,50.96,0.0
11,57.73,0.01
12,48.7,0.0
13,52.71,0.0
14,48.44,0.0
15,54.42,0.0
16,54.04,0.01
17,54.06,0.0
18,50.07,0.0
19,48.53,0.0
20,50.25,0.0
21,54.67,0.0
22,50.73,0.0
23,50.81,0.0
24,50.99,0.0
25,53.87,0.0
26,55.72,0.0
27,51.38,0.0
28,56.4,0.0
29,54.15,0.0
30,60.52,0.0
31,49.16,0.0
32,51.2,0.0
33,52.7,0.0
34,53.44,0.0
35,56.53,0.0
36,51.68,0.0
37,49.42,0.0
38,54.98,0.0
39,50.89,0.0
40,47.86,0.0
41,54.51,0.0
42,52.54,0.0
43,53.08,0.01
44,53.89,0.0
45,52.92,0.0
TOTAL,2374.55,0.05
