metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15;Hospital_16;Hospital_17;Hospital_18;Hospital_19;Hospital_20;Hospital_21;Hospital_22;Hospital_23;Hospital_24;Hospital_25;Hospital_26;Hospital_27;Hospital_28;Hospital_29;Hospital_30;Hospital_31;Hospital_32;Hospital_33;Hospital_34;Hospital_35;Hospital_36;Hospital_37;Hospital_38;Hospital_39;Hospital_40;Hospital_41;Hospital_42;Hospital_43;Hospital_44;Hospital_45;Hospital_46;Hospital_47;Hospital_48;Hospital_49;Hospital_50;MEDIA
fedavg;16;0.9957;1.0000;0.9937;1.0000;0.9981;0.9968;0.9928;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9957;0.9958;0.9964;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9938;0.9950;0.9875;0.9995;0.9968;0.9957;0.9957;0.9937;0.9995;1.0000;0.9958;0.9964;0.9990;0.9995;0.9981;1.0000;0.9995;0.9934;0.9963;0.9971;0.9938;0.9990;1.0000;0.9964;1.0000;0.9969;1.0000;0.9994;0.9976
fedavg;999;0.9890;1.0000;0.9841;1.0000;0.9981;0.9918;0.9831;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9890;0.9894;0.9916;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9842;0.9884;0.9682;0.9995;0.9918;0.9890;0.9891;0.9841;0.9995;1.0000;0.9894;0.9916;0.9990;0.9995;0.9981;1.0000;0.9995;0.9832;0.9914;0.9933;0.9842;0.9990;1.0000;0.9916;1.0000;0.9921;1.0000;0.9994;0.9943
fedavg;1935;0.9953;0.9997;0.9932;1.0000;0.9981;0.9963;0.9923;1.0000;0.9993;0.9990;0.9998;0.9990;0.9993;0.9953;0.9952;0.9962;0.9990;0.9990;0.9993;0.9994;0.9997;1.0000;0.9933;0.9947;0.9865;0.9993;0.9963;0.9953;0.9954;0.9932;0.9993;1.0000;0.9952;0.9959;0.9990;0.9995;0.9981;0.9995;0.9995;0.9929;0.9961;0.9967;0.9933;0.9990;0.9995;0.9959;0.9997;0.9964;0.9997;0.9994;0.9972
fedprox;16;0.9973;1.0000;0.9961;1.0000;0.9981;0.9980;0.9952;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9973;0.9974;0.9976;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9962;0.9967;0.9923;0.9995;0.9980;0.9973;0.9973;0.9961;0.9995;1.0000;0.9974;0.9976;0.9990;0.9995;0.9981;1.0000;0.9995;0.9959;0.9975;0.9981;0.9962;0.9990;1.0000;0.9976;1.0000;0.9981;1.0000;0.9994;0.9984
fedprox;999;0.9917;0.9993;0.9889;0.9990;0.9981;0.9938;0.9880;0.9990;0.9987;0.9990;0.9995;0.9987;0.9987;0.9917;0.9926;0.9940;0.9987;0.9990;0.9987;0.9994;0.9993;0.9990;0.9890;0.9910;0.9778;0.9995;0.9938;0.9917;0.9917;0.9889;0.9995;0.9990;0.9926;0.9940;0.9980;0.9990;0.9981;1.0000;0.9990;0.9873;0.9933;0.9952;0.9890;0.9980;0.9990;0.9940;0.9993;0.9945;0.9993;0.9994;0.9956
fedprox;1935;0.9967;1.0000;0.9952;1.0000;0.9962;0.9975;0.9933;1.0000;0.9987;0.9981;1.0000;0.9987;0.9987;0.9967;0.9968;0.9966;0.9987;0.9981;0.9987;0.9987;1.0000;1.0000;0.9952;0.9953;0.9904;0.9990;0.9975;0.9967;0.9967;0.9952;0.9990;1.0000;0.9968;0.9966;0.9980;0.9990;0.9962;1.0000;0.9990;0.9949;0.9965;0.9973;0.9952;0.9980;1.0000;0.9966;1.0000;0.9976;1.0000;0.9987;0.9977
fedewa;16;0.7580;0.4157;0.9990;0.6309;0.9760;0.5632;0.9875;0.6309;0.7502;0.9880;0.5646;0.4058;0.7502;0.7580;0.6671;0.9935;0.4058;0.9875;0.7502;0.9917;0.4128;0.6338;0.9995;0.7504;0.9990;0.7441;0.5632;0.7580;0.7594;0.9990;0.7441;0.6309;0.6671;0.7432;0.6197;0.8148;0.9760;0.4986;0.8148;0.6313;0.8149;0.7950;0.9995;0.6197;0.1050;0.7432;0.4128;0.7497;0.4157;0.9917;0.7079
fedewa;999;0.9953;1.0000;0.9932;1.0000;0.9981;0.9965;0.9923;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9953;0.9955;0.9962;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9933;0.9947;0.9865;0.9995;0.9965;0.9953;0.9954;0.9932;0.9995;1.0000;0.9955;0.9961;0.9990;0.9995;0.9981;1.0000;0.9995;0.9929;0.9961;0.9969;0.9933;0.9990;1.0000;0.9961;1.0000;0.9966;1.0000;0.9994;0.9974
fedewa;1935;0.9551;0.8006;0.9957;0.9359;0.9971;0.8489;0.9942;0.9359;0.9571;0.9986;0.8515;0.7991;0.9571;0.9551;0.8448;0.9971;0.7991;0.9986;0.9571;0.9990;0.7997;0.9364;0.9957;0.9541;0.9913;0.8849;0.8489;0.9551;0.9553;0.9957;0.8849;0.9359;0.8448;0.8824;0.9346;0.9682;0.9971;0.7705;0.9682;0.9314;0.9660;0.9061;0.9957;0.9346;0.6946;0.8824;0.7997;0.8834;0.8006;0.9990;0.8999
fedag;16;0.9970;1.0000;0.9957;1.0000;0.9981;0.9978;0.9947;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9970;0.9971;0.9974;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9957;0.9963;0.9913;0.9995;0.9978;0.9970;0.9970;0.9957;0.9995;1.0000;0.9971;0.9974;0.9990;0.9995;0.9981;1.0000;0.9995;0.9954;0.9973;0.9979;0.9957;0.9990;1.0000;0.9974;1.0000;0.9978;1.0000;0.9994;0.9982
