ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.09269595784800393,0.9592088998763906,0.5347061157226562,0.8238993710691824,809,159,113
1,Hospital_2,NA,NA,1.0796801646550496,0.5038167938931297,NA,262,184
1,Hospital_3,0.055131340192423925,0.9823255813953489,0.5964302718639374,0.8685446009389671,1075,213,149
1,Hospital_4,0.3388526240984599,0.8810198300283286,0.404466450214386,0.8985507246376812,353,69,52
1,Hospital_5,NA,NA,0.8256987780332565,0.3333333333333333,NA,168,117
1,Hospital_6,0.01022609117041741,0.9982057416267942,0.8304180900255839,0.6936936936936937,1672,333,228
1,Hospital_7,0.04585831629281694,0.9880418535127056,0.5592027356227239,0.6981132075471698,1338,265,183
1,Hospital_8,NA,NA,0.7253867387771606,0.6086956521739131,NA,23,22
1,Hospital_9,0.7995529323816299,0.6619433198380567,0.5230840444564819,0.78125,494,96,69
1,Hospital_10,0.32624494284391403,0.9074074074074074,0.8385604023933411,0.4583333333333333,486,96,70
1,Hospital_11,0.1323398184031248,0.9572139303482587,1.1100762486457825,0.35678391959798994,1005,199,139
1,Hospital_12,NA,NA,0.8103509545326233,0.59375,NA,32,28
1,Hospital_13,0.23069841414690018,0.9401913875598086,0.6484534740447998,0.7317073170731707,418,82,60
1,Hospital_14,NA,NA,0.3968028128147125,0.881578947368421,NA,152,107
1,Hospital_15,0.04247463000221895,0.9923518164435946,1.252941409746806,0.06430868167202572,1569,311,215
1,Hospital_16,NA,NA,0.6869862675666809,0.5320754716981132,NA,265,184
1,Hospital_17,0.7026250163714091,0.693069306930693,1.097876787185669,0.27586206896551724,303,58,46
1,Hospital_18,NA,NA,0.8924544751644135,0.4583333333333333,NA,216,150
1,Hospital_19,NA,NA,0.9947721064090729,0.14705882352941177,NA,170,121
1,Hospital_20,NA,NA,0.9814757108688354,0.33653846153846156,NA,104,77
1,Hospital_21,0.0701416138973501,0.978965819456617,0.6522549390792847,0.8061674008810573,1141,227,158
1,Hospital_22,0.7169754803180695,0.8686131386861314,0.9453355669975281,0.44,137,25,24
1,Hospital_23,NA,NA,1.1198575139045714,0.25,NA,596,404
1,Hospital_24,0.053493375238031146,0.9896661367249603,1.0100317597389221,0.31451612903225806,1258,248,174
1,Hospital_25,NA,NA,0.8492726385593414,0.6666666666666666,NA,249,174
1,Hospital_26,0.19195140898227692,0.9121951219512195,1.2341083884239197,0.08823529411764706,1025,204,141
1,Hospital_27,NA,NA,1.086008071899414,0.6470588235294118,NA,17,15
1,Hospital_28,0.09068607399240136,0.9734422880490297,0.8002849221229553,0.7010309278350515,979,194,135
1,Hospital_29,NA,NA,1.1113085746765137,0.26881720430107525,NA,93,66
1,Hospital_30,NA,NA,0.9254337549209595,0.6428571428571429,NA,42,34
1,Hospital_31,0.0984168400367101,0.9708454810495627,1.0113482475280762,0.029411764705882353,686,136,96
1,Hospital_32,0.0965582872075694,0.9816091954022989,0.522419810295105,0.783625730994152,870,171,120
1,Hospital_33,NA,NA,1.1935633420944214,0.26851851851851855,NA,108,78
1,Hospital_34,0.05550564080476761,0.9920255183413078,0.5457566827535629,0.9156626506024096,1254,249,173
1,Hospital_35,0.46617296934127805,0.8247261345852895,0.6618311405181885,0.6428571428571429,639,126,88
1,Hospital_36,NA,NA,1.0588164329528809,0.13157894736842105,NA,76,57
1,Hospital_37,0.2210667785257101,0.9197031039136302,0.778959701458613,0.3979591836734694,1482,294,203
1,Hospital_38,NA,NA,1.2714120149612427,0.13725490196078433,NA,51,40
1,Hospital_39,NA,NA,1.083534836769104,0.12,NA,225,160
1,Hospital_40,0.3979084591070811,0.8852459016393442,0.8723382949829102,0.4647887323943662,366,71,55
1,Hospital_41,0.20544150140550402,0.9414542020774316,0.68960340321064,0.5238095238095238,1059,210,147
1,Hospital_42,0.0003970749618019909,1.0,1.4272944927215576,0.0,606,121,83
1,Hospital_43,0.026349984225817025,0.9932781799379524,0.8715579807758331,0.45714285714285713,1934,385,263
1,Hospital_44,0.0751522472128272,0.9804560260586319,0.7179348170757294,0.4477124183006536,1535,306,207
1,Hospital_45,NA,NA,1.0013989210128784,0.3316582914572864,NA,199,140
1,Hospital_46,0.048270391882397234,0.9881889763779528,1.2937377095222473,0.11386138613861387,1016,202,141
1,Hospital_47,0.19955027103424072,0.9433551198257081,0.7554624676704407,0.6629213483146067,459,89,67
1,Hospital_48,0.16242101043462753,0.9558359621451105,1.3498356342315674,0.12903225806451613,317,62,47
1,Hospital_49,0.12142723000475339,0.9616858237547893,1.1627805829048157,0.10967741935483871,783,155,109
1,Hospital_50,NA,NA,0.8586451311906179,0.3113207547169811,NA,318,218
2,Hospital_1,0.04373691204403128,0.9864029666254636,0.28897111117839813,0.9685534591194969,809,159,113
2,Hospital_2,0.04966227896511555,0.9826807228915663,0.18374009306232134,0.9122137404580153,1328,262,184
2,Hospital_3,0.03298480001588663,0.987906976744186,0.17205760627985,0.9765258215962441,1075,213,149
2,Hospital_4,0.04399536115427812,0.9943342776203966,0.4243409037590027,0.8840579710144928,353,69,52
2,Hospital_5,NA,NA,0.39236311614513397,0.9226190476190477,NA,168,117
2,Hospital_6,NA,NA,0.11459199090798695,0.987987987987988,NA,333,228
2,Hospital_7,0.02523636856031689,0.9910313901345291,0.3072197437286377,0.879245283018868,1338,265,183
2,Hospital_8,NA,NA,0.302850604057312,0.9565217391304348,NA,23,22
2,Hospital_9,NA,NA,0.5154300332069397,0.8333333333333334,NA,96,69
2,Hospital_10,0.11278154514729977,0.9711934156378601,0.39895591139793396,0.875,486,96,70
2,Hospital_11,NA,NA,0.2228279411792755,0.9396984924623115,NA,199,139
2,Hospital_12,0.5299732089042664,0.6802325581395349,0.3330797553062439,0.84375,172,32,28
2,Hospital_13,0.06090663094073534,0.9784688995215312,0.16214892268180847,0.9512195121951219,418,82,60
2,Hospital_14,NA,NA,0.39548876881599426,0.9144736842105263,NA,152,107
2,Hospital_15,0.023723758864574708,0.9949012109623965,0.5967511832714081,0.639871382636656,1569,311,215
2,Hospital_16,NA,NA,0.5238053599993387,0.8867924528301887,NA,265,184
2,Hospital_17,0.15849744776884714,0.976897689768977,0.47425076365470886,0.7241379310344828,303,58,46
2,Hospital_18,0.03416082221600744,0.9917431192660551,0.18982773460447788,0.9629629629629629,1090,216,150
2,Hospital_19,NA,NA,0.22116130590438843,0.9294117647058824,NA,170,121
2,Hospital_20,NA,NA,0.2791668474674225,0.9230769230769231,NA,104,77
2,Hospital_21,NA,NA,0.10914667323231697,0.986784140969163,NA,227,158
2,Hospital_22,0.11773789674043655,0.948905109489051,0.772134006023407,0.68,137,25,24
2,Hospital_23,NA,NA,0.499869167804718,0.7449664429530202,NA,596,404
2,Hospital_24,NA,NA,0.6339156925678253,0.6451612903225806,NA,248,174
2,Hospital_25,0.03060296969488263,0.9920445505171042,0.26131971180438995,0.9357429718875502,1257,249,174
2,Hospital_26,0.041342612899219,0.9892682926829268,0.2586532086133957,0.946078431372549,1025,204,141
2,Hospital_27,NA,NA,0.30156266689300537,0.9411764705882353,NA,17,15
2,Hospital_28,0.04736751038581133,0.9897854954034729,0.21911459416151047,0.9639175257731959,979,194,135
2,Hospital_29,0.052234464325010777,0.9914893617021276,0.6346220970153809,0.6881720430107527,470,93,66
2,Hospital_30,0.16563748568296432,0.9409090909090909,0.2617000937461853,0.9285714285714286,220,42,34
2,Hospital_31,0.04618917343517145,0.9810495626822158,0.16017043963074684,0.9705882352941176,686,136,96
2,Hospital_32,0.05674419977835247,0.9862068965517241,0.5275163650512695,0.9005847953216374,870,171,120
2,Hospital_33,NA,NA,0.37974265217781067,0.8148148148148148,NA,108,78
2,Hospital_34,0.020522889494895936,0.9960127591706539,0.13231784105300903,0.9839357429718876,1254,249,173
2,Hospital_35,0.05980927497148514,0.9890453834115805,0.5699906945228577,0.753968253968254,639,126,88
2,Hospital_36,NA,NA,0.3177758455276489,0.9210526315789473,NA,76,57
2,Hospital_37,0.040418727323412895,0.9925775978407557,0.4784771303335826,0.8231292517006803,1482,294,203
2,Hospital_38,0.1274551053841909,0.9398496240601504,0.09618427604436874,0.9803921568627451,266,51,40
2,Hospital_39,0.08371550962328911,0.9702537182852143,0.24900764971971512,0.9333333333333333,1143,225,160
2,Hospital_40,NA,NA,0.6038336157798767,0.7605633802816901,NA,71,55
2,Hospital_41,0.04580299214770397,0.9924457034938622,0.633624941110611,0.6952380952380952,1059,210,147
2,Hospital_42,4.1123626033368054e-07,1.0,0.04859906807541847,1.0,606,121,83
2,Hospital_43,NA,NA,0.27449765615165234,0.9298701298701298,NA,385,263
2,Hospital_44,0.04652837562995652,0.9837133550488599,0.4616170624891917,0.8398692810457516,1535,306,207
2,Hospital_45,0.054180963430553675,0.9900398406374502,0.21355509012937546,0.9396984924623115,1004,199,140
2,Hospital_46,NA,NA,0.07165907695889473,0.995049504950495,NA,202,141
2,Hospital_47,NA,NA,0.11883124709129333,0.9775280898876404,NA,89,67
2,Hospital_48,0.040430170794328056,1.0,0.06327961385250092,1.0,317,62,47
2,Hospital_49,0.06828288334820952,0.9833971902937421,0.42008164525032043,0.7032258064516129,783,155,109
2,Hospital_50,NA,NA,0.3635875756541888,0.8962264150943396,NA,318,218
3,Hospital_1,0.026550241879054477,0.9913473423980222,0.0989808477461338,0.9811320754716981,809,159,113
3,Hospital_2,0.033942104909907685,0.9887048192771084,0.10246688934663932,0.9618320610687023,1328,262,184
3,Hospital_3,NA,NA,0.0759768933057785,0.9859154929577465,NA,213,149
3,Hospital_4,0.020855201097826164,0.9943342776203966,0.18097156286239624,0.9565217391304348,353,69,52
3,Hospital_5,0.05309211915092809,0.9893742621015348,0.1748746782541275,0.9761904761904762,847,168,117
3,Hospital_6,0.007939683843038179,0.9982057416267942,0.06699045499165852,0.987987987987988,1672,333,228
3,Hospital_7,0.022417549636553635,0.9895366218236173,0.08913971111178398,0.9886792452830189,1338,265,183
3,Hospital_8,NA,NA,0.1674761325120926,0.9130434782608695,NA,23,22
3,Hospital_9,0.06709156464785337,0.9817813765182186,0.21842622756958008,0.8958333333333334,494,96,69
3,Hospital_10,0.1037639882415533,0.9691358024691358,0.18017448484897614,0.9375,486,96,70
3,Hospital_11,NA,NA,0.1695011928677559,0.9396984924623115,NA,199,139
3,Hospital_12,NA,NA,0.14859813451766968,0.96875,NA,32,28
3,Hospital_13,0.025275042513385415,0.992822966507177,0.0994616448879242,0.975609756097561,418,82,60
3,Hospital_14,NA,NA,0.09416027367115021,0.9868421052631579,NA,152,107
3,Hospital_15,0.015328567278069945,0.9961759082217974,0.18830073873202005,0.9807073954983923,1569,311,215
3,Hospital_16,NA,NA,0.18016483386357626,0.9660377358490566,NA,265,184
3,Hospital_17,NA,NA,0.2528572678565979,0.9310344827586207,NA,58,46
3,Hospital_18,0.03044338979654842,0.9917431192660551,0.10307333245873451,0.9861111111111112,1090,216,150
3,Hospital_19,NA,NA,0.13881253823637962,0.9470588235294117,NA,170,121
3,Hospital_20,0.07922782897949218,0.969811320754717,0.11771111935377121,0.9903846153846154,530,104,77
3,Hospital_21,0.023676284381912813,0.9938650306748467,0.07763707265257835,0.986784140969163,1141,227,158
3,Hospital_22,NA,NA,0.30031290650367737,0.96,NA,25,24
3,Hospital_23,NA,NA,0.18345361948013306,0.9731543624161074,NA,596,404
3,Hospital_24,0.01438369187526405,0.994435612082671,0.18897327035665512,0.9798387096774194,1258,248,174
3,Hospital_25,NA,NA,0.11042201146483421,0.9718875502008032,NA,249,174
3,Hospital_26,0.19107442100842795,0.9404878048780487,0.22975437343120575,0.9313725490196079,1025,204,141
3,Hospital_27,0.005273025948554277,1.0,0.34336352348327637,0.9411764705882353,88,17,15
3,Hospital_28,0.03817628766410053,0.9918283963227783,0.08087950944900513,0.9845360824742269,979,194,135
3,Hospital_29,0.0320468177087605,0.9893617021276596,0.20423640310764313,0.978494623655914,470,93,66
3,Hospital_30,NA,NA,0.12439659982919693,0.9523809523809523,NA,42,34
3,Hospital_31,NA,NA,0.09213579446077347,0.9485294117647058,NA,136,96
3,Hospital_32,NA,NA,0.23690005391836166,0.935672514619883,NA,171,120
3,Hospital_33,0.02775296550244093,0.9908925318761385,0.1293613165616989,0.9814814814814815,549,108,78
3,Hospital_34,NA,NA,0.08646157011389732,0.9879518072289156,NA,249,173
3,Hospital_35,NA,NA,0.20105291903018951,0.9365079365079365,NA,126,88
3,Hospital_36,NA,NA,0.21826784312725067,0.9078947368421053,NA,76,57
3,Hospital_37,0.03515852980005244,0.9946018893387314,0.170697882771492,0.9761904761904762,1482,294,203
3,Hospital_38,NA,NA,0.08469020575284958,1.0,NA,51,40
3,Hospital_39,0.09168810604347123,0.9702537182852143,0.1938810795545578,0.9377777777777778,1143,225,160
3,Hospital_40,NA,NA,0.18364006280899048,0.9577464788732394,NA,71,55
3,Hospital_41,0.018390604346576665,0.9943342776203966,0.19142385572195053,0.9666666666666667,1059,210,147
3,Hospital_42,NA,NA,0.07513486593961716,1.0,NA,121,83
3,Hospital_43,0.02010770791093819,0.9922440537745605,0.09010888915508986,0.987012987012987,1934,385,263
3,Hospital_44,0.03752816763396064,0.990228013029316,0.19504636526107788,0.9509803921568627,1535,306,207
3,Hospital_45,0.03483121166937053,0.9940239043824701,0.15946698188781738,0.9698492462311558,1004,199,140
3,Hospital_46,0.002751475723925978,1.0,0.09171855822205544,1.0,1016,202,141
3,Hospital_47,0.03279330860823393,0.9978213507625272,0.07555652409791946,1.0,459,89,67
3,Hospital_48,0.008392758357028166,1.0,0.07657647877931595,1.0,317,62,47
3,Hospital_49,0.030689853110483716,0.9910600255427842,0.13873570039868355,0.9806451612903225,783,155,109
3,Hospital_50,0.04595897088830288,0.986875,0.16480983048677444,0.9591194968553459,1600,318,218
4,Hospital_1,NA,NA,0.04715759493410587,0.9937106918238994,NA,159,113
4,Hospital_2,0.02049738448113203,0.9909638554216867,0.0654429482916991,0.9656488549618321,1328,262,184
4,Hospital_3,0.0138839991349313,0.9962790697674418,0.03685253392904997,0.9906103286384976,1075,213,149
4,Hospital_4,0.013199027938147386,0.9971671388101983,0.11926489323377609,0.9710144927536232,353,69,52
4,Hospital_5,0.049943145630615096,0.9893742621015348,0.13789235055446625,0.9761904761904762,847,168,117
4,Hospital_6,0.0061564839145700845,0.9988038277511961,0.03601638972759247,0.987987987987988,1672,333,228
4,Hospital_7,NA,NA,0.04172796724985043,0.9924528301886792,NA,265,183
4,Hospital_8,NA,NA,0.10961933434009552,0.9130434782608695,NA,23,22
4,Hospital_9,0.03819971717894077,0.9898785425101214,0.1174461841583252,0.9270833333333334,494,96,69
4,Hospital_10,0.08230697922408581,0.9711934156378601,0.09535495191812515,0.9583333333333334,486,96,70
4,Hospital_11,NA,NA,0.11447638273239136,0.9396984924623115,NA,199,139
4,Hospital_12,0.057755131274461746,0.9825581395348837,0.07422079145908356,0.96875,172,32,28
