ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,93.24,36.03
2,88.25,36.55
3,95.88,35.75
4,92.61,37.16
5,92.18,35.02
6,88.1,36.75
7,85.69,35.87
8,89.85,37.21
9,90.1,36.0
10,90.05,35.52
11,91.96,36.28
12,90.13,38.06
13,83.99,37.01
14,91.38,36.04
15,101.09,36.96
16,98.61,36.97
17,93.15,36.52
18,92.78,36.81
19,85.74,36.15
20,93.02,36.42
21,88.21,37.39
22,91.9,36.89
23,96.56,38.2
24,92.64,37.29
25,89.5,37.02
26,91.39,36.48
27,94.68,37.35
28,96.62,37.47
29,93.28,37.03
30,92.36,36.84
31,89.36,37.22
32,88.72,37.0
33,89.32,36.94
34,92.66,37.0
35,94.7,37.96
TOTAL,3243.25,1287.16
