ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,169.08,103.46
2,159.21,102.5
3,162.91,106.66
4,165.62,103.4
5,148.46,102.33
6,154.82,106.95
7,173.66,103.02
8,159.41,102.4
9,158.81,102.65
10,168.85,102.14
11,159.16,102.88
12,177.09,110.57
13,174.96,110.62
14,178.88,109.77
15,173.81,109.13
16,172.63,108.82
17,169.84,109.65
18,172.23,109.5
19,181.63,109.13
20,169.28,109.13
21,169.32,109.47
22,167.9,108.99
23,173.35,108.01
24,166.88,109.03
25,166.18,108.68
26,175.01,109.5
27,176.41,110.42
28,168.65,110.15
29,170.99,109.14
30,166.44,109.3
31,168.33,108.52
32,169.51,109.5
33,174.89,109.79
34,172.35,108.3
35,162.02,109.19
36,165.27,109.07
37,177.19,109.42
38,175.93,108.88
39,170.76,111.37
40,121.74,75.14
41,121.22,75.33
42,122.98,75.87
43,126.13,75.6
44,128.26,75.45
45,125.09,75.2
46,124.7,76.06
47,128.03,75.47
48,125.63,75.57
49,126.59,75.33
50,125.5,75.41
TOTAL,8004.46,5031.87
