hospital,imagen_idx,y_true,y_pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
Hospital_1,0,5,5,3e-06,0.0,3e-06,7e-06,4e-06,0.999983
Hospital_1,1,2,2,2.9e-05,0.0,0.999965,1e-06,4e-06,0.0
Hospital_1,2,3,3,0.0,0.0,0.0,0.999997,3e-06,0.0
Hospital_1,3,3,3,0.0,0.0,0.0,0.999981,1.9e-05,0.0
Hospital_1,4,2,2,5e-05,0.0,0.999936,1e-06,1.3e-05,0.0
Hospital_1,5,2,2,0.000363,0.0,0.999526,6e-06,0.000105,0.0
Hospital_1,6,3,3,0.0,0.0,0.0,0.99992,8e-05,0.0
Hospital_1,7,3,3,0.0,0.0,0.0,0.999996,4e-06,0.0
Hospital_1,8,2,2,0.001621,0.0,0.998338,3e-06,3.8e-05,0.0
Hospital_1,9,5,5,5.4e-05,0.0,0.0,2.9e-05,0.005746,0.994171
Hospital_1,10,2,2,7.4e-05,0.0,0.999905,3e-06,1.7e-05,0.0
Hospital_1,11,3,3,0.0,0.0,0.0,0.999993,7e-06,0.0
Hospital_1,12,3,3,0.0,0.0,0.0,0.99994,6e-05,0.0
Hospital_1,13,2,2,6.4e-05,0.0,0.999925,1e-06,1e-05,0.0
Hospital_1,14,3,3,0.0,0.0,0.0,0.999969,3.1e-05,0.0
Hospital_1,15,2,2,9.9e-05,0.0,0.999877,2e-06,2.2e-05,0.0
Hospital_1,16,2,2,0.000162,0.0,0.999828,1e-06,9e-06,0.0
Hospital_1,17,5,5,3e-06,0.0,0.0,0.0,1.8e-05,0.999979
Hospital_1,18,3,3,0.0,0.0,0.0,0.999893,0.000107,0.0
Hospital_1,19,3,3,0.0,0.0,0.0,0.999997,3e-06,0.0
Hospital_1,20,3,3,0.0,0.0,0.0,0.999609,0.000391,0.0
Hospital_1,21,2,2,6.4e-05,0.0,0.999928,2e-06,6e-06,0.0
Hospital_1,22,1,1,9e-06,0.999113,0.0,0.0,2.6e-05,0.000851
Hospital_1,23,2,2,0.000854,0.0,0.999107,3e-06,3.6e-05,0.0
Hospital_1,24,2,2,0.000221,0.0,0.999764,2e-06,1.3e-05,0.0
Hospital_1,25,5,5,3e-06,0.0,0.0,7.3e-05,0.000107,0.999817
Hospital_1,26,3,3,0.0,0.0,0.0,0.999514,0.000486,0.0
Hospital_1,27,3,3,0.0,0.0,1e-06,0.998061,0.001938,0.0
Hospital_1,28,5,5,1.3e-05,0.0,0.0,0.001754,0.006113,0.99212
Hospital_1,29,2,2,0.000401,0.0,0.999574,1e-06,2.5e-05,0.0
Hospital_1,30,2,2,0.001103,0.0,0.998803,2e-06,9.3e-05,0.0
Hospital_1,31,2,2,4.8e-05,0.0,0.999931,6e-06,1.5e-05,0.0
Hospital_1,32,2,2,0.001267,0.0,0.998671,3e-06,5.9e-05,0.0
Hospital_1,33,2,2,0.000147,0.0,0.999827,3e-06,2.3e-05,0.0
Hospital_1,34,2,2,0.000392,0.0,0.99959,4e-06,1.4e-05,0.0
Hospital_1,35,3,3,0.0,0.0,0.0,0.999986,1.4e-05,0.0
Hospital_1,36,3,3,0.0,0.0,0.0,1.0,0.0,0.0
Hospital_1,37,5,5,1e-06,1e-06,4e-06,2e-06,3.2e-05,0.99996
Hospital_1,38,3,3,0.0,0.0,0.0,0.999998,2e-06,0.0
Hospital_1,39,2,2,8.9e-05,0.0,0.999901,1e-06,9e-06,0.0
Hospital_1,40,5,5,2.3e-05,0.0,0.0,1e-06,0.00221,0.997766
Hospital_1,41,1,1,7e-06,0.996056,0.0,1e-06,0.000111,0.003825
Hospital_1,42,2,2,7.1e-05,0.0,0.999902,2e-06,2.5e-05,0.0
Hospital_1,43,3,3,0.0,0.0,0.0,0.999987,1.3e-05,0.0
Hospital_1,44,2,2,4e-06,0.0,0.999984,5e-06,7e-06,0.0
Hospital_1,45,2,2,6.7e-05,0.0,0.999925,1e-06,6e-06,0.0
Hospital_1,46,3,3,0.0,0.0,0.0,0.999834,0.000166,0.0
Hospital_1,47,1,1,4e-06,0.999974,0.0,0.0,3e-06,1.9e-05
Hospital_1,48,3,3,0.0,0.0,0.0,0.999939,6.1e-05,0.0
Hospital_1,49,2,2,0.000636,0.0,0.999333,5e-06,2.6e-05,0.0
Hospital_1,50,5,5,1e-05,3e-06,2.3e-05,6.3e-05,0.000221,0.999681
