ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,148.22,97.11
2,152.78,97.38
3,159.75,97.29
4,154.12,98.08
5,155.15,97.46
6,156.11,96.3
7,157.58,95.74
8,159.47,97.31
9,144.47,96.96
10,148.55,97.04
11,153.22,96.56
12,141.72,97.35
13,147.02,97.03
14,153.03,97.27
15,150.12,97.73
16,148.87,96.58
17,151.09,96.82
18,152.5,97.53
19,147.67,97.22
20,148.21,97.01
21,144.72,96.87
22,150.22,97.62
23,144.2,96.93
24,144.31,97.42
25,144.71,97.01
26,150.17,97.58
27,147.67,96.94
28,141.18,97.57
29,147.12,96.88
30,147.39,97.23
31,146.06,96.55
32,142.6,97.22
33,145.85,96.72
34,147.71,96.9
35,145.92,96.65
36,154.16,96.87
37,148.58,97.06
38,142.72,97.05
39,143.02,96.93
40,138.57,97.37
41,142.0,96.61
42,149.35,96.7
TOTAL,6267.01,4076.45
