ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,127.75,75.81
2,126.58,76.44
3,119.33,75.95
4,120.82,75.87
5,127.99,75.89
6,122.87,75.9
7,122.27,76.27
8,124.67,75.82
9,123.84,76.41
10,123.89,76.08
11,124.41,76.6
12,122.79,75.9
13,123.68,76.17
14,124.02,75.74
15,123.98,76.08
16,128.7,75.94
17,125.93,76.15
18,126.93,75.97
19,122.11,76.04
20,129.72,76.37
21,126.9,76.32
22,121.8,76.79
23,125.88,76.19
24,125.69,76.32
25,127.3,76.13
26,128.25,76.24
27,128.16,76.91
28,128.81,75.99
29,125.58,76.18
30,121.17,76.06
31,122.83,76.34
32,121.49,76.04
33,116.14,76.19
34,117.94,76.34
35,125.71,76.07
36,122.21,76.03
37,122.92,75.92
38,127.09,76.49
39,123.59,76.55
40,121.06,76.1
41,121.92,75.79
42,125.43,75.02
43,127.5,75.02
44,123.48,75.33
45,122.98,75.0
46,125.24,75.35
47,126.45,75.2
48,124.1,75.28
TOTAL,6001.18,3648.59
