ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,61.5,3.49
2,58.02,3.38
3,68.18,3.56
4,62.39,3.67
5,61.95,3.44
6,60.79,3.42
7,58.92,3.52
8,63.85,3.41
9,62.78,3.38
10,59.31,3.49
11,58.99,3.5
12,60.38,3.4
13,52.2,3.56
14,61.85,3.61
15,53.54,3.39
16,68.66,3.64
17,59.68,3.55
18,59.98,3.59
19,54.03,3.46
20,57.66,3.4
21,60.36,3.35
22,65.99,3.52
23,66.39,3.36
24,65.79,3.36
25,60.24,3.39
26,54.78,3.43
27,68.4,3.37
28,56.1,3.33
29,56.35,3.35
30,52.68,3.51
31,57.78,3.38
32,64.37,3.58
33,53.93,3.62
34,61.12,3.47
35,65.94,3.7
TOTAL,2151.05,121.58
