lr;local_epochs;status;final_val_acc;final_val_loss;best_val_acc;best_round;final_test_acc;final_test_loss;stability;log_file;raw_results_dir
0.001;5;ok;0.667;0.9167;0.667;5;0.6777;0.9051;muy estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p001_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p001_le_5
0.005;5;ok;0.6688;0.761;0.6688;5;0.6722;0.7331;muy estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p005_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p005_le_5
0.01;5;ok;0.6219;0.91;0.6219;5;0.6384;0.8967;muy estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p01_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p01_le_5
0.02;5;ok;0.6823;0.9363;0.6823;5;0.6857;0.9185;muy estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p02_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p02_le_5
0.05;5;ok;0.6179;0.964;0.6179;5;0.6423;0.9456;muy estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p05_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p05_le_5
0.1;5;ok;0.7024;0.7621;0.7024;5;0.7101;0.7437;muy estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p1_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p1_le_5
0.15;5;ok;0.7134;0.8006;0.7134;5;0.7264;0.7816;algo inestable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p15_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p15_le_5
0.2;5;ok;0.6867;0.7775;0.6867;5;0.6966;0.7504;muy estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p2_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p2_le_5
0.25;5;ok;0.6653;0.8212;0.6653;5;0.6782;0.7991;bastante estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p25_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p25_le_5
0.5;5;ok;0.5614;1.0164;0.5614;5;0.5787;1.005;muy estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\logs\lr_0p5_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_222232\raw_results\lr_0p5_le_5
