Hospital;%_Hospital;Split;Total_split;BreastMRI;CXR;HeadCT;ChestCT;Hand;AbdomenCT
1;4.53%;Train;1998;0.00%;0.00%;0.50%;1.10%;73.87%;24.52%
1;4.53%;Val;399;0.00%;0.00%;0.50%;1.00%;73.93%;24.56%
1;4.53%;Test;271;0.37%;0.37%;0.74%;1.48%;72.69%;24.35%
2;39.28%;Train;17364;24.45%;38.87%;6.39%;2.18%;1.56%;26.55%
2;39.28%;Val;3470;24.47%;38.88%;6.37%;2.16%;1.56%;26.57%
2;39.28%;Test;2321;24.43%;38.82%;6.42%;2.24%;1.59%;26.50%
3;30.79%;Train;13614;0.00%;0.34%;24.34%;33.13%;42.00%;0.20%
3;30.79%;Val;2721;0.00%;0.33%;24.33%;33.15%;42.01%;0.18%
3;30.79%;Test;1819;0.00%;0.38%;24.35%;33.10%;41.95%;0.22%
4;14.49%;Train;6404;38.54%;10.95%;45.44%;4.64%;0.44%;0.00%
4;14.49%;Val;1279;38.55%;10.95%;45.50%;4.61%;0.39%;0.00%
4;14.49%;Test;859;38.42%;10.94%;45.17%;4.77%;0.58%;0.12%
5;10.92%;Train;4823;0.00%;0.04%;3.23%;47.46%;0.12%;49.14%
5;10.92%;Val;963;0.00%;0.00%;3.22%;47.46%;0.10%;49.22%
5;10.92%;Test;649;0.15%;0.15%;3.39%;47.30%;0.15%;48.84%
